building_id,earthquake_id,num_storeys,total_mass_kg,total_height_m,fundamental_period_T1_s,period_T2_s,period_T3_s,period_ratio_T2_T1,first_mode_mass_ratio,first_mode_participation,avg_storey_mass_kg,avg_storey_stiffness_N_m,base_stiffness_N_m,stiffness_taper_ratio,damping_ratio,pga_g,pgv_m_s,pgd_m,arias_intensity_m_s,significant_duration_s,mean_period_Tm_s,predominant_period_Tp_s,Sa_T1_g,Sa_T2_g,Sa_T3_g,Sd_T1_m,Sa_over_PGA,T1_over_Tp,T1_over_Tm,static_drift_proxy,target_max_pidr,target_max_roof_disp_m,target_peak_base_shear_N,target_peak_pfa_m_s2
Bldg_035_8St,Imperial_Valley_1979_Array6_scaled_0.61g,8.0,2170485.1346629397,29.41406488338083,1.5058458369512058,0.5067389805174635,0.3116778724217766,0.3365145143565473,0.8582462946298408,1364.8482788843671,271310.64183286746,136007095.16231158,136007095.16231158,1.0,0.05362839943511724,0.6145999999999999,0.6258781081954151,0.2939064994681046,5.947577506560213,11.25,0.46468075532273967,0.8192,0.3391902806755417,1.2754147042409976,1.3745513705562853,0.19113397514216948,0.5518878631232375,1.8381907189345772,3.2406029724758767,0.012390995622900193,0.014655580838336044,0.25353674984448143,7328745.819605215,7.944434167163556
Bldg_020_5St,Friuli_1976_Tolmezzo,5.0,431577.0521504538,15.320911780484215,0.7130741434112638,0.25501056678852646,0.16467834084054334,0.3576213906292907,0.8673366722282386,611.8190943589842,86315.41043009076,75660470.46042758,83114761.34278658,0.7757831833380477,0.058341659875327925,0.352,0.21352777719546898,0.102872191600987,1.308741949374992,10.049999999999999,0.4278323224718693,0.3250793650793651,0.4475121426653545,0.7929180777773555,0.5726356335638504,0.05644497105549873,1.2713413143902117,2.1935386247514463,1.6667140511763219,0.006450283208612257,0.006568042733656167,0.07342837420041508,1672741.144797292,7.895248928251214
Bldg_015_10St,ChiChi_1999_TCU068_scaled_0.72g,10.0,2816481.9947992526,40.98256473151777,1.8319490809782595,0.6193726605439063,0.3773880973810691,0.3380949104836264,0.8478015197669436,1545.2565209657066,281648.1994799253,143070004.16746855,143070004.16746855,1.0,0.037694089189244176,0.7168,0.9793056114621539,0.3918739507039827,11.287491908555028,18.89,0.7206483050886867,0.6206060606060606,0.8558417135428018,1.8949875341790068,2.4273474803325086,0.7137122566889358,1.1939756048309178,2.951871077748172,2.5420847701193305,0.034179646937402254,0.03390898150882948,0.9728254566716021,19882109.842567027,19.882403803425664
Bldg_038_3St,Kobe_1995_NS_scaled_1.17g,3.0,670960.952016786,9.738279216538054,0.5814586032302643,0.21822895584713087,0.15751830854494958,0.37531297092307303,0.9074263975091055,780.28692130387,223653.65067226198,118926299.32987614,129961841.76984638,0.8301725754315881,0.058719762660169365,1.1676,1.489885267133405,0.5504295453472083,19.04897040911142,12.780000000000001,0.8720606558868952,0.7728301886792452,2.0735970478631303,2.066336002661439,1.7439749959086142,0.1741229163301998,1.775948139656672,0.7523756340625979,0.6667639450365005,0.02934788924956439,0.03031413750363526,0.2194068492283196,12788571.660462892,25.965706649657054
Bldg_039_3St,Loma_Prieta_1989_Corralitos_scaled_0.90g,3.0,532860.2944545313,11.890482304305188,0.4107129396322553,0.15876053972412202,0.11447839721976313,0.3865486679486486,0.8958001841302572,690.8953248416667,177620.09815151044,183096848.05044726,214400511.75447863,0.7079889087216464,0.03476921926039584,0.9015999999999998,0.9605448110846201,0.5591609350109363,13.560562443787077,11.41,0.6811214742642782,1.0778947368421052,2.356527001083917,2.15534790282196,1.9021310045122992,0.09841354824348214,2.613716727022979,0.3810325123541431,0.6029951413232009,0.011522706005605479,0.011909423744932961,0.11845199155962108,10644112.601339411,32.134261195294265
Bldg_011_5St,Friuli_1976_Tolmezzo,5.0,1451852.277223199,20.06527884435787,0.894354941017543,0.30523291686505966,0.19519356971894125,0.34128834410841863,0.8825020573804334,1131.928717571005,290370.4554446398,172350178.34134805,172350178.34134805,1.0,0.05720067339243327,0.352,0.21352777719546898,0.102872191600987,1.308741949374992,10.049999999999999,0.4278323224718693,0.3250793650793651,0.30240590816218216,0.7527258936697282,0.5827617127975068,0.059961307910492145,0.859107693642563,2.7511895158254496,2.090433317076805,0.005493664985753907,0.005043959939278612,0.07925600349381709,3471450.248633101,5.445761001633115
Bldg_009_9St,Friuli_1976_Tolmezzo_scaled_0.49g,9.0,1936007.7066165784,33.37060515365388,2.0240667166863795,0.7218964229585041,0.4472852984026352,0.35665643677019115,0.8231148142306102,1262.3615265765725,215111.96740184203,67549516.69497378,85350928.3329129,0.5828654242985061,0.05915571433100036,0.4927999999999999,0.2989388880736565,0.14402106824138175,2.5651342207749837,10.049999999999999,0.42783232247186936,0.3250793650793651,0.12049299141849658,0.6050502200618223,0.878205558733531,0.12265311454079847,0.24450688193688433,6.226377106994234,4.730981298916388,0.005950043487170584,0.0071810086707220465,0.1649060446647097,2272559.554850433,4.993052049934069
Bldg_014_5St,Friuli_1976_Tolmezzo_scaled_0.21g,5.0,1593765.9396833987,19.810700551829953,0.8894792288713879,0.3088246908799503,0.19628714530869923,0.34719719230745977,0.8824903205928275,1185.9523662698816,318753.18793667975,186945021.86907646,186945021.86907646,1.0,0.025534123696712055,0.2112,0.12811666631728136,0.0617233149605922,0.471147101774997,10.049999999999999,0.42783232247186925,0.3250793650793651,0.23590648269693043,0.6398329595884846,0.392387843869412,0.04630901899448383,1.1169814521634964,2.7361909872508514,2.07903700153434,0.003908628123721817,0.004175450125938334,0.06017066887464261,3405001.449652486,4.687579344886175
Bldg_004_9St,ChiChi_1999_TCU068_scaled_0.72g,9.0,1948649.445047211,34.52008614666971,1.8669862587577561,0.6258111713455994,0.3829180140447785,0.3351985952815731,0.8546009371985288,1290.4718679648695,216516.60500524566,87950131.45529062,87950131.45529062,1.0,0.04849082359697768,0.7168,0.9793056114621539,0.3918739507039827,11.287491908555028,18.89,0.7206483050886867,0.6206060606060606,0.8256879786870873,1.622112219714886,2.0648684562805717,0.7150785586954045,1.151908452409441,3.0083274677249,2.590703739361456,0.039973103294565826,0.037684555539307905,0.9572218069789525,12712449.824422106,17.74379820900229
Bldg_037_6St,ChiChi_1999_TCU068_scaled_0.72g,6.0,1519801.1629553218,18.1313458662842,0.9220273617851668,0.32867711576859315,0.20663916498060184,0.3564721931160815,0.8535992240019256,1138.9912613079553,253300.19382588696,185099389.56536832,214716992.93877366,0.7241242719727287,0.047878458494656856,0.7168,0.9793056114621539,0.3918739507039827,11.287491908555028,18.89,0.7206483050886867,0.6206060606060606,1.5042784783294962,2.261777746976252,1.5089177459957244,0.3175393382167,2.0986027878480695,1.4856886200639894,1.2794415185250416,0.029494734652929677,0.03115032561421036,0.4192593993780094,20211930.632207066,24.393070888428845
