period_s,Sa_m_s2,Sa_g,Sv_m_s,Sd_m
0.0200,5.210130,0.531285,0.016584,0.000053
0.0295,5.982451,0.610040,0.028063,0.000132
0.0389,5.561311,0.567096,0.034473,0.000214
0.0484,6.234942,0.635787,0.048049,0.000370
0.0579,8.955854,0.913243,0.082521,0.000760
0.0674,7.406622,0.755265,0.079414,0.000851
0.0768,7.949039,0.810576,0.097215,0.001189
0.0863,7.168725,0.731007,0.098481,0.001353
0.0958,7.711950,0.786400,0.117572,0.001792
0.1053,8.113664,0.827364,0.135929,0.002277
0.1147,9.796056,0.998920,0.178885,0.003267
0.1242,10.782259,1.099484,0.213151,0.004214
0.1337,9.152222,0.933267,0.194727,0.004143
0.1432,8.207105,0.836892,0.186993,0.004261
0.1526,7.607572,0.775756,0.184804,0.004489
0.1621,8.779485,0.895258,0.226509,0.005844
0.1716,9.703827,0.989515,0.264989,0.007236
0.1811,10.162980,1.036336,0.292851,0.008439
0.1905,10.406947,1.061213,0.315572,0.009569
0.2000,11.280466,1.150287,0.359068,0.011430
0.2200,8.568683,0.873762,0.300025,0.010505
0.2502,8.568085,0.873701,0.341144,0.013583
0.2803,9.572861,0.976160,0.427116,0.019057
0.3105,13.221200,1.348187,0.653378,0.032289
0.3407,16.952979,1.728723,0.919200,0.049840
0.3708,15.559548,1.586632,0.918359,0.054204
0.4010,12.269428,1.251134,0.783082,0.049979
0.4312,11.571928,1.180008,0.794129,0.054497
0.4614,9.640689,0.983077,0.707888,0.051978
0.4915,9.910606,1.010601,0.775294,0.060650
0.5217,9.001260,0.917873,0.747378,0.062055
0.5519,8.857752,0.903239,0.777994,0.068333
0.5820,10.373952,1.057849,0.960976,0.089019
0.6122,11.471182,1.169735,1.117697,0.108903
0.6424,10.843798,1.105760,1.108635,0.113343
0.6725,10.967846,1.118409,1.173981,0.125661
0.7027,10.450813,1.065686,1.168820,0.130721
0.7329,9.872811,1.006747,1.151581,0.134322
0.7631,10.308222,1.051146,1.251865,0.152031
0.7932,11.015778,1.123297,1.390686,0.175567
0.8234,10.907775,1.112283,1.429426,0.187321
0.8536,10.352261,1.055637,1.406336,0.191048
0.8837,10.276673,1.047929,1.445412,0.203297
0.9139,10.456988,1.066316,1.520984,0.221229
0.9441,9.956036,1.015233,1.495925,0.224767
0.9742,8.785349,0.895856,1.362210,0.211217
1.0044,7.460046,0.760713,1.192535,0.190634
1.0346,7.066348,0.720567,1.163530,0.191584
1.0647,6.556796,0.668607,1.111112,0.188288
1.0949,6.162979,0.628449,1.073968,0.187151
1.1251,6.290645,0.641467,1.126421,0.201700
1.1553,6.179448,0.630128,1.136181,0.208903
1.1854,5.886306,0.600236,1.110546,0.209522
1.2156,5.521591,0.563046,1.068249,0.206672
1.2458,5.194667,0.529709,1.029943,0.204206
1.2759,4.985335,0.508363,1.012377,0.205584
1.3061,4.918696,0.501567,1.022462,0.212542
1.3363,4.962925,0.506077,1.055486,0.224475
1.3664,5.056746,0.515645,1.099720,0.239162
1.3966,5.139248,0.524057,1.142339,0.253916
1.4268,5.168720,0.527063,1.173708,0.266524
1.4569,5.123666,0.522469,1.188079,0.275493
1.4871,4.998337,0.509689,1.183018,0.279999
1.5173,4.799422,0.489405,1.158983,0.279876
1.5475,4.548423,0.463810,1.120211,0.275892
1.5776,4.277089,0.436142,1.073922,0.269648
1.6078,4.344921,0.443059,1.111817,0.284501
1.6380,4.639273,0.473074,1.209414,0.315283
1.6681,4.846453,0.494201,1.286695,0.341607
1.6983,4.968395,0.506635,1.342926,0.362984
1.7285,5.015036,0.511391,1.379613,0.379525
1.7586,5.018089,0.511703,1.404547,0.393128
1.7888,5.237216,0.534047,1.491028,0.424493
1.8190,5.485824,0.559398,1.588147,0.459769
1.8492,5.665332,0.577703,1.667317,0.490694
1.8793,5.779047,0.589299,1.728533,0.517010
1.9095,5.833327,0.594834,1.772777,0.538756
1.9397,5.833670,0.594869,1.800893,0.555948
1.9698,5.787534,0.590164,1.814440,0.568842
2.0000,5.701630,0.581404,1.814885,0.577696
2.1000,5.242451,0.534581,1.752160,0.585616
2.2000,4.692888,0.478541,1.643172,0.575342
2.3000,4.266370,0.435049,1.561732,0.571682
2.4000,4.060863,0.414093,1.551135,0.592490
2.5000,3.987062,0.406567,1.586402,0.631209
2.6000,4.171490,0.425374,1.726175,0.714296
2.7000,4.311693,0.439670,1.852813,0.796188
2.8000,4.337101,0.442261,1.932759,0.861303
2.9000,4.212710,0.429577,1.944374,0.897424
3.0000,3.958323,0.403637,1.889960,0.902389
3.1000,3.659608,0.373176,1.805578,0.890837
3.2000,3.440825,0.350866,1.752398,0.892489
3.3000,3.309388,0.337464,1.738128,0.912884
3.4000,3.155157,0.321736,1.707340,0.923887
3.5000,2.962371,0.302078,1.650166,0.919212
3.6000,2.735480,0.278941,1.567314,0.898005
3.7000,2.489565,0.253865,1.466038,0.863311
3.8000,2.238679,0.228282,1.353928,0.818841
3.9000,2.039444,0.207965,1.265892,0.785745
4.0000,1.868043,0.190487,1.189233,0.757089
