time_s,accel_corrected_m_s2,vel_m_s,disp_m
0.0000,0.007231,0.000000,0.000000
0.0100,0.007199,0.000072,0.000000
0.0200,0.007167,0.000144,0.000001
0.0300,0.007200,0.000216,0.000003
0.0400,0.007223,0.000288,0.000006
0.0500,0.007238,0.000360,0.000009
0.0600,0.007121,0.000432,0.000013
0.0700,0.007129,0.000503,0.000018
0.0800,0.007659,0.000577,0.000023
0.0900,0.007635,0.000654,0.000029
0.1000,0.008089,0.000732,0.000036
0.1100,0.007212,0.000809,0.000044
0.1200,0.007546,0.000883,0.000052
0.1300,0.008088,0.000961,0.000062
0.1400,0.008683,0.001045,0.000072
0.1500,0.008773,0.001132,0.000082
0.1600,0.007300,0.001212,0.000094
0.1700,0.011665,0.001307,0.000107
0.1800,0.010914,0.001420,0.000120
0.1900,0.009646,0.001523,0.000135
0.2000,0.012818,0.001635,0.000151
0.2100,0.013578,0.001767,0.000168
0.2200,0.018877,0.001929,0.000186
0.2300,0.018903,0.002118,0.000207
0.2400,0.017268,0.002299,0.000229
0.2500,0.018059,0.002476,0.000253
0.2600,0.023258,0.002682,0.000278
0.2700,0.031547,0.002956,0.000307
0.2800,0.026688,0.003248,0.000338
0.2900,0.025995,0.003511,0.000371
0.3000,0.028605,0.003784,0.000408
0.3100,0.029505,0.004075,0.000447
0.3200,0.016306,0.004304,0.000489
0.3300,0.009549,0.004433,0.000533
0.3400,-0.003279,0.004464,0.000577
0.3500,-0.002814,0.004434,0.000622
0.3600,0.001972,0.004430,0.000666
0.3700,-0.004191,0.004418,0.000710
0.3800,-0.007252,0.004361,0.000754
0.3900,-0.016283,0.004244,0.000797
0.4000,-0.021780,0.004053,0.000839
0.4100,-0.013932,0.003875,0.000878
0.4200,0.001362,0.003812,0.000917
0.4300,-0.019810,0.003720,0.000954
0.4400,-0.004506,0.003598,0.000991
0.4500,0.026189,0.003706,0.001027
0.4600,0.025422,0.003964,0.001066
0.4700,0.037747,0.004280,0.001107
0.4800,0.058510,0.004762,0.001152
0.4900,0.077768,0.005443,0.001203
0.5000,0.086578,0.006265,0.001262
0.5100,0.088369,0.007139,0.001329
0.5200,0.057330,0.007868,0.001404
0.5300,0.061944,0.008464,0.001486
0.5400,0.058411,0.009066,0.001573
0.5500,0.082689,0.009772,0.001667
0.5600,0.072225,0.010546,0.001769
0.5700,0.057876,0.011197,0.001878
0.5800,0.111166,0.012042,0.001994
0.5900,0.088687,0.013041,0.002119
0.6000,0.063829,0.013804,0.002254
0.6100,0.026535,0.014256,0.002394
0.6200,0.049634,0.014636,0.002538
0.6300,0.038004,0.015075,0.002687
0.6400,0.016039,0.015345,0.002839
0.6500,0.035750,0.015604,0.002994
0.6600,-0.013351,0.015716,0.003150
0.6700,-0.063234,0.015333,0.003306
0.6800,-0.109848,0.014467,0.003455
0.6900,-0.105571,0.013390,0.003594
0.7000,-0.116793,0.012279,0.003722
0.7100,-0.070718,0.011341,0.003840
0.7200,-0.040857,0.010783,0.003951
0.7300,-0.065999,0.010249,0.004056
0.7400,-0.112177,0.009358,0.004154
0.7500,-0.082312,0.008385,0.004243
0.7600,-0.027375,0.007837,0.004324
0.7700,-0.041632,0.007492,0.004401
0.7800,-0.064135,0.006963,0.004473
0.7900,-0.045698,0.006414,0.004540
0.8000,-0.033570,0.006018,0.004602
0.8100,-0.045431,0.005623,0.004660
0.8200,-0.007654,0.005357,0.004715
0.8300,0.066327,0.005651,0.004770
0.8400,0.106883,0.006517,0.004831
0.8500,0.075510,0.007429,0.004901
0.8600,0.055576,0.008084,0.004978
0.8700,0.072242,0.008723,0.005062
0.8800,0.014933,0.009159,0.005152
0.8900,-0.023000,0.009119,0.005243
0.9000,-0.015077,0.008928,0.005333
0.9100,-0.001327,0.008846,0.005422
0.9200,-0.036889,0.008655,0.005510
0.9300,-0.042049,0.008260,0.005594
0.9400,0.010710,0.008104,0.005676
0.9500,0.161213,0.008963,0.005761
0.9600,0.224250,0.010891,0.005861
0.9700,0.258428,0.013304,0.005982
0.9800,0.161060,0.015402,0.006125
0.9900,0.110710,0.016760,0.006286
1.0000,0.099137,0.017810,0.006459
1.0100,0.112053,0.018866,0.006642
1.0200,0.151684,0.020184,0.006837
1.0300,0.027083,0.021078,0.007044
1.0400,-0.162189,0.020403,0.007251
1.0500,-0.171426,0.018735,0.007447
1.0600,0.001460,0.017885,0.007630
1.0700,0.000218,0.017893,0.007809
1.0800,-0.020940,0.017789,0.007987
1.0900,-0.087758,0.017246,0.008162
1.1000,0.022910,0.016922,0.008333
1.1100,-0.000465,0.017034,0.008503
1.1200,0.060727,0.017335,0.008675
1.1300,0.224389,0.018761,0.008855
1.1400,0.390322,0.021834,0.009058
1.1500,0.439392,0.025983,0.009297
1.1600,0.421450,0.030287,0.009579
1.1700,0.337142,0.034080,0.009901
1.1800,0.307513,0.037303,0.010257
1.1900,0.407644,0.040879,0.010648
1.2000,0.306927,0.044452,0.011075
1.2100,0.192921,0.046951,0.011532
1.2200,-0.001999,0.047906,0.012006
1.2300,-0.056829,0.047612,0.012484
1.2400,-0.217400,0.046241,0.012953
1.2500,-0.359565,0.043356,0.013401
1.2600,-0.464377,0.039236,0.013814
1.2700,-0.534157,0.034243,0.014182
1.2800,-0.634050,0.028402,0.014495
1.2900,-0.706726,0.021699,0.014745
1.3000,-0.730082,0.014514,0.014926
1.3100,-0.750866,0.007110,0.015034
1.3200,-0.661242,0.000049,0.015070
1.3300,-0.341716,-0.004966,0.015046
1.3400,-0.316822,-0.008258,0.014980
1.3500,-0.350962,-0.011597,0.014880
1.3600,-0.491797,-0.015811,0.014743
1.3700,-0.662051,-0.021580,0.014556
1.3800,-0.672711,-0.028254,0.014307
1.3900,-0.506587,-0.034151,0.013995
1.4000,-0.295040,-0.038159,0.013634
1.4100,-0.236738,-0.040818,0.013239
1.4200,-0.247999,-0.043241,0.012818
1.4300,-0.283051,-0.045897,0.012373
1.4400,-0.268002,-0.048652,0.011900
1.4500,-0.318744,-0.051585,0.011399
1.4600,-0.269071,-0.054525,0.010868
1.4700,-0.162425,-0.056682,0.010312
1.4800,-0.185713,-0.058423,0.009737
1.4900,-0.122604,-0.059964,0.009145
1.5000,-0.057657,-0.060866,0.008541
1.5100,0.069285,-0.060808,0.007932
1.5200,0.112868,-0.059897,0.007329
1.5300,0.221982,-0.058222,0.006738
1.5400,0.146255,-0.056381,0.006165
1.5500,0.067385,-0.055313,0.005607
1.5600,-0.090727,-0.055430,0.005053
1.5700,-0.112806,-0.056447,0.004493
1.5800,-0.072891,-0.057376,0.003924
1.5900,-0.200406,-0.058742,0.003344
1.6000,0.140559,-0.059042,0.002755
1.6100,0.498446,-0.055847,0.002180
1.6200,0.424536,-0.051232,0.001645
1.6300,0.395965,-0.047129,0.001153
1.6400,0.432186,-0.042988,0.000703
1.6500,0.450773,-0.038574,0.000295
1.6600,0.530930,-0.033665,-0.000066
1.6700,0.425863,-0.028881,-0.000379
1.6800,0.561537,-0.023944,-0.000643
1.6900,0.489422,-0.018689,-0.000856
1.7000,0.291831,-0.014783,-0.001024
1.7100,0.048191,-0.013083,-0.001163
1.7200,-0.162556,-0.013655,-0.001297
1.7300,-0.114930,-0.015042,-0.001440
1.7400,-0.108951,-0.016162,-0.001596
1.7500,-0.046518,-0.016939,-0.001762
1.7600,-0.022787,-0.017286,-0.001933
1.7700,0.153654,-0.016631,-0.002103
1.7800,0.218893,-0.014769,-0.002260
1.7900,0.212769,-0.012610,-0.002396
1.8000,0.282630,-0.010133,-0.002510
1.8100,0.093301,-0.008254,-0.002602
1.8200,0.172643,-0.006924,-0.002678
1.8300,0.408468,-0.004018,-0.002733
1.8400,0.256430,-0.000694,-0.002756
1.8500,0.238408,0.001780,-0.002751
1.8600,-0.012235,0.002911,-0.002727
1.8700,-0.337593,0.001162,-0.002707
1.8800,-0.578683,-0.003419,-0.002718
1.8900,-0.773871,-0.010182,-0.002786
1.9000,-0.813101,-0.018117,-0.002928
1.9100,-0.904646,-0.026706,-0.003152
1.9200,-0.806854,-0.035263,-0.003462
1.9300,-0.760000,-0.043097,-0.003854
1.9400,-0.584314,-0.049819,-0.004318
1.9500,-0.600183,-0.055741,-0.004846
1.9600,-0.315673,-0.060321,-0.005426
1.9700,0.030114,-0.061749,-0.006037
1.9800,-0.069522,-0.061946,-0.006655
1.9900,-0.491241,-0.064749,-0.007289
2.0000,-0.390054,-0.069156,-0.007958
2.0100,-0.588243,-0.074047,-0.008674
2.0200,-0.627063,-0.080124,-0.009445
2.0300,-0.707664,-0.086797,-0.010280
2.0400,-0.640783,-0.093540,-0.011181
2.0500,-0.765110,-0.100569,-0.012152
2.0600,-0.522930,-0.107009,-0.013190
2.0700,-0.753387,-0.113391,-0.014292
2.0800,-0.650462,-0.120410,-0.015461
2.0900,-0.391572,-0.125620,-0.016691
2.1000,-0.109450,-0.128126,-0.017960
2.1100,0.097998,-0.128183,-0.019241
2.1200,-0.220748,-0.128797,-0.020526
2.1300,-0.037082,-0.130086,-0.021820
2.1400,0.050208,-0.130020,-0.023121
2.1500,0.257852,-0.128480,-0.024413
2.1600,0.317782,-0.125602,-0.025684
2.1700,0.229010,-0.122868,-0.026926
2.1800,0.181910,-0.120813,-0.028145
2.1900,-0.236779,-0.121087,-0.029354
2.2000,-0.178311,-0.123163,-0.030575
2.2100,-0.522818,-0.126668,-0.031824
2.2200,-0.835694,-0.133461,-0.033125
2.2300,-0.886591,-0.142072,-0.034503
2.2400,-0.647855,-0.149745,-0.035962
2.2500,-0.181966,-0.153894,-0.037480
2.2600,-0.050285,-0.155055,-0.039025
2.2700,0.215415,-0.154229,-0.040571
2.2800,0.411805,-0.151093,-0.042098
2.2900,0.321857,-0.147425,-0.043590
2.3000,0.585254,-0.142889,-0.045042
2.3100,0.713670,-0.136395,-0.046438
2.3200,0.716845,-0.129242,-0.047767
2.3300,0.470722,-0.123304,-0.049029
2.3400,0.430207,-0.118800,-0.050240
2.3500,0.654294,-0.113377,-0.051401
2.3600,0.531310,-0.107449,-0.052505
2.3700,0.589973,-0.101843,-0.053551
2.3800,0.180739,-0.097989,-0.054550
2.3900,0.308825,-0.095541,-0.055518
2.4000,0.152402,-0.093235,-0.056462
2.4100,0.252297,-0.091212,-0.057384
2.4200,-0.155901,-0.090730,-0.058294
2.4300,-0.351919,-0.093269,-0.059214
2.4400,-0.384666,-0.096952,-0.060165
2.4500,-0.830679,-0.103029,-0.061165
2.4600,-0.811139,-0.111238,-0.062236
2.4700,-0.313338,-0.116860,-0.063377
2.4800,-0.127939,-0.119066,-0.064556
2.4900,-0.186679,-0.120639,-0.065755
2.5000,-0.231316,-0.122729,-0.066972
2.5100,-0.563367,-0.126703,-0.068219
2.5200,-0.444536,-0.131742,-0.069511
2.5300,-0.715651,-0.137543,-0.070858
2.5400,-0.345522,-0.142849,-0.072260
2.5500,-0.460088,-0.146877,-0.073708
2.5600,-0.287978,-0.150618,-0.075196
2.5700,-0.190939,-0.153012,-0.076714
2.5800,-0.038163,-0.154158,-0.078250
2.5900,0.168696,-0.153505,-0.079788
2.6000,0.422625,-0.150548,-0.081308
2.6100,0.622040,-0.145325,-0.082788
2.6200,0.762295,-0.138403,-0.084206
2.6300,0.933124,-0.129926,-0.085548
2.6400,0.648935,-0.122016,-0.086808
2.6500,0.592053,-0.115811,-0.087997
