period_s,Sa_m_s2,Sa_g,Sv_m_s,Sd_m
0.0200,4.136093,0.421764,0.013166,0.000042
0.0295,4.554261,0.464405,0.021364,0.000100
0.0389,4.917270,0.501422,0.030481,0.000189
0.0484,6.240668,0.636371,0.048093,0.000371
0.0579,6.607655,0.673793,0.060884,0.000561
0.0674,6.055979,0.617538,0.064932,0.000696
0.0768,6.491907,0.661990,0.079395,0.000971
0.0863,6.323431,0.644811,0.086869,0.001193
0.0958,7.038953,0.717773,0.107311,0.001636
0.1053,7.784032,0.793750,0.130407,0.002185
0.1147,8.825791,0.899980,0.161167,0.002943
0.1242,8.014736,0.817276,0.158441,0.003132
0.1337,7.481943,0.762946,0.159190,0.003387
0.1432,7.043862,0.718274,0.160489,0.003657
0.1526,7.861545,0.801654,0.190973,0.004639
0.1621,8.910181,0.908586,0.229881,0.005931
0.1716,9.447827,0.963410,0.257998,0.007045
0.1811,9.480249,0.966716,0.273177,0.007872
0.1905,9.222478,0.940431,0.279655,0.008480
0.2000,9.393559,0.957876,0.299006,0.009518
0.2200,9.912293,1.010773,0.347070,0.012152
0.2502,12.054814,1.229249,0.479971,0.019110
0.2803,9.115024,0.929474,0.406688,0.018145
0.3105,9.625539,0.981532,0.475684,0.023508
0.3407,8.344049,0.850856,0.452419,0.024530
0.3708,7.426576,0.757300,0.438333,0.025871
0.4010,6.939733,0.707656,0.442920,0.028269
0.4312,10.091732,1.029070,0.692550,0.047527
0.4614,8.386724,0.855208,0.615813,0.045217
0.4915,8.199784,0.836145,0.641458,0.050180
0.5217,7.950651,0.810741,0.660145,0.054812
0.5519,7.501368,0.764927,0.658860,0.057869
0.5820,7.113829,0.725409,0.658979,0.061044
0.6122,8.292573,0.845607,0.807988,0.078727
0.6424,8.405640,0.857137,0.859366,0.087859
0.6725,7.203100,0.734512,0.771009,0.082528
0.7027,7.460410,0.760750,0.834373,0.093316
0.7329,8.256013,0.841879,0.962995,0.112325
0.7631,8.151085,0.831179,0.989895,0.120216
0.7932,6.116217,0.623681,0.772141,0.097479
0.8234,5.230429,0.533355,0.685430,0.089823
0.8536,4.380915,0.446729,0.595139,0.080849
0.8837,3.743800,0.381761,0.526565,0.074061
0.9139,3.503243,0.357231,0.509552,0.074115
0.9441,3.329097,0.339473,0.500207,0.075158
0.9742,3.096164,0.315721,0.480075,0.074438
1.0044,2.804781,0.286008,0.448362,0.071673
1.0346,2.650453,0.270271,0.436418,0.071860
1.0647,2.855846,0.291215,0.483950,0.082010
1.0949,3.046416,0.310648,0.530872,0.092510
1.1251,3.239749,0.330362,0.580118,0.103878
1.1553,3.433724,0.350142,0.631340,0.116081
1.1854,3.613206,0.368444,0.681689,0.128612
1.2156,3.749266,0.382319,0.725362,0.140334
1.2458,3.829430,0.390493,0.759258,0.150538
1.2759,3.835898,0.391153,0.778959,0.158184
1.3061,3.763386,0.383759,0.782305,0.162620
1.3363,3.620469,0.369185,0.769980,0.163755
1.3664,3.415672,0.348302,0.742826,0.161547
1.3966,3.170127,0.323263,0.704648,0.156627
1.4268,3.235241,0.329903,0.734655,0.166825
1.4569,3.236931,0.330075,0.750582,0.174045
1.4871,3.164137,0.322652,0.748895,0.177250
1.5173,3.041162,0.310112,0.734392,0.177344
1.5475,2.904548,0.296181,0.715348,0.176180
1.5776,2.772165,0.282682,0.696055,0.174770
1.6078,2.643657,0.269578,0.676482,0.173104
1.6380,2.528525,0.257838,0.659162,0.171837
1.6681,2.438545,0.248662,0.647414,0.171883
1.6983,2.379522,0.242644,0.643170,0.173845
1.7285,2.353670,0.240008,0.647483,0.178120
1.7586,2.356500,0.240296,0.659577,0.184614
1.7888,2.382020,0.242898,0.678157,0.193070
1.8190,2.420622,0.246835,0.700771,0.202873
1.8492,2.463609,0.251218,0.725045,0.213382
1.8793,2.501828,0.255115,0.748305,0.223821
1.9095,2.672842,0.272554,0.812290,0.246859
1.9397,2.839640,0.289563,0.876616,0.270617
1.9698,2.986443,0.304532,0.936275,0.293530
2.0000,3.105856,0.316709,0.988625,0.314689
2.1000,3.330406,0.339607,1.113106,0.372028
2.2000,3.319162,0.338460,1.162174,0.406925
2.3000,2.972397,0.303100,1.088065,0.398293
2.4000,2.580481,0.263136,0.985671,0.376499
2.5000,2.201334,0.224474,0.875883,0.348503
2.6000,1.983055,0.202215,0.820594,0.339564
2.7000,1.915357,0.195312,0.823064,0.353686
2.8000,1.909874,0.194753,0.851104,0.379281
2.9000,1.887022,0.192423,0.870954,0.401988
3.0000,1.969304,0.200813,0.940273,0.448947
3.1000,2.014128,0.205384,0.993731,0.490287
3.2000,1.979908,0.201894,1.008359,0.513553
3.3000,2.031113,0.207116,1.066764,0.560276
3.4000,2.041146,0.208139,1.104519,0.597685
3.5000,1.993661,0.203297,1.110553,0.618625
3.6000,1.905898,0.194347,1.091999,0.625669
3.7000,1.822665,0.185860,1.073319,0.632049
3.8000,1.768710,0.180358,1.069696,0.646940
3.9000,1.683537,0.171673,1.044979,0.648623
4.0000,1.576051,0.160712,1.003345,0.638749
