time_s,accel_corrected_m_s2,vel_m_s,disp_m
0.0000,-0.038392,0.000000,0.000000
0.0100,-0.038880,-0.000386,-0.000002
0.0200,-0.039294,-0.000777,-0.000008
0.0300,-0.039795,-0.001173,-0.000017
0.0400,-0.040407,-0.001574,-0.000031
0.0500,-0.040473,-0.001978,-0.000049
0.0600,-0.041251,-0.002387,-0.000071
0.0700,-0.041562,-0.002801,-0.000097
0.0800,-0.042041,-0.003219,-0.000127
0.0900,-0.042233,-0.003640,-0.000161
0.1000,-0.042028,-0.004061,-0.000200
0.1100,-0.044556,-0.004494,-0.000242
0.1200,-0.047165,-0.004953,-0.000290
0.1300,-0.044770,-0.005413,-0.000341
0.1400,-0.040314,-0.005838,-0.000398
0.1500,-0.040684,-0.006243,-0.000458
0.1600,-0.032973,-0.006611,-0.000522
0.1700,-0.036078,-0.006957,-0.000590
0.1800,-0.031197,-0.007293,-0.000662
0.1900,-0.023152,-0.007565,-0.000736
0.2000,-0.013932,-0.007750,-0.000812
0.2100,-0.008579,-0.007863,-0.000890
0.2200,-0.001861,-0.007915,-0.000969
0.2300,-0.007587,-0.007962,-0.001049
0.2400,-0.017789,-0.008089,-0.001129
0.2500,-0.020406,-0.008280,-0.001211
0.2600,-0.027776,-0.008521,-0.001295
0.2700,-0.039983,-0.008860,-0.001382
0.2800,-0.063480,-0.009377,-0.001473
0.2900,-0.071225,-0.010051,-0.001570
0.3000,-0.086854,-0.010841,-0.001675
0.3100,-0.070043,-0.011625,-0.001787
0.3200,-0.071793,-0.012335,-0.001907
0.3300,-0.088032,-0.013134,-0.002034
0.3400,-0.079874,-0.013973,-0.002170
0.3500,-0.054803,-0.014647,-0.002313
0.3600,-0.076766,-0.015304,-0.002462
0.3700,-0.066845,-0.016023,-0.002619
0.3800,-0.033990,-0.016527,-0.002782
0.3900,-0.037093,-0.016882,-0.002949
0.4000,-0.033734,-0.017236,-0.003119
0.4100,-0.035437,-0.017582,-0.003293
0.4200,-0.076599,-0.018142,-0.003472
0.4300,-0.095032,-0.019000,-0.003658
0.4400,-0.093742,-0.019944,-0.003853
0.4500,-0.082739,-0.020827,-0.004056
0.4600,-0.053915,-0.021510,-0.004268
0.4700,-0.009067,-0.021825,-0.004485
0.4800,-0.039643,-0.022068,-0.004704
0.4900,-0.060530,-0.022569,-0.004927
0.5000,-0.071075,-0.023227,-0.005156
0.5100,-0.098346,-0.024074,-0.005393
0.5200,-0.053848,-0.024835,-0.005637
0.5300,-0.041274,-0.025311,-0.005888
0.5400,-0.099485,-0.026015,-0.006145
0.5500,-0.057395,-0.026799,-0.006409
0.5600,0.009502,-0.027039,-0.006678
0.5700,0.004093,-0.026971,-0.006948
0.5800,-0.002476,-0.026963,-0.007218
0.5900,-0.042321,-0.027187,-0.007489
0.6000,-0.063629,-0.027716,-0.007763
0.6100,-0.103901,-0.028554,-0.008044
0.6200,-0.087981,-0.029513,-0.008335
0.6300,-0.164302,-0.030775,-0.008636
0.6400,-0.137274,-0.032283,-0.008951
0.6500,-0.121663,-0.033577,-0.009281
0.6600,-0.124531,-0.034808,-0.009623
0.6700,-0.047005,-0.035666,-0.009975
0.6800,-0.069437,-0.036248,-0.010335
0.6900,-0.116676,-0.037179,-0.010702
0.7000,-0.109782,-0.038311,-0.011079
0.7100,-0.032314,-0.039022,-0.011466
0.7200,-0.142611,-0.039896,-0.011860
0.7300,-0.176887,-0.041494,-0.012267
0.7400,-0.187618,-0.043316,-0.012691
0.7500,-0.185606,-0.045182,-0.013134
0.7600,-0.248225,-0.047352,-0.013597
0.7700,-0.320138,-0.050193,-0.014084
0.7800,-0.180396,-0.052696,-0.014599
0.7900,-0.088498,-0.054040,-0.015132
0.8000,-0.085189,-0.054909,-0.015677
0.8100,-0.075904,-0.055714,-0.016230
