period_s,Sa_m_s2,Sa_g,Sv_m_s,Sd_m
0.0200,3.734162,0.380779,0.011886,0.000038
0.0295,4.366273,0.445236,0.020482,0.000096
0.0389,4.733417,0.482674,0.029341,0.000182
0.0484,4.555784,0.464561,0.035109,0.000271
0.0579,4.978629,0.507679,0.045874,0.000423
0.0674,4.389131,0.447567,0.047060,0.000505
0.0768,5.579324,0.568933,0.068234,0.000834
0.0863,5.579441,0.568945,0.076648,0.001053
0.0958,5.386614,0.549282,0.082121,0.001252
0.1053,7.657761,0.780874,0.128292,0.002149
0.1147,7.312881,0.745706,0.133540,0.002439
0.1242,6.057756,0.617719,0.119754,0.002367
0.1337,5.214312,0.531712,0.110942,0.002360
0.1432,5.545225,0.565456,0.126344,0.002879
0.1526,6.357151,0.648249,0.154428,0.003751
0.1621,5.868434,0.598414,0.151405,0.003906
0.1716,5.852072,0.596745,0.159806,0.004364
0.1811,5.802967,0.591738,0.167215,0.004818
0.1905,5.491168,0.559943,0.166510,0.005049
0.2000,6.059397,0.617887,0.192877,0.006139
0.2200,7.954571,0.811141,0.278522,0.009752
0.2502,8.798257,0.897172,0.350309,0.013948
0.2803,6.476658,0.660435,0.288971,0.012893
0.3105,8.175995,0.833719,0.404049,0.019968
0.3407,6.866146,0.700152,0.372286,0.020186
0.3708,6.808879,0.694312,0.401875,0.023720
0.4010,6.819291,0.695374,0.435233,0.027778
0.4312,7.073619,0.721308,0.485430,0.033313
0.4614,6.311140,0.643557,0.463409,0.034027
0.4915,6.358219,0.648358,0.497395,0.038911
0.5217,5.037773,0.513710,0.418288,0.034731
0.5519,4.197038,0.427979,0.368634,0.032378
0.5820,4.296688,0.438140,0.398018,0.036870
0.6122,5.266574,0.537041,0.513150,0.049999
0.6424,5.726179,0.583908,0.585426,0.059852
0.6725,5.629009,0.573999,0.602520,0.064493
0.7027,4.954088,0.505176,0.554066,0.061967
0.7329,4.379452,0.446580,0.510827,0.059584
0.7631,4.249425,0.433321,0.516064,0.062673
0.7932,4.234114,0.431759,0.534535,0.067482
0.8234,3.925072,0.400246,0.514367,0.067406
0.8536,3.619382,0.369074,0.491687,0.066795
0.8837,3.280800,0.334549,0.461444,0.064902
0.9139,2.790968,0.284599,0.405950,0.059046
0.9441,2.412887,0.246046,0.362544,0.054473
0.9742,2.178491,0.222144,0.337785,0.052375
1.0044,1.895657,0.193303,0.303033,0.048442
1.0346,1.859802,0.189647,0.306231,0.050423
1.0647,2.016041,0.205579,0.341637,0.057894
1.0949,2.086308,0.212744,0.363563,0.063355
1.1251,2.050644,0.209107,0.367194,0.065751
1.1553,1.910308,0.194797,0.351238,0.064580
1.1854,1.840924,0.187722,0.347320,0.065527
1.2156,1.755700,0.179032,0.339671,0.065715
1.2458,1.639841,0.167217,0.325130,0.064463
1.2759,1.477023,0.150614,0.299940,0.060909
1.3061,1.482901,0.151214,0.308254,0.064078
1.3363,1.454851,0.148353,0.309409,0.065803
1.3664,1.430561,0.145877,0.311112,0.067659
1.3966,1.525148,0.155522,0.339006,0.075353
1.4268,1.662352,0.169513,0.377485,0.085719
1.4569,1.773323,0.180829,0.411199,0.095349
1.4871,1.846771,0.188318,0.437098,0.103453
1.5173,1.881458,0.191855,0.454342,0.109716
1.5475,1.874371,0.191133,0.461630,0.113693
1.5776,1.836665,0.187288,0.461163,0.115792
1.6078,1.760425,0.179513,0.450473,0.115271
1.6380,1.616565,0.164844,0.421423,0.109861
1.6681,1.589648,0.162099,0.422039,0.112048
1.6983,1.601652,0.163323,0.432916,0.117015
1.7285,1.574570,0.160561,0.433157,0.119159
1.7586,1.511141,0.154093,0.422964,0.118386
1.7888,1.424391,0.145247,0.405522,0.115452
1.8190,1.326393,0.135254,0.383991,0.111165
1.8492,1.231718,0.125600,0.362497,0.106683
1.8793,1.135831,0.115823,0.339731,0.101615
1.9095,1.041868,0.106241,0.316629,0.096225
1.9397,0.957517,0.097640,0.295592,0.091251
1.9698,0.890243,0.090779,0.279098,0.087500
2.0000,0.844047,0.086069,0.268669,0.085520
2.1000,0.890618,0.090818,0.297667,0.099488
2.2000,0.970785,0.098993,0.339911,0.119017
2.3000,1.098196,0.111985,0.402002,0.147155
2.4000,1.186428,0.120982,0.453182,0.173103
2.5000,1.158588,0.118143,0.460988,0.183421
2.6000,1.087965,0.110942,0.450203,0.186295
2.7000,1.006641,0.102649,0.432572,0.185884
2.8000,0.936388,0.095485,0.417286,0.185957
2.9000,0.890040,0.090759,0.410797,0.189603
3.0000,0.852670,0.086948,0.407120,0.194386
3.1000,0.836525,0.085302,0.412725,0.203630
3.2000,0.793621,0.080927,0.404188,0.205851
3.3000,0.720506,0.073471,0.378418,0.198749
3.4000,0.616635,0.062879,0.333678,0.180562
3.5000,0.502773,0.051269,0.280066,0.156009
3.6000,0.389649,0.039733,0.223252,0.127914
3.7000,0.393626,0.040139,0.231796,0.136498
3.8000,0.400921,0.040883,0.242473,0.146645
3.9000,0.393431,0.040119,0.244204,0.151579
4.0000,0.372097,0.037943,0.236884,0.150805
