period_s,Sa_m_s2,Sa_g,Sv_m_s,Sd_m
0.0200,5.740759,0.585395,0.018273,0.000058
0.0295,5.047500,0.514702,0.023677,0.000111
0.0389,7.059953,0.719915,0.043762,0.000271
0.0484,6.469456,0.659701,0.049857,0.000384
0.0579,7.285753,0.742940,0.067133,0.000619
0.0674,8.838343,0.901260,0.094765,0.001016
0.0768,7.814908,0.796899,0.095575,0.001169
0.0863,7.406487,0.755251,0.101747,0.001398
0.0958,7.242381,0.738517,0.110413,0.001683
0.1053,8.028805,0.818710,0.134508,0.002253
0.1147,8.099349,0.825904,0.147902,0.002701
0.1242,8.944223,0.912057,0.176816,0.003495
0.1337,7.998288,0.815598,0.170176,0.003621
0.1432,8.123929,0.828410,0.185098,0.004217
0.1526,9.263007,0.944564,0.225018,0.005466
0.1621,10.069961,1.026850,0.259804,0.006703
0.1716,10.206436,1.040767,0.278714,0.007611
0.1811,10.441205,1.064707,0.300868,0.008670
0.1905,9.771492,0.996415,0.296303,0.008985
0.2000,8.701401,0.887296,0.276974,0.008816
0.2200,9.067716,0.924650,0.317498,0.011117
0.2502,9.300269,0.948363,0.370297,0.014744
0.2803,8.740065,0.891239,0.389958,0.017399
0.3105,10.067236,1.026572,0.497512,0.024587
0.3407,8.612202,0.878200,0.466959,0.025319
0.3708,10.551827,1.075987,0.622792,0.036759
0.4010,8.426262,0.859240,0.537796,0.034324
0.4312,8.481274,0.864849,0.582031,0.039942
0.4614,9.784649,0.997757,0.718458,0.052754
0.4915,10.252394,1.045453,0.802031,0.062742
0.5217,8.002862,0.816065,0.664480,0.055172
0.5519,8.341761,0.850623,0.732673,0.064352
0.5820,7.769660,0.792285,0.719731,0.066671
0.6122,6.674882,0.680649,0.650368,0.063369
0.6424,5.992556,0.611071,0.612660,0.062636
0.6725,4.872059,0.496812,0.521498,0.055820
0.7027,4.958028,0.505578,0.554506,0.062016
0.7329,4.893170,0.498964,0.570748,0.066573
0.7631,4.704952,0.479772,0.571385,0.069391
0.7932,5.005989,0.510469,0.631981,0.079784
0.8234,4.957251,0.505499,0.649631,0.085132
0.8536,4.463285,0.455128,0.606329,0.082369
0.8837,3.788172,0.386286,0.532806,0.074939
0.9139,3.502874,0.357194,0.509498,0.074107
0.9441,3.450254,0.351828,0.518411,0.077893
0.9742,2.976397,0.303508,0.461504,0.071558
1.0044,2.878034,0.293478,0.460072,0.073545
1.0346,3.190201,0.325310,0.525292,0.086493
1.0647,3.492918,0.356178,0.591908,0.100305
1.0949,3.623741,0.369519,0.631477,0.110042
1.1251,3.558124,0.362828,0.637128,0.114086
1.1553,3.318628,0.338406,0.610178,0.112190
1.1854,2.995667,0.305473,0.565181,0.106630
1.2156,2.705447,0.275879,0.523417,0.101264
1.2458,2.447438,0.249569,0.485252,0.096211
1.2759,2.234198,0.227825,0.453701,0.092133
1.3061,2.207798,0.225133,0.458941,0.095401
1.3363,2.172195,0.221502,0.461970,0.098249
1.3664,2.159214,0.220179,0.469577,0.102122
1.3966,2.178479,0.222143,0.484227,0.107633
1.4268,2.222241,0.226605,0.504624,0.114590
1.4569,2.276384,0.232127,0.527849,0.122398
1.4871,2.384537,0.243155,0.564378,0.133578
1.5173,2.467692,0.251635,0.595908,0.143902
1.5475,2.592351,0.264346,0.638459,0.157243
1.5776,2.655867,0.270823,0.666854,0.167438
1.6078,2.646689,0.269887,0.677258,0.173303
1.6380,2.579730,0.263059,0.672511,0.175317
1.6681,2.571781,0.262249,0.682787,0.181275
1.6983,2.526266,0.257607,0.682834,0.184566
1.7285,2.450261,0.249857,0.674055,0.185429
1.7586,2.354299,0.240072,0.658961,0.184441
1.7888,2.248820,0.229316,0.640236,0.182274
1.8190,2.159724,0.220231,0.625241,0.181007
1.8492,2.138002,0.218016,0.629218,0.185180
1.8793,2.099168,0.214056,0.627868,0.187797
1.9095,2.051703,0.209215,0.623523,0.189492
1.9397,2.002005,0.204148,0.618032,0.190791
1.9698,1.950592,0.198905,0.611527,0.191719
2.0000,1.899370,0.193682,0.604588,0.192446
2.1000,1.870862,0.190775,0.625290,0.208988
2.2000,1.955766,0.199433,0.684794,0.239774
2.3000,2.022139,0.206201,0.740217,0.270961
2.4000,2.181661,0.222468,0.833333,0.318310
2.5000,2.263723,0.230836,0.900707,0.358380
2.6000,2.256928,0.230143,0.933923,0.386460
2.7000,2.174576,0.221745,0.934455,0.401553
2.8000,2.052915,0.209339,0.914848,0.407687
2.9000,1.894658,0.193201,0.874478,0.403615
3.0000,1.723807,0.175779,0.823057,0.392981
3.1000,1.599724,0.163126,0.789272,0.389411
3.2000,1.574124,0.160516,0.801695,0.408300
3.3000,1.482207,0.151143,0.778472,0.408862
3.4000,1.319258,0.134527,0.713886,0.386303
3.5000,1.197435,0.122104,0.667022,0.371559
3.6000,1.120346,0.114243,0.641911,0.367788
3.7000,1.050238,0.107094,0.618457,0.364193
3.8000,1.041835,0.106238,0.630090,0.381071
3.9000,1.001036,0.102077,0.621347,0.385673
4.0000,0.933517,0.095192,0.594296,0.378340
