time_s,accel_corrected_m_s2,vel_m_s,disp_m
0.0000,-0.042417,0.000000,0.000000
0.0100,-0.042334,-0.000424,-0.000002
0.0200,-0.042297,-0.000847,-0.000008
0.0300,-0.042315,-0.001270,-0.000019
0.0400,-0.042371,-0.001693,-0.000034
0.0500,-0.042403,-0.002117,-0.000053
0.0600,-0.042719,-0.002543,-0.000076
0.0700,-0.042715,-0.002970,-0.000104
0.0800,-0.043223,-0.003400,-0.000136
0.0900,-0.045496,-0.003843,-0.000172
0.1000,-0.047766,-0.004310,-0.000213
0.1100,-0.048994,-0.004793,-0.000258
0.1200,-0.047215,-0.005275,-0.000308
0.1300,-0.044112,-0.005731,-0.000364
0.1400,-0.041269,-0.006158,-0.000423
0.1500,-0.037795,-0.006553,-0.000487
0.1600,-0.032785,-0.006906,-0.000554
0.1700,-0.017248,-0.007156,-0.000624
0.1800,-0.015081,-0.007318,-0.000696
0.1900,-0.022121,-0.007504,-0.000771
0.2000,-0.023509,-0.007732,-0.000847
0.2100,-0.038311,-0.008041,-0.000926
0.2200,-0.046118,-0.008463,-0.001008
0.2300,-0.041884,-0.008903,-0.001095
0.2400,-0.032778,-0.009277,-0.001186
0.2500,-0.037929,-0.009630,-0.001280
0.2600,-0.035089,-0.009995,-0.001379
0.2700,-0.027249,-0.010307,-0.001480
0.2800,-0.038544,-0.010636,-0.001585
0.2900,-0.039648,-0.011027,-0.001693
0.3000,-0.038743,-0.011419,-0.001805
0.3100,-0.063946,-0.011932,-0.001922
0.3200,-0.070796,-0.012606,-0.002045
0.3300,-0.095884,-0.013440,-0.002175
0.3400,-0.116946,-0.014504,-0.002315
0.3500,-0.083615,-0.015507,-0.002465
0.3600,-0.098094,-0.016415,-0.002624
0.3700,-0.102061,-0.017416,-0.002794
0.3800,-0.109011,-0.018471,-0.002973
0.3900,-0.095595,-0.019494,-0.003163
0.4000,-0.054934,-0.020247,-0.003362
0.4100,-0.043621,-0.020740,-0.003566
0.4200,-0.027324,-0.021094,-0.003776
0.4300,-0.021848,-0.021340,-0.003988
0.4400,-0.030220,-0.021601,-0.004203
0.4500,-0.005583,-0.021780,-0.004419
0.4600,0.033738,-0.021639,-0.004637
0.4700,0.085467,-0.021043,-0.004850
0.4800,0.093765,-0.020147,-0.005056
0.4900,0.089317,-0.019231,-0.005253
0.5000,0.129710,-0.018136,-0.005440
0.5100,0.200909,-0.016483,-0.005613
0.5200,0.203914,-0.014459,-0.005767
0.5300,0.198899,-0.012445,-0.005902
0.5400,0.189068,-0.010505,-0.006017
0.5500,0.201332,-0.008553,-0.006112
0.5600,0.220358,-0.006445,-0.006187
0.5700,0.248741,-0.004099,-0.006240
0.5800,0.221065,-0.001750,-0.006269
0.5900,0.232498,0.000518,-0.006275
0.6000,0.301642,0.003189,-0.006257
0.6100,0.320670,0.006300,-0.006209
0.6200,0.361687,0.009712,-0.006129
0.6300,0.397805,0.013509,-0.006013
0.6400,0.291295,0.016955,-0.005861
0.6500,0.301915,0.019921,-0.005676
0.6600,0.292869,0.022895,-0.005462
0.6700,0.186568,0.025292,-0.005221
0.6800,0.131102,0.026880,-0.004960
0.6900,0.159087,0.028331,-0.004684
0.7000,0.165610,0.029955,-0.004393
0.7100,0.228520,0.031925,-0.004083
0.7200,0.119881,0.033667,-0.003755
0.7300,0.028185,0.034408,-0.003415
0.7400,0.026240,0.034680,-0.003070
0.7500,-0.011183,0.034755,-0.002722
0.7600,0.045286,0.034926,-0.002374
0.7700,0.022154,0.035263,-0.002023
0.7800,-0.089891,0.034924,-0.001672
0.7900,-0.117389,0.033888,-0.001328
0.8000,-0.087370,0.032864,-0.000994
0.8100,-0.138117,0.031737,-0.000671
0.8200,-0.061307,0.030739,-0.000359
0.8300,-0.052293,0.030171,-0.000054
0.8400,0.004375,0.029932,0.000246
0.8500,-0.029283,0.029807,0.000545
0.8600,-0.036851,0.029477,0.000841
0.8700,0.008223,0.029334,0.001135
0.8800,0.005760,0.029403,0.001429
0.8900,-0.122588,0.028819,0.001720
0.9000,-0.046154,0.027976,0.002004
0.9100,-0.015603,0.027667,0.002282
0.9200,0.231245,0.028745,0.002564
0.9300,0.382311,0.031813,0.002867
0.9400,0.322064,0.035335,0.003203
0.9500,0.192287,0.037906,0.003569
0.9600,0.068936,0.039213,0.003955
0.9700,0.063547,0.039875,0.004350
0.9800,0.094505,0.040665,0.004753
0.9900,0.052736,0.041401,0.005163
1.0000,0.091363,0.042122,0.005581
1.0100,0.055691,0.042857,0.006006
1.0200,0.039687,0.043334,0.006437
1.0300,0.067886,0.043872,0.006873
1.0400,0.105821,0.044740,0.007316
1.0500,0.172289,0.046131,0.007770
1.0600,0.109775,0.047541,0.008238
1.0700,0.140523,0.048793,0.008720
1.0800,0.153663,0.050264,0.009215
1.0900,0.358060,0.052822,0.009731
1.1000,0.181367,0.055520,0.010272
1.1100,0.117026,0.057011,0.010835
1.1200,0.097875,0.058086,0.011411
1.1300,0.210315,0.059627,0.011999
1.1400,0.269529,0.062026,0.012607
1.1500,-0.138586,0.062681,0.013231
1.1600,-0.197342,0.061001,0.013849
1.1700,-0.012777,0.059951,0.014454
1.1800,0.248664,0.061130,0.015060
1.1900,0.204377,0.063395,0.015682
1.2000,0.127633,0.065055,0.016324
1.2100,0.117254,0.066280,0.016981
1.2200,-0.066852,0.066532,0.017645
1.2300,-0.093439,0.065730,0.018306
1.2400,0.226006,0.066393,0.018967
1.2500,0.688851,0.070967,0.019654
1.2600,0.859310,0.078708,0.020402
1.2700,1.229427,0.089152,0.021242
1.2800,1.314357,0.101871,0.022197
1.2900,1.510841,0.115997,0.023286
1.3000,1.519732,0.131150,0.024522
1.3100,1.375086,0.145624,0.025906
1.3200,1.518313,0.160091,0.027434
1.3300,1.531323,0.175339,0.029111
1.3400,1.290609,0.189449,0.030935
1.3500,1.120097,0.201502,0.032890
1.3600,0.948838,0.211847,0.034957
1.3700,0.791998,0.220551,0.037119
1.3800,0.463763,0.226830,0.039356
1.3900,0.451370,0.231405,0.041647
1.4000,0.434227,0.235833,0.043983
1.4100,0.510963,0.240559,0.046365
1.4200,0.686525,0.246547,0.048801
1.4300,0.423487,0.252097,0.051294
1.4400,0.508135,0.256755,0.053838
1.4500,0.576288,0.262177,0.056433
1.4600,0.345011,0.266784,0.059077
1.4700,0.407796,0.270548,0.061764
1.4800,0.217618,0.273675,0.064485
1.4900,0.419821,0.276862,0.067238
1.5000,0.574258,0.281832,0.070031
1.5100,0.473855,0.287073,0.072876
1.5200,0.570332,0.292294,0.075773
1.5300,0.462815,0.297460,0.078722
1.5400,-0.398523,0.297781,0.081698
1.5500,-0.791590,0.291830,0.084646
1.5600,-0.976088,0.282992,0.087520
1.5700,-0.937334,0.273425,0.090302
1.5800,-0.668826,0.265394,0.092996
1.5900,-0.516633,0.259467,0.095620
1.6000,-0.254644,0.255610,0.098196
1.6100,-0.041215,0.254131,0.100744
1.6200,-0.052004,0.253665,0.103283
1.6300,0.086473,0.253837,0.105821
1.6400,-0.028992,0.254125,0.108361
1.6500,0.130677,0.254633,0.110905
1.6600,-0.094076,0.254816,0.113452
1.6700,0.087609,0.254784,0.116000
1.6800,0.026588,0.255355,0.118550
1.6900,-0.080057,0.255088,0.121103
1.7000,-0.127356,0.254051,0.123648
1.7100,0.193094,0.254379,0.126191
1.7200,0.447023,0.257580,0.128750
1.7300,0.503636,0.262333,0.131350
1.7400,0.260808,0.266155,0.133992
1.7500,0.448814,0.269703,0.136672
1.7600,0.182970,0.272862,0.139384
1.7700,0.217363,0.274864,0.142123
1.7800,0.732889,0.279615,0.144895
1.7900,0.584913,0.286204,0.147725
1.8000,0.416752,0.291213,0.150612
1.8100,0.237386,0.294483,0.153540
1.8200,0.283806,0.297089,0.156498
1.8300,0.202677,0.299522,0.159481
1.8400,0.332030,0.302195,0.162490
1.8500,0.199483,0.304853,0.165525
1.8600,-0.765923,0.302021,0.168559
1.8700,-1.232752,0.292027,0.171530
1.8800,-1.628983,0.277719,0.174378
1.8900,-1.361834,0.262764,0.177081
1.9000,-1.457399,0.248668,0.179638
