period_s,Sa_m_s2,Sa_g,Sv_m_s,Sd_m
0.0200,9.467938,0.965461,0.030137,0.000096
0.0295,8.168704,0.832976,0.038318,0.000180
0.0389,9.950228,1.014641,0.061678,0.000382
0.0484,9.558611,0.974707,0.073663,0.000568
0.0579,10.465611,1.067195,0.096433,0.000889
0.0674,10.567057,1.077540,0.113300,0.001215
0.0768,11.165086,1.138522,0.136547,0.001670
0.0863,10.291689,1.049460,0.141383,0.001942
0.0958,9.661961,0.985246,0.147300,0.002246
0.1053,10.788171,1.100087,0.180736,0.003028
0.1147,11.074111,1.129245,0.202224,0.003693
0.1242,8.772151,0.894510,0.173414,0.003428
0.1337,10.331458,1.053515,0.219817,0.004677
0.1432,12.115281,1.235415,0.276038,0.006289
0.1526,13.100459,1.335875,0.318237,0.007731
0.1621,11.753428,1.198516,0.303237,0.007823
0.1716,11.388072,1.161260,0.310981,0.008492
0.1811,12.357121,1.260076,0.356076,0.010260
0.1905,15.608053,1.591578,0.473286,0.014352
0.2000,17.033141,1.736897,0.542182,0.017258
0.2200,14.699763,1.498959,0.514699,0.018022
0.2502,13.682837,1.395261,0.544792,0.021691
0.2803,12.913047,1.316764,0.576146,0.025706
0.3105,16.577817,1.690467,0.819258,0.040487
0.3407,15.843146,1.615551,0.859025,0.046577
0.3708,15.318426,1.562045,0.904127,0.053364
0.4010,17.215848,1.755528,1.098781,0.070128
0.4312,16.101142,1.641860,1.104948,0.075828
0.4614,14.925665,1.521994,1.095948,0.080472
0.4915,15.757000,1.606767,1.232650,0.096429
0.5217,14.436095,1.472072,1.198634,0.099523
0.5519,17.601433,1.794847,1.545968,0.135785
0.5820,16.000258,1.631572,1.482161,0.137298
0.6122,13.362511,1.362597,1.301979,0.126859
0.6424,14.919797,1.521396,1.525353,0.155947
0.6725,14.034009,1.431071,1.502178,0.160791
0.7027,12.870178,1.312393,1.439402,0.160983
0.7329,13.247629,1.350882,1.545226,0.180238
0.7631,14.823050,1.511530,1.800160,0.218617
0.7932,17.528446,1.787404,2.212878,0.279365
0.8234,18.456951,1.882085,2.418720,0.316965
0.8536,17.477566,1.782216,2.374296,0.322544
0.8837,15.442594,1.574706,2.171998,0.305491
0.9139,13.350551,1.361377,1.941857,0.282446
0.9441,11.972512,1.220856,1.798907,0.270291
0.9742,11.446997,1.167269,1.774910,0.275208
1.0044,11.588086,1.181656,1.852429,0.296122
1.0346,11.914527,1.214944,1.961821,0.323029
1.0647,11.600340,1.182906,1.965788,0.333122
1.0949,10.979348,1.119582,1.913274,0.333409
1.1251,10.108546,1.030785,1.810064,0.324115
1.1553,9.588655,0.977771,1.763012,0.324155
1.1854,10.068216,1.026672,1.899530,0.358377
1.2156,10.387494,1.059230,2.009644,0.388801
1.2458,10.556317,1.076445,2.092993,0.414976
1.2759,10.586606,1.079533,2.149832,0.436568
1.3061,10.507355,1.071452,2.184191,0.454033
1.3363,10.347125,1.055113,2.200566,0.468004
1.3664,10.123354,1.032295,2.201584,0.478791
1.3966,9.850687,1.004490,2.189585,0.486695
1.4268,9.539123,0.972720,2.166135,0.491884
1.4569,9.312512,0.949612,2.159391,0.500721
1.4871,9.065947,0.924469,2.145749,0.507861
1.5173,8.536458,0.870477,2.061417,0.497799
1.5475,8.172445,0.833357,2.012755,0.495712
1.5776,8.007215,0.816509,2.010509,0.504813
1.6078,8.244142,0.840669,2.109583,0.539819
1.6380,8.408553,0.857434,2.192029,0.571441
1.6681,8.484971,0.865226,2.252692,0.598072
1.6983,8.481884,0.864911,2.292599,0.619675
1.7285,8.404174,0.856987,2.311949,0.636006
1.7586,8.265805,0.842878,2.313573,0.647562
1.7888,8.073924,0.823311,2.298634,0.654418
1.8190,7.841550,0.799616,2.270130,0.657203
1.8492,7.565059,0.771421,2.226410,0.655236
1.8793,7.250225,0.739317,2.168567,0.648626
1.9095,6.911292,0.704756,2.100376,0.638315
1.9397,6.558658,0.668797,2.024701,0.625039
1.9698,6.213602,0.633611,1.948016,0.610719
2.0000,5.898309,0.601460,1.877490,0.597624
2.1000,4.925872,0.502299,1.646351,0.550252
2.2000,5.182168,0.528434,1.814489,0.635327
2.3000,5.404966,0.551153,1.978522,0.724251
2.4000,5.584022,0.569412,2.132939,0.814723
2.5000,5.487555,0.559575,2.183429,0.868759
2.6000,5.407484,0.551410,2.237632,0.925939
2.7000,5.447437,0.555484,2.340864,1.005912
2.8000,5.714385,0.582705,2.546523,1.134817
2.9000,5.996059,0.611428,2.767477,1.277327
3.0000,6.202506,0.632480,2.961479,1.414002
3.1000,6.289712,0.641372,3.103220,1.531068
3.2000,6.242143,0.636521,3.179097,1.619101
3.3000,6.064424,0.618399,3.185104,1.672853
3.4000,5.831788,0.594677,3.155737,1.707654
3.5000,5.494149,0.560247,3.060473,1.704813
3.6000,5.015116,0.511400,2.873450,1.646366
3.7000,4.436950,0.452443,2.612801,1.538609
3.8000,4.044407,0.412415,2.446012,1.479321
3.9000,3.621270,0.369267,2.247738,1.395181
4.0000,3.174072,0.323665,2.020677,1.286403
