time_s,accel_corrected_m_s2,vel_m_s,disp_m
0.0000,0.010645,0.000000,0.000000
0.0100,0.010467,0.000106,0.000001
0.0200,0.010276,0.000209,0.000002
0.0300,0.010030,0.000311,0.000005
0.0400,0.009861,0.000410,0.000008
0.0500,0.009752,0.000508,0.000013
0.0600,0.009176,0.000603,0.000018
0.0700,0.008305,0.000690,0.000025
0.0800,0.008128,0.000773,0.000032
0.0900,0.008503,0.000856,0.000040
0.1000,0.006562,0.000931,0.000049
0.1100,0.008266,0.001005,0.000059
0.1200,0.008226,0.001088,0.000069
0.1300,0.004803,0.001153,0.000081
0.1400,0.005759,0.001206,0.000092
0.1500,0.007007,0.001269,0.000105
0.1600,0.016694,0.001388,0.000118
0.1700,0.018567,0.001564,0.000133
0.1800,0.021007,0.001762,0.000150
0.1900,0.026295,0.001999,0.000168
0.2000,0.022561,0.002243,0.000190
0.2100,0.024425,0.002478,0.000213
0.2200,0.023477,0.002717,0.000239
0.2300,0.031745,0.002993,0.000268
0.2400,0.029307,0.003299,0.000299
0.2500,0.018089,0.003536,0.000333
0.2600,0.012452,0.003688,0.000369
0.2700,-0.009788,0.003702,0.000406
0.2800,-0.029493,0.003505,0.000442
0.2900,-0.048905,0.003113,0.000475
0.3000,-0.045433,0.002642,0.000504
0.3100,-0.029719,0.002266,0.000529
0.3200,-0.003793,0.002098,0.000551
0.3300,-0.020550,0.001977,0.000571
0.3400,-0.013765,0.001805,0.000590
0.3500,-0.014996,0.001661,0.000607
0.3600,-0.007516,0.001549,0.000623
0.3700,-0.004861,0.001487,0.000638
0.3800,0.000608,0.001465,0.000653
0.3900,0.005883,0.001498,0.000668
0.4000,0.022931,0.001642,0.000684
0.4100,0.004496,0.001779,0.000701
0.4200,0.026349,0.001933,0.000719
0.4300,-0.011609,0.002007,0.000739
0.4400,0.010074,0.001999,0.000759
0.4500,0.004240,0.002071,0.000779
0.4600,-0.038432,0.001900,0.000799
0.4700,-0.046806,0.001474,0.000816
0.4800,-0.035382,0.001063,0.000829
0.4900,-0.010514,0.000833,0.000838
0.5000,-0.105619,0.000253,0.000844
0.5100,-0.059115,-0.000571,0.000842
0.5200,-0.034541,-0.001039,0.000834
0.5300,-0.062198,-0.001523,0.000821
0.5400,-0.098931,-0.002329,0.000802
0.5500,-0.082553,-0.003236,0.000774
0.5600,-0.064493,-0.003971,0.000738
0.5700,-0.040130,-0.004494,0.000696
0.5800,-0.006421,-0.004727,0.000650
0.5900,-0.093808,-0.005228,0.000600
0.6000,-0.133379,-0.006364,0.000542
0.6100,-0.098854,-0.007525,0.000473
0.6200,-0.080117,-0.008420,0.000393
0.6300,-0.140929,-0.009525,0.000303
0.6400,-0.193719,-0.011199,0.000200
0.6500,-0.120933,-0.012772,0.000080
0.6600,-0.088532,-0.013819,-0.000053
0.6700,-0.076108,-0.014642,-0.000196
0.6800,-0.073702,-0.015391,-0.000346
0.6900,-0.018155,-0.015851,-0.000502
0.7000,-0.017040,-0.016027,-0.000661
0.7100,-0.012979,-0.016177,-0.000822
0.7200,-0.007608,-0.016280,-0.000985
0.7300,-0.036052,-0.016498,-0.001149
0.7400,-0.082446,-0.017091,-0.001316
0.7500,-0.035757,-0.017682,-0.001490
0.7600,0.056155,-0.017580,-0.001667
0.7700,0.024766,-0.017175,-0.001840
0.7800,0.070896,-0.016697,-0.002010
0.7900,0.103536,-0.015825,-0.002172
0.8000,0.118362,-0.014715,-0.002325
0.8100,0.168661,-0.013280,-0.002465
0.8200,-0.011622,-0.012495,-0.002594
0.8300,0.070708,-0.012199,-0.002717
0.8400,0.047915,-0.011606,-0.002836
0.8500,-0.007135,-0.011402,-0.002951
0.8600,-0.119678,-0.012036,-0.003069
0.8700,-0.126834,-0.013269,-0.003195
0.8800,-0.336516,-0.015586,-0.003339
0.8900,-0.328478,-0.018911,-0.003512
0.9000,-0.257103,-0.021838,-0.003716
0.9100,-0.192636,-0.024087,-0.003945
0.9200,-0.207211,-0.026086,-0.004196
0.9300,-0.244316,-0.028344,-0.004468
0.9400,-0.200720,-0.030569,-0.004763
0.9500,0.018573,-0.031480,-0.005073
0.9600,-0.037803,-0.031576,-0.005388
0.9700,-0.109009,-0.032310,-0.005708
0.9800,-0.143254,-0.033571,-0.006037
0.9900,-0.060175,-0.034589,-0.006378
1.0000,0.127809,-0.034250,-0.006722
1.0100,-0.028492,-0.033754,-0.007062
1.0200,0.102485,-0.033384,-0.007398
1.0300,0.081711,-0.032463,-0.007727
1.0400,0.123099,-0.031439,-0.008047
1.0500,0.110056,-0.030273,-0.008355
1.0600,-0.062842,-0.030037,-0.008657
1.0700,-0.121084,-0.030957,-0.008962
1.0800,-0.142253,-0.032273,-0.009278
1.0900,0.059317,-0.032688,-0.009603
1.1000,0.043691,-0.032173,-0.009927
1.1100,-0.259447,-0.033252,-0.010254
1.1200,-0.290390,-0.036001,-0.010600
1.1300,-0.237835,-0.038642,-0.010974
1.1400,-0.070200,-0.040182,-0.011368
1.1500,-0.073991,-0.040903,-0.011773
1.1600,-0.255975,-0.042553,-0.012190
1.1700,-0.218321,-0.044925,-0.012628
1.1800,-0.386500,-0.047949,-0.013092
1.1900,-0.283528,-0.051299,-0.013588
1.2000,-0.339530,-0.054414,-0.014117
1.2100,-0.284846,-0.057536,-0.014677
1.2200,-0.168500,-0.059803,-0.015263
1.2300,-0.324762,-0.062269,-0.015874
1.2400,-0.489428,-0.066340,-0.016517
1.2500,-0.238388,-0.069979,-0.017198
1.2600,0.105636,-0.070643,-0.017902
1.2700,0.277273,-0.068728,-0.018598
1.2800,0.547361,-0.064605,-0.019265
1.2900,0.723337,-0.058252,-0.019879
1.3000,0.684263,-0.051214,-0.020427
1.3100,0.643197,-0.044576,-0.020906
1.3200,0.929728,-0.036712,-0.021312
1.3300,1.070238,-0.026712,-0.021629
1.3400,0.916198,-0.016780,-0.021847
1.3500,1.102298,-0.006687,-0.021964
1.3600,0.922988,0.003439,-0.021980
1.3700,1.016154,0.013135,-0.021897
1.3800,0.918043,0.022806,-0.021718
1.3900,0.765804,0.031225,-0.021448
1.4000,0.626431,0.038186,-0.021100
1.4100,0.599243,0.044315,-0.020688
1.4200,0.136442,0.047993,-0.020226
1.4300,-0.026151,0.048545,-0.019744
1.4400,-0.101614,0.047906,-0.019261
1.4500,-0.078967,0.047003,-0.018787
1.4600,-0.245436,0.045381,-0.018325
1.4700,-0.654361,0.040882,-0.017894
1.4800,-0.537187,0.034924,-0.017515
1.4900,-0.182194,0.031327,-0.017183
1.5000,0.185989,0.031346,-0.016870
1.5100,0.196616,0.033259,-0.016547
1.5200,0.163306,0.035059,-0.016205
1.5300,0.136104,0.036556,-0.015847
1.5400,0.037083,0.037422,-0.015477
1.5500,0.121784,0.038216,-0.015099
1.5600,0.319734,0.040424,-0.014706
1.5700,0.158620,0.042816,-0.014290
1.5800,-0.199521,0.042611,-0.013863
1.5900,-0.207261,0.040577,-0.013447
1.6000,-0.490437,0.037089,-0.013058
1.6100,-0.218567,0.033544,-0.012705
1.6200,0.013894,0.032520,-0.012375
1.6300,-0.293780,0.031121,-0.012057
1.6400,-0.342379,0.027940,-0.011761
1.6500,-0.194887,0.025254,-0.011496
1.6600,-0.282595,0.022866,-0.011255
1.6700,-0.754370,0.017681,-0.011052
1.6800,-0.504959,0.011385,-0.010907
1.6900,-0.507723,0.006321,-0.010818
1.7000,-0.213392,0.002716,-0.010773
1.7100,0.457309,0.003935,-0.010740
