period_s,Sa_m_s2,Sa_g,Sv_m_s,Sd_m
0.0200,7.204009,0.734604,0.022931,0.000073
0.0295,7.250429,0.739338,0.034011,0.000160
0.0389,8.718664,0.889056,0.054044,0.000335
0.0484,8.109548,0.826944,0.062496,0.000482
0.0579,9.635842,0.982582,0.088787,0.000818
0.0674,9.165905,0.934662,0.098277,0.001054
0.0768,10.447849,1.065384,0.127775,0.001563
0.0863,11.162013,1.138209,0.153339,0.002107
0.0958,12.900757,1.315511,0.196677,0.002998
0.1053,10.481493,1.068815,0.175598,0.002942
0.1147,11.530274,1.175761,0.210554,0.003845
0.1242,9.459577,0.964608,0.187004,0.003697
0.1337,9.849456,1.004365,0.209562,0.004459
0.1432,9.284114,0.946716,0.211532,0.004820
0.1526,12.032043,1.226927,0.292283,0.007100
0.1621,14.633810,1.492233,0.377550,0.009741
0.1716,14.268209,1.454952,0.389631,0.010640
0.1811,13.894553,1.416850,0.400377,0.011537
0.1905,12.717549,1.296829,0.385637,0.011694
0.2000,12.948351,1.320364,0.412159,0.013119
0.2200,15.278111,1.557934,0.534949,0.018731
0.2502,15.499279,1.580487,0.617115,0.024571
0.2803,19.731262,2.012029,0.880356,0.039279
0.3105,15.083034,1.538041,0.745388,0.036836
0.3407,15.834090,1.614628,0.858534,0.046550
0.3708,15.140043,1.543855,0.893599,0.052742
0.4010,14.186800,1.446651,0.905456,0.057790
0.4312,12.259319,1.250103,0.841301,0.057735
0.4614,11.761294,1.199318,0.863597,0.063411
0.4915,9.081366,0.926042,0.710423,0.055576
0.5217,9.516606,0.970424,0.790167,0.065608
0.5519,10.208108,1.040937,0.896598,0.078750
0.5820,10.398835,1.060386,0.963281,0.089232
0.6122,10.388763,1.059359,1.012231,0.098627
0.6424,11.628184,1.185745,1.188829,0.121542
0.6725,10.749082,1.096101,1.150565,0.123155
0.7027,10.478768,1.068537,1.171946,0.131071
0.7329,10.412669,1.061797,1.214551,0.141667
0.7631,9.884695,1.007958,1.200430,0.145784
0.7932,9.150318,0.933073,1.155181,0.145836
0.8234,8.135560,0.829596,1.066137,0.139714
0.8536,7.129814,0.727039,0.968572,0.131579
0.8837,8.704973,0.887660,1.224353,0.172205
0.9139,8.865893,0.904069,1.289557,0.187568
0.9441,8.380130,0.854535,1.259140,0.189190
0.9742,8.710860,0.888261,1.350660,0.209426
1.0044,8.734179,0.890638,1.396214,0.223194
1.0346,8.501827,0.866945,1.399893,0.230504
1.0647,8.076537,0.823578,1.368646,0.231930
1.0949,7.874272,0.802952,1.372180,0.239118
1.1251,8.714536,0.888635,1.560449,0.279418
1.1553,9.114840,0.929455,1.675895,0.308137
1.1854,9.088227,0.926741,1.714640,0.323494
1.2156,8.778590,0.895167,1.698373,0.328580
1.2458,8.337438,0.850182,1.653058,0.327751
1.2759,7.831931,0.798635,1.590437,0.322972
1.3061,7.306398,0.745045,1.518800,0.315717
1.3363,6.766465,0.689987,1.439052,0.306049
1.3664,6.300858,0.642509,1.370284,0.298004
1.3966,6.314099,0.643859,1.403482,0.311962
1.4268,6.195534,0.631769,1.406876,0.319472
1.4569,5.980997,0.609892,1.386878,0.321590
1.4871,5.800953,0.591533,1.372983,0.324961
1.5173,5.759257,0.587281,1.390768,0.335848
1.5475,5.594362,0.570466,1.377810,0.339335
1.5776,5.359266,0.546493,1.345643,0.337874
1.6078,5.103064,0.520368,1.305817,0.334144
1.6380,5.104693,0.520534,1.330745,0.346912
1.6681,5.221108,0.532405,1.386163,0.368015
1.6983,5.239909,0.534322,1.416314,0.382821
1.7285,5.216749,0.531960,1.435103,0.394790
1.7586,5.194455,0.529687,1.453912,0.406945
1.7888,5.096884,0.519738,1.451075,0.413119
1.8190,4.916230,0.501316,1.423249,0.412031
1.8492,4.681880,0.477419,1.377886,0.405514
1.8793,4.435077,0.452252,1.326547,0.396775
1.9095,4.212698,0.429576,1.280260,0.389077
1.9397,4.040440,0.412010,1.247311,0.385053
1.9698,3.923952,0.400132,1.230191,0.385675
2.0000,3.855390,0.393140,1.227209,0.390633
2.1000,3.808533,0.388362,1.272908,0.425438
2.2000,4.280167,0.436456,1.498661,0.524743
2.3000,5.140612,0.524197,1.881754,0.688828
2.4000,5.690682,0.580288,2.173680,0.830285
2.5000,5.874866,0.599070,2.337535,0.930076
2.6000,5.744194,0.585745,2.376964,0.983594
2.7000,5.460039,0.556769,2.346279,1.008239
2.8000,4.993898,0.509236,2.225450,0.991736
2.9000,4.348889,0.443463,2.007227,0.926434
3.0000,3.907733,0.398478,1.865805,0.890856
3.1000,3.723710,0.379713,1.837205,0.906441
3.2000,3.464133,0.353243,1.764269,0.898535
3.3000,3.153797,0.321598,1.656410,0.869965
3.4000,2.791022,0.284605,1.510297,0.817262
3.5000,2.454322,0.250271,1.367161,0.761567
3.6000,2.283628,0.232865,1.308422,0.749671
3.7000,2.140546,0.218275,1.260511,0.742281
3.8000,1.999487,0.203891,1.209268,0.731351
3.9000,1.862786,0.189951,1.156239,0.717683
4.0000,1.730619,0.176474,1.101746,0.701393
