time_s,accel_corrected_m_s2,vel_m_s,disp_m
0.0000,-0.053622,0.000000,0.000000
0.0100,-0.053582,-0.000536,-0.000003
0.0200,-0.053251,-0.001070,-0.000011
0.0300,-0.052919,-0.001601,-0.000024
0.0400,-0.052526,-0.002128,-0.000043
0.0500,-0.052065,-0.002651,-0.000067
0.0600,-0.051441,-0.003169,-0.000096
0.0700,-0.050988,-0.003681,-0.000130
0.0800,-0.054439,-0.004208,-0.000169
0.0900,-0.053787,-0.004749,-0.000214
0.1000,-0.049671,-0.005266,-0.000264
0.1100,-0.048011,-0.005755,-0.000319
0.1200,-0.041094,-0.006200,-0.000379
0.1300,-0.027397,-0.006543,-0.000443
0.1400,-0.024421,-0.006802,-0.000510
0.1500,-0.024923,-0.007049,-0.000579
0.1600,-0.014145,-0.007244,-0.000650
0.1700,-0.004984,-0.007340,-0.000723
0.1800,-0.010685,-0.007418,-0.000797
0.1900,-0.028791,-0.007615,-0.000872
0.2000,-0.052791,-0.008023,-0.000950
0.2100,-0.041635,-0.008495,-0.001033
0.2200,-0.048515,-0.008946,-0.001120
0.2300,-0.101687,-0.009697,-0.001213
0.2400,-0.070059,-0.010556,-0.001315
0.2500,-0.056733,-0.011190,-0.001423
0.2600,-0.049677,-0.011722,-0.001538
0.2700,-0.097719,-0.012459,-0.001659
0.2800,-0.070468,-0.013300,-0.001788
0.2900,-0.081275,-0.014059,-0.001924
0.3000,-0.073130,-0.014831,-0.002069
0.3100,-0.099927,-0.015696,-0.002222
0.3200,-0.178298,-0.017087,-0.002385
0.3300,-0.115827,-0.018558,-0.002564
0.3400,-0.064922,-0.019461,-0.002754
0.3500,-0.042035,-0.019996,-0.002951
0.3600,-0.031117,-0.020362,-0.003153
0.3700,-0.048966,-0.020762,-0.003358
0.3800,-0.042540,-0.021220,-0.003568
0.3900,-0.038078,-0.021623,-0.003783
0.4000,-0.048513,-0.022056,-0.004001
0.4100,0.094269,-0.021827,-0.004220
0.4200,0.185831,-0.020427,-0.004432
0.4300,0.207286,-0.018461,-0.004626
0.4400,0.211553,-0.016367,-0.004800
0.4500,0.293457,-0.013842,-0.004951
0.4600,0.331919,-0.010715,-0.005074
0.4700,0.383243,-0.007139,-0.005163
0.4800,0.375420,-0.003346,-0.005216
0.4900,0.379012,0.000426,-0.005230
0.5000,0.254439,0.003594,-0.005210
0.5100,0.254281,0.006137,-0.005162
0.5200,0.362103,0.009219,-0.005085
0.5300,0.316023,0.012610,-0.004976
0.5400,0.251247,0.015446,-0.004835
0.5500,0.110401,0.017254,-0.004672
0.5600,0.182859,0.018721,-0.004492
0.5700,0.132232,0.020296,-0.004297
0.5800,0.119299,0.021554,-0.004088
0.5900,0.053052,0.022416,-0.003868
0.6000,-0.070787,0.022327,-0.003644
0.6100,-0.091667,0.021515,-0.003425
0.6200,-0.067997,0.020716,-0.003214
0.6300,0.031743,0.020535,-0.003007
0.6400,0.132031,0.021354,-0.002798
0.6500,0.054716,0.022288,-0.002580
0.6600,-0.119817,0.021962,-0.002359
0.6700,-0.023716,0.021244,-0.002143
0.6800,-0.259898,0.019826,-0.001937
0.6900,-0.442344,0.016315,-0.001756
0.7000,-0.062421,0.013791,-0.001606
0.7100,-0.088944,0.013035,-0.001472
0.7200,0.050226,0.012841,-0.001342
0.7300,0.230525,0.014245,-0.001207
0.7400,0.298090,0.016888,-0.001051
0.7500,0.616165,0.021459,-0.000860
0.7600,0.690773,0.027994,-0.000612
0.7700,0.772783,0.035312,-0.000296
0.7800,0.386812,0.041109,0.000086
0.7900,0.096305,0.043525,0.000509
0.8000,-0.060477,0.043704,0.000946
0.8100,-0.041168,0.043196,0.001380
0.8200,-0.197146,0.042004,0.001806
0.8300,-0.102431,0.040507,0.002219
0.8400,-0.071640,0.039636,0.002619
0.8500,0.036372,0.039460,0.003015
0.8600,-0.022395,0.039530,0.003410
0.8700,-0.110405,0.038866,0.003802
0.8800,-0.036545,0.038131,0.004187
0.8900,0.493562,0.040416,0.004579
0.9000,0.375460,0.044761,0.005005
0.9100,0.169146,0.047484,0.005467
0.9200,-0.050980,0.048075,0.005944
0.9300,-0.068945,0.047475,0.006422
0.9400,-0.177185,0.046245,0.006891
0.9500,-0.292027,0.043899,0.007341
0.9600,-0.002081,0.042428,0.007773
0.9700,-0.034718,0.042244,0.008196
0.9800,0.406830,0.044105,0.008628
0.9900,0.576825,0.049023,0.009094
1.0000,0.415019,0.053982,0.009609
1.0100,0.371267,0.057914,0.010168
1.0200,0.059803,0.060069,0.010758
1.0300,-0.190730,0.059414,0.011356
1.0400,-0.412529,0.056398,0.011935
1.0500,0.076515,0.054718,0.012490
1.0600,0.183558,0.056018,0.013044
1.0700,-0.110549,0.056383,0.013606
1.0800,0.029179,0.055977,0.014168
1.0900,0.244226,0.057344,0.014734
1.1000,0.013624,0.058633,0.015314
1.1100,0.136863,0.059385,0.015904
1.1200,0.376470,0.061952,0.016511
1.1300,0.597296,0.066821,0.017155
1.1400,0.346107,0.071538,0.017847
1.1500,-0.000910,0.073264,0.018571
1.1600,-0.110492,0.072707,0.019301
1.1700,-0.069848,0.071805,0.020023
1.1800,-0.050278,0.071204,0.020738
1.1900,-0.198722,0.069959,0.021444
1.2000,-0.596663,0.065983,0.022124
1.2100,-0.074367,0.062627,0.022767
1.2200,0.080364,0.062657,0.023393
1.2300,0.225831,0.064188,0.024027
1.2400,0.031060,0.065473,0.024676
1.2500,-0.234397,0.064456,0.025325
1.2600,-0.041777,0.063075,0.025963
1.2700,-0.340878,0.061162,0.026584
1.2800,-0.410801,0.057404,0.027177
1.2900,0.538539,0.058042,0.027754
1.3000,0.634331,0.063907,0.028364
1.3100,1.108764,0.072622,0.029047
1.3200,0.866210,0.082497,0.029822
1.3300,0.563669,0.089646,0.030683
1.3400,-0.329274,0.090818,0.031585
1.3500,-0.491718,0.086713,0.032473
1.3600,-0.289859,0.082805,0.033321
1.3700,-0.323023,0.079741,0.034133
1.3800,-0.793826,0.074157,0.034903
1.3900,-0.643060,0.066972,0.035608
1.4000,-1.048004,0.058517,0.036236
1.4100,-1.138183,0.047586,0.036766
1.4200,-1.970025,0.032045,0.037165
1.4300,-1.922378,0.012583,0.037388
1.4400,-1.699489,-0.005526,0.037423
1.4500,-2.005728,-0.024052,0.037275
1.4600,-0.660635,-0.037384,0.036968
1.4700,0.198466,-0.039695,0.036582
1.4800,-0.618557,-0.041795,0.036175
1.4900,-1.106845,-0.050422,0.035714
1.5000,-0.918633,-0.060550,0.035159
1.5100,0.320853,-0.063539,0.034539
1.5200,0.626080,-0.058804,0.033927
1.5300,-0.176491,-0.056556,0.033350
1.5400,-0.102282,-0.057950,0.032778
1.5500,-0.906034,-0.062992,0.032173
1.5600,-1.285147,-0.073948,0.031488
1.5700,-1.444180,-0.087594,0.030680
1.5800,-1.209725,-0.100864,0.029738
1.5900,-0.305073,-0.108438,0.028692
1.6000,0.835715,-0.105784,0.027621
1.6100,1.337739,-0.094917,0.026617
1.6200,1.271083,-0.081873,0.025733
1.6300,1.537482,-0.067830,0.024985
1.6400,1.377118,-0.053257,0.024379
1.6500,0.476782,-0.043988,0.023893
1.6600,0.737196,-0.037918,0.023483
1.6700,1.868388,-0.024890,0.023169
1.6800,2.418118,-0.003457,0.023028
1.6900,2.265326,0.019960,0.023110
1.7000,1.237278,0.037473,0.023397
1.7100,1.096401,0.049141,0.023830
1.7200,0.990108,0.059574,0.024374
1.7300,0.790849,0.068479,0.025014
1.7400,0.878790,0.076827,0.025741
1.7500,1.041226,0.086427,0.026557
1.7600,1.136526,0.097316,0.027476
1.7700,0.363461,0.104816,0.028486
1.7800,0.367306,0.108469,0.029553
1.7900,0.152348,0.111068,0.030651
1.8000,0.250651,0.113083,0.031771
1.8100,1.198811,0.120330,0.032938
1.8200,0.797702,0.130313,0.034192
1.8300,1.130183,0.139952,0.035543
1.8400,1.828260,0.154744,0.037016
1.8500,1.847940,0.173125,0.038656
1.8600,1.633236,0.190531,0.040474
1.8700,0.880615,0.203100,0.042442
1.8800,0.188800,0.208447,0.044500
1.8900,0.430744,0.211545,0.046600
1.9000,0.695046,0.217174,0.048743
1.9100,-0.584275,0.217728,0.050918
1.9200,-0.987885,0.209867,0.053056
1.9300,-0.865512,0.200600,0.055108
1.9400,-0.357740,0.194484,0.057084
1.9500,-0.441058,0.190490,0.059009
1.9600,-1.080571,0.182882,0.060875
1.9700,-1.287849,0.171040,0.062645
1.9800,-1.368348,0.157759,0.064289
1.9900,-1.653036,0.142652,0.065791
2.0000,-2.600430,0.121384,0.067111
2.0100,-1.552501,0.100620,0.068221
2.0200,-2.307924,0.081318,0.069131
2.0300,-2.026281,0.059647,0.069836
2.0400,-2.106413,0.038983,0.070329
2.0500,-2.061165,0.018145,0.070615
2.0600,-2.116887,-0.002745,0.070692
2.0700,-2.130629,-0.023983,0.070558
2.0800,-2.634864,-0.047810,0.070199
2.0900,-1.032821,-0.066149,0.069629
2.1000,-0.096849,-0.071797,0.068939
2.1100,-0.115695,-0.072860,0.068216
2.1200,1.247547,-0.067200,0.067516
2.1300,2.109203,-0.050417,0.066928
2.1400,2.015938,-0.029791,0.066527
2.1500,2.639799,-0.006512,0.066345
2.1600,2.436092,0.018867,0.066407
2.1700,4.008626,0.051091,0.066757
2.1800,5.052334,0.096396,0.067494
2.1900,4.803496,0.145675,0.068705
2.2000,4.141027,0.190397,0.070385
2.2100,3.408865,0.228147,0.072478
2.2200,5.038953,0.270386,0.074970
2.2300,4.146101,0.316311,0.077904
2.2400,3.154545,0.352814,0.081249
2.2500,1.058703,0.373881,0.084883
2.2600,-1.056083,0.373894,0.088622
2.2700,-0.874665,0.364240,0.092312
2.2800,-1.712370,0.351305,0.095890
2.2900,-2.303372,0.331226,0.099303
2.3000,-2.104078,0.309189,0.102505
2.3100,-3.159614,0.282870,0.105465
2.3200,-3.441255,0.249866,0.108129
2.3300,-2.952516,0.217897,0.110468
2.3400,-1.590698,0.195181,0.112533
2.3500,-0.864786,0.182904,0.114423
2.3600,-1.452363,0.171318,0.116195
2.3700,-1.079740,0.158658,0.117844
2.3800,-0.732988,0.149594,0.119386
2.3900,-1.856953,0.136644,0.120817
2.4000,-1.799467,0.118362,0.122092
2.4100,-1.718938,0.100770,0.123188
2.4200,-1.681472,0.083768,0.124110
2.4300,-1.261653,0.069052,0.124874
2.4400,-0.411511,0.060687,0.125523
2.4500,0.678601,0.062022,0.126137
2.4600,1.588106,0.073356,0.126814
2.4700,1.458185,0.088587,0.127623
2.4800,0.702084,0.099388,0.128563
2.4900,2.629286,0.116045,0.129640
2.5000,3.922795,0.148806,0.130965
2.5100,1.781494,0.177327,0.132595
2.5200,1.234525,0.192407,0.134444
2.5300,1.285905,0.205009,0.136431
2.5400,0.474602,0.213812,0.138525
2.5500,-0.666983,0.212850,0.140658
2.5600,-1.792303,0.200553,0.142725
2.5700,-2.242599,0.180379,0.144630
2.5800,-2.988369,0.154224,0.146303
2.5900,-3.159751,0.123484,0.147692
2.6000,-1.539015,0.099990,0.148809
2.6100,0.006732,0.092328,0.149771
2.6200,1.947869,0.102101,0.150743
2.6300,2.323277,0.123457,0.151871
2.6400,2.682905,0.148488,0.153230
2.6500,2.167924,0.172742,0.154836
2.6600,2.987438,0.198519,0.156693
2.6700,2.690541,0.226909,0.158820
2.6800,1.347369,0.247098,0.161190
2.6900,0.724524,0.257458,0.163713
2.7000,1.633540,0.269248,0.166346
2.7100,2.560609,0.290219,0.169144
2.7200,1.678527,0.311415,0.172152
2.7300,0.843654,0.324025,0.175329
2.7400,-0.486045,0.325813,0.178578
2.7500,-1.889690,0.313935,0.181777
2.7600,0.029800,0.304635,0.184870
2.7700,0.152523,0.305547,0.187921
2.7800,2.558453,0.319102,0.191044
2.7900,3.442160,0.349105,0.194385
2.8000,2.945921,0.381045,0.198036
2.8100,2.413695,0.407843,0.201980
2.8200,2.436168,0.432093,0.206180
2.8300,2.087771,0.454712,0.210614
2.8400,1.580112,0.473052,0.215253
2.8500,2.578909,0.493847,0.220087
2.8600,2.992400,0.521703,0.225165
2.8700,1.289503,0.543113,0.230489
2.8800,0.233268,0.550727,0.235958
2.8900,-0.130136,0.551243,0.241468
2.9000,-1.355434,0.543815,0.246943
2.9100,-1.369313,0.530191,0.252313
2.9200,-2.386593,0.511411,0.257521
2.9300,-3.112917,0.483914,0.262498
2.9400,-2.652336,0.455088,0.267193
2.9500,-2.251882,0.430566,0.271621
2.9600,-2.665777,0.405978,0.275804
2.9700,-4.687424,0.369212,0.279680
2.9800,-3.080750,0.330371,0.283178
2.9900,-2.160294,0.304166,0.286350
3.0000,-1.811917,0.284305,0.289293
3.0100,-2.042442,0.265033,0.292040
3.0200,-3.516279,0.237240,0.294551
3.0300,-2.824693,0.205535,0.296765
3.0400,-2.159679,0.180613,0.298695
3.0500,-2.850173,0.155564,0.300376
3.0600,-0.761133,0.137507,0.301842
3.0700,0.458348,0.135993,0.303209
3.0800,-0.393490,0.136317,0.304571
3.0900,-0.298522,0.132857,0.305917
3.1000,-1.771800,0.122506,0.307193
3.1100,-1.489954,0.106197,0.308337
3.1200,-0.777232,0.094861,0.309342
3.1300,0.833291,0.095141,0.310292
3.1400,0.287997,0.100748,0.311272
3.1500,-0.280365,0.100786,0.312279
3.1600,-0.570055,0.096534,0.313266
3.1700,-1.981272,0.083777,0.314168
3.1800,-2.226040,0.062741,0.314900
3.1900,-1.892955,0.042146,0.315425
3.2000,-2.342362,0.020969,0.315740
3.2100,-4.509700,-0.013291,0.315779
3.2200,-3.928420,-0.055482,0.315435
3.2300,-1.627298,-0.083260,0.314741
3.2400,-0.275900,-0.092776,0.313861
3.2500,-1.117994,-0.099746,0.312898
3.2600,-2.674847,-0.118710,0.311806
3.2700,-3.872135,-0.151445,0.310455
3.2800,-3.777945,-0.189695,0.308749
3.2900,-6.587903,-0.241525,0.306593
3.3000,-5.252974,-0.300729,0.303882
3.3100,-4.714106,-0.350564,0.300626
3.3200,-4.351496,-0.395892,0.296893
3.3300,-3.361287,-0.434456,0.292742
3.3400,-2.775221,-0.465139,0.288244
3.3500,-3.346016,-0.495745,0.283439
3.3600,-3.905245,-0.532001,0.278300
3.3700,-3.703611,-0.570046,0.272790
3.3800,-1.717640,-0.597152,0.266954
3.3900,-0.575860,-0.608619,0.260925
3.4000,-0.953526,-0.616266,0.254801
3.4100,-0.483593,-0.623452,0.248602
3.4200,-1.668226,-0.634211,0.242314
3.4300,-1.785494,-0.651480,0.235886
3.4400,-2.610146,-0.673458,0.229261
3.4500,-2.723847,-0.700128,0.222393
3.4600,-1.305585,-0.720275,0.215291
3.4700,0.527109,-0.724167,0.208069
3.4800,2.586273,-0.708600,0.200905
3.4900,3.383145,-0.678753,0.193968
3.5000,3.819318,-0.642741,0.187361
3.5100,2.334367,-0.611972,0.181087
3.5200,4.096552,-0.579818,0.175128
3.5300,3.113195,-0.543769,0.169510
3.5400,2.339138,-0.516508,0.164209
3.5500,2.302526,-0.493299,0.159160
3.5600,2.425752,-0.469658,0.154345
3.5700,3.390107,-0.440578,0.149794
3.5800,3.061793,-0.408319,0.145549
3.5900,3.066933,-0.377675,0.141619
3.6000,4.241204,-0.341135,0.138025
3.6100,3.347147,-0.303193,0.134804
3.6200,2.606574,-0.273424,0.131921
3.6300,1.238249,-0.254200,0.129282
3.6400,2.135848,-0.237330,0.126825
3.6500,3.292365,-0.210189,0.124587
3.6600,1.935445,-0.184050,0.122616
3.6700,2.918650,-0.159779,0.120897
3.6800,2.538245,-0.132495,0.119436
3.6900,4.681526,-0.096396,0.118291
3.7000,3.884416,-0.053566,0.117541
3.7100,2.916427,-0.019562,0.117176
3.7200,2.967090,0.009856,0.117127
3.7300,2.771578,0.038549,0.117369
3.7400,1.045288,0.057633,0.117850
3.7500,1.098815,0.068354,0.118480
3.7600,1.445081,0.081073,0.119227
3.7700,1.920057,0.097899,0.120122
3.7800,1.229576,0.113647,0.121180
3.7900,1.468926,0.127140,0.122384
3.8000,0.359384,0.136281,0.123701
3.8100,1.448584,0.145321,0.125109
3.8200,-0.182935,0.151649,0.126594
3.8300,0.100459,0.151237,0.128108
3.8400,0.766352,0.155571,0.129642
3.8500,0.749437,0.163150,0.131236
3.8600,2.176363,0.177779,0.132940
3.8700,4.398271,0.210652,0.134882
3.8800,4.302909,0.254158,0.137207
3.8900,2.285581,0.287101,0.139913
3.9000,-0.087660,0.298090,0.142839
3.9100,-0.253858,0.296383,0.145811
3.9200,0.607576,0.298151,0.148784
3.9300,-1.495470,0.293712,0.151743
3.9400,-0.659961,0.282935,0.154626
3.9500,-3.092947,0.264170,0.157362
3.9600,-5.013524,0.223638,0.159801
3.9700,-4.367453,0.176733,0.161803
3.9800,-4.481580,0.132488,0.163349
3.9900,-4.309385,0.088533,0.164454
4.0000,-5.703798,0.038467,0.165089
4.0100,-8.267006,-0.031387,0.165124
4.0200,-5.847716,-0.101961,0.164458
4.0300,-5.377019,-0.158084,0.163157
4.0400,-2.855900,-0.199249,0.161371
4.0500,-2.387874,-0.225468,0.159247
4.0600,-4.990312,-0.262359,0.156808
4.0700,-4.311623,-0.308869,0.153952
4.0800,-1.938754,-0.340120,0.150707
4.0900,-0.795671,-0.353793,0.147237
4.1000,-2.735519,-0.371449,0.143611
4.1100,-4.519693,-0.407725,0.139715
4.1200,-5.348762,-0.457067,0.135391
4.1300,-3.820139,-0.502911,0.130591
4.1400,-3.677363,-0.540399,0.125375
4.1500,-2.777075,-0.572671,0.119810
4.1600,-1.631647,-0.594715,0.113973
4.1700,-1.253062,-0.609138,0.107953
4.1800,-1.156730,-0.621187,0.101802
4.1900,-0.887116,-0.631406,0.095539
4.2000,-0.708135,-0.639383,0.089185
4.2100,0.658665,-0.639630,0.082790
4.2200,2.830456,-0.622184,0.076481
4.2300,5.050623,-0.582779,0.070456
4.2400,7.131340,-0.521869,0.064933
4.2500,6.100405,-0.455710,0.060045
4.2600,4.587886,-0.402269,0.055755
4.2700,4.559944,-0.356530,0.051961
4.2800,3.660655,-0.315427,0.048601
4.2900,3.248660,-0.280880,0.045620
4.3000,1.714909,-0.256062,0.042935
4.3100,2.224444,-0.236366,0.040473
4.3200,3.026173,-0.210113,0.038240
4.3300,2.454690,-0.182708,0.036276
4.3400,2.406627,-0.158402,0.034571
4.3500,-1.026194,-0.151500,0.033021
4.3600,-1.223958,-0.162750,0.031450
4.3700,-1.172732,-0.174734,0.029762
4.3800,-0.697554,-0.184085,0.027968
4.3900,-2.795335,-0.201550,0.026040
4.4000,-4.329832,-0.237175,0.023847
4.4100,-5.151864,-0.284584,0.021238
4.4200,-2.380381,-0.322245,0.018204
4.4300,-2.650335,-0.347399,0.014855
4.4400,-2.340470,-0.372353,0.011257
4.4500,-3.372401,-0.400917,0.007390
4.4600,-5.257144,-0.444065,0.003165
4.4700,-4.188860,-0.491295,-0.001511
4.4800,-2.712206,-0.525800,-0.006597
4.4900,-3.188003,-0.555301,-0.012002
4.5000,-0.605011,-0.574266,-0.017650
4.5100,0.331478,-0.575634,-0.023400
4.5200,-0.109669,-0.574525,-0.029151
4.5300,-0.194478,-0.576046,-0.034903
4.5400,-0.746505,-0.580751,-0.040687
4.5500,0.845885,-0.580254,-0.046492
4.5600,0.769466,-0.572177,-0.052255
4.5700,-0.235974,-0.569509,-0.057963
4.5800,0.590362,-0.567738,-0.063649
4.5900,1.373451,-0.557918,-0.069278
4.6000,2.360206,-0.539250,-0.074763
4.6100,4.047071,-0.507214,-0.079996
4.6200,4.348808,-0.465234,-0.084858
4.6300,1.274001,-0.437120,-0.089370
4.6400,0.347850,-0.429011,-0.093700
4.6500,1.669218,-0.418926,-0.097940
4.6600,1.846416,-0.401348,-0.102041
4.6700,3.006108,-0.377085,-0.105934
