period_s,Sa_m_s2,Sa_g,Sv_m_s,Sd_m
0.0200,7.664917,0.781604,0.024398,0.000078
0.0295,10.742345,1.095414,0.050391,0.000236
0.0389,10.843897,1.105770,0.067218,0.000417
0.0484,13.920505,1.419496,0.107278,0.000827
0.0579,12.348470,1.259194,0.113782,0.001048
0.0674,12.797383,1.304970,0.137214,0.001471
0.0768,14.622076,1.491037,0.178825,0.002187
0.0863,18.545495,1.891114,0.254770,0.003500
0.0958,14.311978,1.459416,0.218191,0.003326
0.1053,12.872967,1.312677,0.215663,0.003613
0.1147,15.988039,1.630326,0.291957,0.005331
0.1242,17.679229,1.802780,0.349496,0.006909
0.1337,17.877009,1.822948,0.380360,0.008093
0.1432,16.499017,1.682432,0.375918,0.008565
0.1526,16.594661,1.692184,0.403119,0.009793
0.1621,18.448696,1.881243,0.475974,0.012280
0.1716,17.516484,1.786184,0.478334,0.013062
0.1811,17.487914,1.783271,0.503922,0.014521
0.1905,18.712950,1.908190,0.567437,0.017206
0.2000,16.260183,1.658077,0.517578,0.016475
0.2200,13.041053,1.329817,0.456621,0.015988
0.2502,18.191308,1.854997,0.724300,0.028839
0.2803,20.248845,2.064808,0.903449,0.040310
0.3105,15.475525,1.578064,0.764784,0.037795
0.3407,19.023286,1.939835,1.031454,0.055926
0.3708,21.500974,2.192489,1.269035,0.074901
0.4010,19.176401,1.955449,1.223911,0.078115
0.4312,15.056814,1.535368,1.033281,0.070909
0.4614,13.424629,1.368931,0.985731,0.072379
0.4915,15.050426,1.534716,1.177375,0.092105
0.5217,13.764875,1.403627,1.142902,0.094896
0.5519,15.904868,1.621845,1.396956,0.122697
0.5820,14.721898,1.501216,1.363742,0.126328
0.6122,12.525401,1.277235,1.220415,0.118911
0.6424,11.922886,1.215796,1.218958,0.124622
0.6725,11.938115,1.217349,1.277837,0.136778
0.7027,12.675669,1.292559,1.417648,0.158550
0.7329,12.650789,1.290021,1.475609,0.172118
0.7631,12.819557,1.307231,1.556850,0.189069
0.7932,13.196017,1.345619,1.665930,0.210315
0.8234,13.429086,1.369386,1.759836,0.230620
0.8536,13.375604,1.363932,1.817051,0.246843
0.8837,13.038325,1.329539,1.833838,0.257929
0.9139,12.421941,1.266685,1.806789,0.262800
0.9441,11.594698,1.182330,1.742139,0.261762
0.9742,10.623190,1.083264,1.647175,0.255402
1.0044,9.582274,0.977120,1.531787,0.244866
1.0346,8.963791,0.914052,1.475959,0.243028
1.0647,8.472675,0.863972,1.435776,0.243306
1.0949,7.951102,0.810787,1.385568,0.241451
1.1251,7.428678,0.757514,1.330200,0.238189
1.1553,6.933639,0.707034,1.274849,0.234399
1.1854,6.488434,0.661636,1.224147,0.230955
1.2156,6.385749,0.651165,1.235436,0.239017
1.2458,6.277514,0.640128,1.244638,0.246774
1.2759,6.101696,0.622200,1.239077,0.251621
1.3061,6.030619,0.614952,1.253600,0.260589
1.3363,6.142511,0.626362,1.306353,0.277828
1.3664,6.226938,0.634971,1.354208,0.294508
1.3966,6.262149,0.638561,1.391934,0.309396
1.4268,6.222923,0.634562,1.413095,0.320884
1.4569,6.120381,0.624105,1.419198,0.329085
1.4871,6.197254,0.631944,1.466780,0.347161
1.5173,6.550211,0.667936,1.581771,0.381972
1.5475,6.776784,0.691040,1.669024,0.411056
1.5776,6.881281,0.701695,1.727801,0.433829
1.6078,6.881731,0.701741,1.760958,0.450609
1.6380,6.795946,0.692994,1.771638,0.461849
1.6681,6.637401,0.676827,1.762177,0.467844
1.6983,6.419973,0.654655,1.735278,0.469035
1.7285,6.164736,0.628628,1.695890,0.466531
1.7586,5.890199,0.600633,1.648649,0.461452
1.7888,5.604501,0.571500,1.595593,0.454263
1.8190,5.317670,0.542251,1.539466,0.445676
1.8492,5.036242,0.513554,1.482175,0.436207
1.8793,4.766374,0.486035,1.425639,0.426413
1.9095,4.513519,0.460251,1.371681,0.416861
1.9397,4.283052,0.436750,1.322207,0.408174
1.9698,4.083246,0.416375,1.280131,0.401332
2.0000,3.923229,0.400058,1.248803,0.397506
2.1000,3.559002,0.362917,1.189509,0.397564
2.2000,3.418193,0.348559,1.196849,0.419066
2.3000,3.413064,0.348036,1.249374,0.457341
2.4000,3.454746,0.352286,1.319616,0.504056
2.5000,3.484732,0.355344,1.386531,0.551683
2.6000,3.470609,0.353904,1.436148,0.594282
2.7000,3.401219,0.346828,1.461566,0.628062
2.8000,3.276855,0.334146,1.460277,0.650749
2.9000,3.111991,0.317335,1.436337,0.662941
3.0000,2.921390,0.297899,1.394861,0.665997
3.1000,2.769117,0.282371,1.366228,0.674070
3.2000,2.621919,0.267361,1.335332,0.680079
3.3000,2.532647,0.258258,1.330175,0.698623
3.4000,2.443562,0.249174,1.322277,0.715519
3.5000,2.337957,0.238405,1.302341,0.725459
3.6000,2.292593,0.233779,1.313559,0.752614
3.7000,2.374817,0.242164,1.398466,0.823519
3.8000,2.365094,0.241172,1.430382,0.865079
3.9000,2.306558,0.235203,1.431690,0.888656
4.0000,2.198937,0.224229,1.399887,0.891195
