time_s,accel_corrected_m_s2,vel_m_s,disp_m
0.0000,-0.008304,0.000000,0.000000
0.0100,-0.008271,-0.000083,-0.000000
0.0200,-0.008398,-0.000166,-0.000002
0.0300,-0.008166,-0.000249,-0.000004
0.0400,-0.008367,-0.000332,-0.000007
0.0500,-0.008062,-0.000414,-0.000010
0.0600,-0.008853,-0.000498,-0.000015
0.0700,-0.013557,-0.000610,-0.000020
0.0800,-0.012125,-0.000739,-0.000027
0.0900,-0.015018,-0.000875,-0.000035
0.1000,-0.011957,-0.001009,-0.000045
0.1100,-0.015257,-0.001146,-0.000055
0.1200,-0.024426,-0.001344,-0.000068
0.1300,-0.020835,-0.001570,-0.000083
0.1400,-0.006160,-0.001705,-0.000099
0.1500,-0.017793,-0.001825,-0.000117
0.1600,-0.009806,-0.001963,-0.000135
0.1700,0.006782,-0.001978,-0.000155
0.1800,0.001396,-0.001937,-0.000175
0.1900,0.003434,-0.001913,-0.000194
0.2000,0.014200,-0.001825,-0.000213
0.2100,0.045357,-0.001527,-0.000229
0.2200,0.047961,-0.001061,-0.000242
0.2300,0.013993,-0.000751,-0.000251
0.2400,-0.022626,-0.000794,-0.000259
0.2500,-0.076304,-0.001289,-0.000270
0.2600,-0.081007,-0.002075,-0.000286
0.2700,-0.082608,-0.002893,-0.000311
0.2800,-0.106498,-0.003839,-0.000345
0.2900,-0.109589,-0.004919,-0.000389
0.3000,-0.060510,-0.005770,-0.000442
0.3100,-0.038326,-0.006264,-0.000502
0.3200,-0.008491,-0.006498,-0.000566
0.3300,0.036627,-0.006357,-0.000630
0.3400,0.079623,-0.005776,-0.000691
0.3500,0.148507,-0.004635,-0.000743
0.3600,0.194802,-0.002919,-0.000781
0.3700,0.153269,-0.001178,-0.000801
0.3800,0.154837,0.000362,-0.000805
0.3900,0.049642,0.001384,-0.000797
0.4000,-0.021990,0.001523,-0.000782
0.4100,0.000676,0.001416,-0.000767
0.4200,-0.044611,0.001196,-0.000754
0.4300,-0.001751,0.000965,-0.000744
0.4400,-0.067196,0.000620,-0.000736
0.4500,-0.321440,-0.001323,-0.000739
0.4600,-0.400319,-0.004932,-0.000770
0.4700,-0.538878,-0.009628,-0.000843
0.4800,-0.523932,-0.014942,-0.000966
0.4900,-0.492494,-0.020024,-0.001141
0.5000,-0.525960,-0.025116,-0.001367
0.5100,-0.314829,-0.029320,-0.001639
0.5200,-0.406605,-0.032928,-0.001950
0.5300,-0.337000,-0.036646,-0.002298
0.5400,-0.225230,-0.039457,-0.002678
0.5500,-0.076865,-0.040967,-0.003081
0.5600,0.042733,-0.041138,-0.003491
0.5700,0.020869,-0.040820,-0.003901
0.5800,-0.165125,-0.041541,-0.004313
0.5900,-0.263540,-0.043685,-0.004739
0.6000,0.047740,-0.044764,-0.005181
0.6100,0.277991,-0.043135,-0.005621
0.6200,0.298470,-0.040253,-0.006038
0.6300,0.076536,-0.038378,-0.006431
0.6400,-0.057621,-0.038283,-0.006814
0.6500,-0.024041,-0.038691,-0.007199
0.6600,0.172778,-0.037948,-0.007582
0.6700,0.388378,-0.035142,-0.007947
0.6800,0.634531,-0.030027,-0.008273
0.6900,0.635021,-0.023679,-0.008542
0.7000,0.760098,-0.016704,-0.008744
0.7100,0.618066,-0.009813,-0.008876
0.7200,0.567361,-0.003886,-0.008945
0.7300,0.843554,0.003169,-0.008948
0.7400,0.992363,0.012348,-0.008871
0.7500,0.812740,0.021374,-0.008702
0.7600,0.754111,0.029208,-0.008449
0.7700,0.610982,0.036033,-0.008123
0.7800,-0.009110,0.039043,-0.007748
0.7900,-0.252399,0.037735,-0.007364
0.8000,-0.221399,0.035366,-0.006998
0.8100,-0.866751,0.029926,-0.006672
0.8200,-0.831663,0.021433,-0.006415
0.8300,-0.968288,0.012434,-0.006246
0.8400,-1.536325,-0.000089,-0.006184
0.8500,-2.064738,-0.018095,-0.006275
0.8600,-2.062248,-0.038730,-0.006559
0.8700,-1.817681,-0.058129,-0.007043
0.8800,-1.519856,-0.074817,-0.007708
0.8900,-1.576255,-0.090297,-0.008534
0.9000,-1.160644,-0.103982,-0.009505
0.9100,-1.206259,-0.115817,-0.010604
0.9200,-0.385260,-0.123774,-0.011802
0.9300,0.210727,-0.124647,-0.013044
0.9400,0.325715,-0.121965,-0.014277
0.9500,0.554501,-0.117563,-0.015475
0.9600,0.912398,-0.110229,-0.016614
0.9700,0.381600,-0.103759,-0.017684
0.9800,0.189699,-0.100902,-0.018707
0.9900,0.356097,-0.098174,-0.019702
1.0000,0.145973,-0.095663,-0.020672
1.0100,0.114461,-0.094361,-0.021622
1.0200,-0.410333,-0.095840,-0.022573
1.0300,-1.020184,-0.102993,-0.023567
1.0400,-1.637034,-0.116279,-0.024663
1.0500,-1.163587,-0.130282,-0.025896
1.0600,-0.595602,-0.139078,-0.027243
1.0700,-0.251880,-0.143315,-0.028655
1.0800,0.091559,-0.144117,-0.030092
1.0900,0.372876,-0.141795,-0.031522
1.1000,-0.202562,-0.140943,-0.032935
1.1100,-0.654173,-0.145227,-0.034366
1.1200,-0.201179,-0.149504,-0.035840
1.1300,0.103802,-0.149991,-0.037337
1.1400,0.061489,-0.149164,-0.038833
1.1500,-0.594169,-0.151828,-0.040338
1.1600,-0.972022,-0.159659,-0.041895
1.1700,-1.635223,-0.172695,-0.043557
1.1800,-1.483057,-0.188286,-0.045362
1.1900,-1.457909,-0.202991,-0.047318
1.2000,-1.475528,-0.217658,-0.049422
1.2100,-1.410860,-0.232090,-0.051670
1.2200,-1.346948,-0.245879,-0.054060
1.2300,-1.472348,-0.259976,-0.056590
1.2400,-1.355063,-0.274113,-0.059260
1.2500,-0.822922,-0.285003,-0.062056
1.2600,-0.651685,-0.292376,-0.064942
1.2700,-1.215878,-0.301713,-0.067913
1.2800,-1.331861,-0.314452,-0.070994
1.2900,-0.056284,-0.321393,-0.074173
1.3000,1.330162,-0.315023,-0.077355
1.3100,1.332942,-0.301708,-0.080439
1.3200,1.896280,-0.285562,-0.083375
1.3300,2.627323,-0.262944,-0.086118
1.3400,2.539037,-0.237112,-0.088618
1.3500,2.866460,-0.210085,-0.090854
1.3600,1.556932,-0.187968,-0.092844
1.3700,1.495943,-0.172703,-0.094647
1.3800,0.744808,-0.161499,-0.096318
1.3900,0.592493,-0.154813,-0.097900
1.4000,1.034637,-0.146677,-0.099407
1.4100,0.135401,-0.140827,-0.100845
1.4200,-0.285146,-0.141576,-0.102257
