period_s,Sa_m_s2,Sa_g,Sv_m_s,Sd_m
0.0200,13.356104,1.361944,0.042514,0.000135
0.0295,15.336883,1.563927,0.071944,0.000337
0.0389,16.128001,1.644598,0.099972,0.000620
0.0484,19.806874,2.019739,0.152641,0.001176
0.0579,19.654515,2.004203,0.181101,0.001669
0.0674,19.382091,1.976423,0.207815,0.002228
0.0768,17.840798,1.819255,0.218189,0.002668
0.0863,20.246850,2.064604,0.278143,0.003821
0.0958,19.106571,1.948328,0.291287,0.004441
0.1053,26.363676,2.688347,0.441675,0.007399
0.1147,23.359205,2.381976,0.426561,0.007789
0.1242,23.902981,2.437426,0.472531,0.009341
0.1337,24.659773,2.514597,0.524674,0.011163
0.1432,24.943471,2.543526,0.568319,0.012949
0.1526,24.252594,2.473076,0.589146,0.014312
0.1621,26.777003,2.730494,0.690843,0.017824
0.1716,24.060344,2.453472,0.657031,0.017942
0.1811,21.514947,2.193914,0.619962,0.017864
0.1905,27.061206,2.759475,0.820583,0.024883
0.2000,30.629534,3.123343,0.974968,0.031034
0.2200,37.175794,3.790876,1.301677,0.045577
0.2502,38.202113,3.895531,1.521044,0.060561
0.2803,41.921937,4.274848,1.870445,0.083454
0.3105,25.709344,2.621623,1.270529,0.062788
0.3407,30.819529,3.142717,1.671053,0.090605
0.3708,23.285858,2.374497,1.374383,0.081119
0.4010,21.046586,2.146155,1.343274,0.085733
0.4312,19.528317,1.991334,1.340140,0.091968
0.4614,21.728248,2.215665,1.595442,0.117149
0.4915,26.083766,2.659804,2.040499,0.159626
0.5217,25.219893,2.571713,2.094016,0.173867
0.5519,23.602754,2.406811,2.073076,0.182082
0.5820,23.871465,2.434212,2.211299,0.204841
0.6122,18.535499,1.890095,1.806010,0.175969
0.6424,14.091998,1.436984,1.440721,0.147295
0.6725,13.586312,1.385418,1.454258,0.155661
0.7027,12.902061,1.315644,1.442967,0.161382
0.7329,13.488266,1.375420,1.573294,0.183512
0.7631,14.581311,1.486880,1.770803,0.215052
0.7932,14.819122,1.511130,1.870839,0.236184
0.8234,14.178503,1.445805,1.858044,0.243490
0.8536,12.443597,1.268894,1.690440,0.229643
0.8837,10.482862,1.068954,1.474413,0.207376
0.9139,10.652804,1.086284,1.549466,0.225372
0.9441,10.872362,1.108672,1.633606,0.245454
0.9742,11.054717,1.127267,1.714086,0.265777
1.0044,11.162553,1.138264,1.784404,0.285248
1.0346,11.191379,1.141203,1.842749,0.303423
1.0647,11.136005,1.135557,1.887102,0.319788
1.0949,10.984813,1.120139,1.914227,0.333575
1.1251,10.742084,1.095388,1.923508,0.344429
1.1553,10.408926,1.061415,1.913831,0.351885
1.1854,9.997911,1.019503,1.886266,0.355874
1.2156,9.626899,0.981671,1.862494,0.360332
1.2458,10.030387,1.022815,1.988718,0.394302
1.2759,9.680635,0.987150,1.965856,0.399208
1.3061,8.933024,0.910915,1.856930,0.386005
1.3363,8.275044,0.843820,1.759888,0.374283
1.3664,7.606709,0.775668,1.654275,0.359765
1.3966,6.843577,0.697851,1.521173,0.338122
1.4268,6.087630,0.620765,1.382373,0.313908
1.4569,5.445157,0.555252,1.262627,0.292779
1.4871,5.054081,0.515373,1.196212,0.283122
1.5173,4.754775,0.484852,1.148202,0.277272
1.5475,4.713907,0.480685,1.160967,0.285929
1.5776,4.813594,0.490850,1.208632,0.303472
1.6078,4.991079,0.508948,1.277161,0.326811
1.6380,5.199613,0.530213,1.355489,0.353363
1.6681,5.413036,0.551976,1.437118,0.381543
1.6983,5.619283,0.573007,1.518857,0.410537
1.7285,5.801069,0.591544,1.595847,0.439010
1.7586,6.053942,0.617330,1.694480,0.474280
1.7888,6.322830,0.644749,1.800100,0.512486
1.8190,6.523499,0.665212,1.888554,0.546737
1.8492,6.647670,0.677874,1.956421,0.575778
1.8793,6.687037,0.681888,2.000115,0.598241
1.9095,6.653390,0.678457,2.021998,0.614495
1.9397,6.558169,0.668747,2.024550,0.624992
1.9698,6.420551,0.654714,2.012896,0.631059
2.0000,6.303882,0.642817,2.006588,0.638717
2.1000,5.628623,0.573960,1.881229,0.628754
2.2000,4.657722,0.474955,1.630859,0.571030
2.3000,3.971721,0.405003,1.453874,0.532200
2.4000,3.910987,0.398810,1.493887,0.570623
2.5000,4.325107,0.441038,1.720905,0.684726
2.6000,4.840099,0.493553,2.002847,0.828784
2.7000,5.241859,0.534521,2.252523,0.967950
2.8000,5.432698,0.553981,2.420994,1.078877
2.9000,5.496026,0.560439,2.536687,1.170806
3.0000,5.366371,0.547218,2.562254,1.223386
3.1000,5.216998,0.531986,2.573964,1.269943
3.2000,4.963566,0.506143,2.527924,1.287461
3.3000,4.838998,0.493440,2.541497,1.334823
3.4000,4.625300,0.471649,2.502874,1.354372
3.5000,4.363025,0.444905,2.430390,1.353830
3.6000,4.090769,0.417142,2.343838,1.342920
3.7000,3.864939,0.394114,2.275959,1.340252
3.8000,3.598079,0.366902,2.176078,1.316068
3.9000,3.297600,0.336262,2.046835,1.270479
4.0000,2.979690,0.303844,1.896929,1.207623
