time_s,accel_m_s2,accel_g
0.0000,0.008009,0.000817
0.0100,0.007976,0.000813
0.0200,0.007930,0.000809
0.0300,0.007859,0.000801
0.0400,0.007780,0.000793
0.0500,0.007679,0.000783
0.0600,0.007617,0.000777
0.0700,0.007858,0.000801
0.0800,0.007739,0.000789
0.0900,0.008007,0.000816
0.1000,0.007218,0.000736
0.1100,0.007020,0.000716
0.1200,0.007188,0.000733
0.1300,0.006582,0.000671
0.1400,0.006289,0.000641
0.1500,0.006388,0.000651
0.1600,0.006074,0.000619
0.1700,0.006845,0.000698
0.1800,0.007365,0.000751
0.1900,0.007050,0.000719
0.2000,0.009018,0.000920
0.2100,0.010843,0.001106
0.2200,0.009379,0.000956
0.2300,0.006514,0.000664
0.2400,0.008107,0.000827
0.2500,0.005007,0.000511
0.2600,0.000085,0.000009
0.2700,-0.004471,-0.000456
0.2800,-0.002925,-0.000298
0.2900,-0.001215,-0.000124
0.3000,0.002234,0.000228
0.3100,0.004519,0.000461
0.3200,0.007566,0.000772
0.3300,0.012535,0.001278
0.3400,0.014019,0.001429
0.3500,0.014310,0.001459
0.3600,0.018980,0.001935
0.3700,0.017020,0.001736
0.3800,0.019570,0.001996
0.3900,0.019800,0.002019
0.4000,0.023793,0.002426
0.4100,0.011655,0.001188
0.4200,0.019474,0.001986
0.4300,0.028425,0.002899
0.4400,0.027478,0.002802
0.4500,0.038112,0.003886
0.4600,0.041112,0.004192
0.4700,0.033534,0.003419
0.4800,0.025237,0.002573
0.4900,0.029247,0.002982
0.5000,0.049804,0.005079
0.5100,0.060775,0.006197
0.5200,0.041437,0.004225
0.5300,0.037045,0.003778
0.5400,0.042103,0.004293
0.5500,0.036768,0.003749
0.5600,0.020117,0.002051
0.5700,0.001632,0.000166
0.5800,0.012553,0.001280
0.5900,-0.004764,-0.000486
0.6000,-0.002489,-0.000254
0.6100,-0.002124,-0.000217
0.6200,0.013665,0.001393
0.6300,0.029403,0.002998
0.6400,0.020239,0.002064
0.6500,0.020741,0.002115
0.6600,0.000467,0.000048
0.6700,-0.022721,-0.002317
0.6800,-0.068876,-0.007023
0.6900,-0.091491,-0.009329
0.7000,-0.114850,-0.011711
0.7100,-0.151868,-0.015486
0.7200,-0.151848,-0.015484
0.7300,-0.157621,-0.016073
0.7400,-0.165656,-0.016892
0.7500,-0.181681,-0.018526
0.7600,-0.204074,-0.020810
0.7700,-0.209968,-0.021411
0.7800,-0.218882,-0.022320
0.7900,-0.206746,-0.021082
0.8000,-0.146634,-0.014952
0.8100,-0.130224,-0.013279
0.8200,-0.074230,-0.007569
0.8300,-0.065710,-0.006701
0.8400,-0.064104,-0.006537
0.8500,-0.106636,-0.010874
0.8600,-0.136804,-0.013950
0.8700,-0.108705,-0.011085
0.8800,-0.078736,-0.008029
0.8900,-0.087019,-0.008873
0.9000,-0.065335,-0.006662
0.9100,-0.045051,-0.004594
0.9200,0.024568,0.002505
0.9300,0.050394,0.005139
0.9400,0.062906,0.006415
0.9500,0.100275,0.010225
0.9600,0.139486,0.014224
0.9700,0.065284,0.006657
0.9800,0.073335,0.007478
0.9900,0.056414,0.005753
1.0000,0.106932,0.010904
1.0100,0.158412,0.016154
1.0200,0.087289,0.008901
1.0300,0.137017,0.013972
1.0400,0.103576,0.010562
1.0500,0.124601,0.012706
1.0600,0.180560,0.018412
1.0700,0.207634,0.021173
1.0800,0.171255,0.017463
1.0900,0.124348,0.012680
1.1000,0.116821,0.011912
1.1100,0.083908,0.008556
1.1200,0.030333,0.003093
1.1300,-0.038333,-0.003909
1.1400,-0.069211,-0.007058
1.1500,-0.024117,-0.002459
1.1600,-0.049407,-0.005038
1.1700,0.013282,0.001354
1.1800,-0.016918,-0.001725
1.1900,-0.025535,-0.002604
1.2000,0.060757,0.006196
1.2100,0.082886,0.008452
1.2200,0.029553,0.003014
1.2300,-0.131109,-0.013369
1.2400,-0.132343,-0.013495
1.2500,-0.055536,-0.005663
1.2600,-0.090082,-0.009186
1.2700,-0.125430,-0.012790
1.2800,-0.069065,-0.007043
1.2900,0.051290,0.005230
1.3000,0.033896,0.003456
1.3100,-0.031950,-0.003258
1.3200,0.048061,0.004901
1.3300,0.001301,0.000133
1.3400,-0.058791,-0.005995
1.3500,-0.149998,-0.015296
1.3600,-0.057625,-0.005876
1.3700,-0.051235,-0.005224
1.3800,-0.092505,-0.009433
1.3900,-0.024627,-0.002511
1.4000,-0.070511,-0.007190
1.4100,-0.059056,-0.006022
1.4200,-0.020375,-0.002078
1.4300,-0.107473,-0.010959
1.4400,-0.162176,-0.016537
1.4500,-0.099344,-0.010130
1.4600,-0.174510,-0.017795
1.4700,-0.224983,-0.022942
1.4800,-0.359833,-0.036693
1.4900,-0.246115,-0.025097
1.5000,-0.204652,-0.020869
1.5100,-0.316135,-0.032237
1.5200,-0.251609,-0.025657
1.5300,-0.082137,-0.008376
1.5400,-0.071259,-0.007266
1.5500,-0.123199,-0.012563
1.5600,-0.090649,-0.009244
1.5700,-0.036131,-0.003684
1.5800,0.083884,0.008554
1.5900,0.165137,0.016839
1.6000,0.130399,0.013297
1.6100,0.080925,0.008252
1.6200,-0.072361,-0.007379
1.6300,-0.271545,-0.027690
1.6400,-0.299684,-0.030559
1.6500,-0.371700,-0.037903
1.6600,-0.311814,-0.031796
1.6700,-0.356271,-0.036330
1.6800,-0.332391,-0.033894
1.6900,-0.248177,-0.025307
1.7000,-0.256552,-0.026161
1.7100,-0.069332,-0.007070
1.7200,-0.092934,-0.009477
1.7300,-0.034154,-0.003483
1.7400,-0.064068,-0.006533
1.7500,-0.021480,-0.002190
1.7600,0.100801,0.010279
1.7700,0.153543,0.015657
1.7800,0.266478,0.027173
1.7900,0.450048,0.045892
1.8000,0.434834,0.044341
1.8100,0.421721,0.043004
1.8200,0.562454,0.057354
1.8300,0.535955,0.054652
1.8400,0.519610,0.052986
1.8500,0.494792,0.050455
1.8600,0.706940,0.072088
1.8700,0.991066,0.101061
1.8800,0.879307,0.089664
1.8900,0.788441,0.080399
1.9000,0.882827,0.090023
1.9100,0.702370,0.071622
1.9200,0.664811,0.067792
1.9300,0.579998,0.059143
1.9400,0.549000,0.055982
1.9500,0.323097,0.032947
1.9600,0.293253,0.029903
1.9700,0.272697,0.027807
1.9800,0.251389,0.025635
1.9900,0.299120,0.030502
2.0000,0.138409,0.014114
2.0100,0.023049,0.002350
2.0200,-0.038581,-0.003934
2.0300,-0.028673,-0.002924
2.0400,0.046770,0.004769
2.0500,0.070756,0.007215
2.0600,0.154828,0.015788
2.0700,0.096451,0.009835
2.0800,0.076402,0.007791
2.0900,0.096216,0.009811
2.1000,0.050048,0.005104
2.1100,0.132637,0.013525
2.1200,0.351057,0.035798
2.1300,0.456112,0.046510
2.1400,0.506802,0.051679
2.1500,0.558224,0.056923
2.1600,0.524254,0.053459
2.1700,0.462646,0.047177
2.1800,0.443871,0.045262
2.1900,0.589709,0.060134
2.2000,0.528876,0.053930
2.2100,0.481004,0.049049
2.2200,0.316886,0.032313
2.2300,-0.167667,-0.017097
2.2400,-0.284166,-0.028977
2.2500,-0.300608,-0.030653
2.2600,-0.330936,-0.033746
2.2700,-0.497686,-0.050750
2.2800,-0.463492,-0.047263
2.2900,-0.236838,-0.024151
2.3000,-0.516778,-0.052697
2.3100,-0.482596,-0.049211
2.3200,-0.472028,-0.048133
2.3300,-0.487640,-0.049725
2.3400,-0.494565,-0.050432
2.3500,-0.459351,-0.046841
2.3600,-0.171799,-0.017519
2.3700,-0.056420,-0.005753
2.3800,0.097381,0.009930
2.3900,0.355979,0.036300
2.4000,0.410973,0.041908
2.4100,0.313746,0.031993
2.4200,0.087995,0.008973
2.4300,0.107718,0.010984
2.4400,0.261556,0.026671
2.4500,0.274259,0.027967
2.4600,0.109195,0.011135
2.4700,-0.107562,-0.010968
2.4800,-0.262701,-0.026788
2.4900,-0.086783,-0.008849
2.5000,0.004353,0.000444
2.5100,-0.085121,-0.008680
2.5200,0.100438,0.010242
2.5300,0.246995,0.025186
2.5400,0.081163,0.008276
2.5500,-0.142804,-0.014562
2.5600,-0.116734,-0.011904
2.5700,-0.232559,-0.023714
2.5800,-0.230217,-0.023476
2.5900,-0.333381,-0.033995
2.6000,-0.400607,-0.040851
2.6100,-0.468608,-0.047785
2.6200,-0.660301,-0.067332
2.6300,-0.561651,-0.057272
2.6400,-0.371252,-0.037857
2.6500,-0.596733,-0.060850
2.6600,-0.623786,-0.063608
2.6700,-0.440756,-0.044945
2.6800,-0.231611,-0.023618
2.6900,-0.468593,-0.047783
2.7000,-0.699622,-0.071342
2.7100,-0.801647,-0.081745
2.7200,-0.549844,-0.056069
2.7300,-0.375314,-0.038271
2.7400,-0.428677,-0.043713
2.7500,-0.409548,-0.041762
2.7600,-0.166307,-0.016959
2.7700,-0.383371,-0.039093
2.7800,-0.419866,-0.042814
2.7900,-0.484040,-0.049358
2.8000,-0.344145,-0.035093
2.8100,-0.554576,-0.056551
2.8200,-0.424291,-0.043266
2.8300,-0.145804,-0.014868
2.8400,-0.096633,-0.009854
2.8500,-0.075244,-0.007673
2.8600,0.221784,0.022616
2.8700,0.066348,0.006766
2.8800,0.115391,0.011767
2.8900,0.603939,0.061585
2.9000,0.871259,0.088844
2.9100,0.882720,0.090012
2.9200,0.746869,0.076159
2.9300,0.739705,0.075429
2.9400,0.910442,0.092839
2.9500,0.882652,0.090005
2.9600,0.631469,0.064392
2.9700,0.412019,0.042014
2.9800,0.387060,0.039469
2.9900,0.165529,0.016879
3.0000,0.196282,0.020015
3.0100,-0.069530,-0.007090
3.0200,-0.221222,-0.022558
3.0300,-0.250959,-0.025591
3.0400,0.134682,0.013734
3.0500,0.233872,0.023848
3.0600,0.027409,0.002795
3.0700,0.401507,0.040942
3.0800,0.203781,0.020780
3.0900,-0.054882,-0.005596
3.1000,-0.204574,-0.020861
3.1100,-0.376621,-0.038405
3.1200,-0.496130,-0.050591
3.1300,-0.530421,-0.054088
3.1400,-0.291899,-0.029765
3.1500,-0.584997,-0.059653
3.1600,-0.354811,-0.036181
3.1700,-0.530972,-0.054144
3.1800,-0.587718,-0.059931
3.1900,-0.187600,-0.019130
3.2000,-0.274791,-0.028021
3.2100,-0.394329,-0.040210
3.2200,-0.651138,-0.066398
3.2300,-0.959220,-0.097813
3.2400,-0.982742,-0.100212
3.2500,-0.986657,-0.100611
3.2600,-1.069870,-0.109096
3.2700,-0.808176,-0.082411
3.2800,-0.954793,-0.097362
3.2900,-0.716304,-0.073043
3.3000,-0.798352,-0.081409
3.3100,-0.439795,-0.044847
3.3200,0.158440,0.016156
3.3300,0.388956,0.039662
3.3400,0.710012,0.072401
3.3500,0.917834,0.093593
3.3600,0.165085,0.016834
3.3700,0.197928,0.020183
3.3800,0.578463,0.058987
3.3900,0.731105,0.074552
3.4000,0.589761,0.060139
3.4100,0.429962,0.043844
3.4200,-0.178353,-0.018187
3.4300,-0.405933,-0.041394
3.4400,-0.060788,-0.006199
3.4500,0.011589,0.001182
3.4600,-0.406516,-0.041453
3.4700,-0.960929,-0.097988
3.4800,-0.690884,-0.070451
3.4900,-0.621605,-0.063386
3.5000,-0.487934,-0.049755
3.5100,0.341014,0.034774
3.5200,0.330954,0.033748
3.5300,0.289453,0.029516
3.5400,0.398071,0.040592
3.5500,0.067583,0.006892
3.5600,0.017824,0.001818
3.5700,-0.029725,-0.003031
3.5800,0.194863,0.019870
3.5900,-0.226606,-0.023107
3.6000,-0.565106,-0.057625
3.6100,-0.502876,-0.051279
3.6200,-0.588010,-0.059960
3.6300,-0.190163,-0.019391
3.6400,-0.440916,-0.044961
3.6500,-0.891477,-0.090905
3.6600,-1.282252,-0.130753
3.6700,-1.051087,-0.107181
3.6800,-0.984819,-0.100424
3.6900,-0.666384,-0.067952
3.7000,-0.242853,-0.024764
3.7100,-0.426257,-0.043466
3.7200,-0.394912,-0.040270
3.7300,-0.560394,-0.057144
3.7400,-0.503550,-0.051348
3.7500,-0.377565,-0.038501
3.7600,-0.602982,-0.061487
3.7700,-0.568844,-0.058006
3.7800,-0.243277,-0.024807
3.7900,0.042672,0.004351
3.8000,0.102947,0.010498
3.8100,0.356151,0.036317
3.8200,0.448921,0.045777
3.8300,-0.036556,-0.003728
3.8400,-0.116261,-0.011855
3.8500,-0.440748,-0.044944
3.8600,-1.112371,-0.113430
3.8700,-0.944909,-0.096354
3.8800,-0.928543,-0.094685
3.8900,-1.051176,-0.107190
3.9000,-0.284186,-0.028979
3.9100,-0.276365,-0.028181
3.9200,-0.282335,-0.028790
3.9300,-0.866721,-0.088381
3.9400,-0.729486,-0.074387
3.9500,-0.328363,-0.033484
3.9600,-0.626553,-0.063891
3.9700,-0.911725,-0.092970
3.9800,-1.160805,-0.118369
3.9900,-1.078982,-0.110026
4.0000,-1.225440,-0.124960
4.0100,-1.404951,-0.143265
4.0200,-1.576596,-0.160768
4.0300,-1.338582,-0.136497
4.0400,-1.216610,-0.124060
4.0500,-0.740385,-0.075498
4.0600,-0.798408,-0.081415
4.0700,-0.389341,-0.039702
4.0800,-0.587476,-0.059906
4.0900,-0.693187,-0.070685
4.1000,-0.509788,-0.051984
4.1100,-0.657531,-0.067050
4.1200,-0.444274,-0.045303
4.1300,-0.714035,-0.072811
4.1400,-0.267431,-0.027270
4.1500,-0.012098,-0.001234
4.1600,-0.518751,-0.052898
4.1700,-0.825573,-0.084185
4.1800,-0.842673,-0.085929
4.1900,-0.204854,-0.020889
4.2000,-0.491073,-0.050075
4.2100,-0.724028,-0.073830
4.2200,-0.442769,-0.045150
4.2300,0.197876,0.020178
4.2400,0.351638,0.035857
4.2500,0.383754,0.039132
4.2600,0.141103,0.014388
4.2700,0.443449,0.045219
4.2800,0.015088,0.001539
4.2900,0.304482,0.031049
4.3000,0.715150,0.072925
4.3100,1.049234,0.106992
4.3200,0.737587,0.075213
4.3300,0.434230,0.044279
4.3400,0.393880,0.040165
4.3500,0.744986,0.075967
4.3600,0.606435,0.061839
4.3700,0.390179,0.039787
4.3800,0.979911,0.099923
4.3900,0.839639,0.085619
4.4000,0.819493,0.083565
4.4100,0.944659,0.096328
4.4200,1.208058,0.123188
4.4300,1.671938,0.170490
4.4400,1.972509,0.201140
4.4500,1.401316,0.142895
