time_s,accel_m_s2,accel_g
0.0000,0.007231,0.000737
0.0100,0.007199,0.000734
0.0200,0.007167,0.000731
0.0300,0.007200,0.000734
0.0400,0.007223,0.000737
0.0500,0.007238,0.000738
0.0600,0.007121,0.000726
0.0700,0.007129,0.000727
0.0800,0.007659,0.000781
0.0900,0.007635,0.000779
0.1000,0.008089,0.000825
0.1100,0.007212,0.000735
0.1200,0.007546,0.000770
0.1300,0.008088,0.000825
0.1400,0.008683,0.000885
0.1500,0.008773,0.000895
0.1600,0.007300,0.000744
0.1700,0.011665,0.001189
0.1800,0.010914,0.001113
0.1900,0.009646,0.000984
0.2000,0.012818,0.001307
0.2100,0.013578,0.001385
0.2200,0.018877,0.001925
0.2300,0.018903,0.001928
0.2400,0.017268,0.001761
0.2500,0.018059,0.001842
0.2600,0.023258,0.002372
0.2700,0.031547,0.003217
0.2800,0.026688,0.002721
0.2900,0.025995,0.002651
0.3000,0.028605,0.002917
0.3100,0.029505,0.003009
0.3200,0.016306,0.001663
0.3300,0.009549,0.000974
0.3400,-0.003279,-0.000334
0.3500,-0.002814,-0.000287
0.3600,0.001972,0.000201
0.3700,-0.004191,-0.000427
0.3800,-0.007252,-0.000739
0.3900,-0.016283,-0.001660
0.4000,-0.021780,-0.002221
0.4100,-0.013932,-0.001421
0.4200,0.001362,0.000139
0.4300,-0.019810,-0.002020
0.4400,-0.004506,-0.000459
0.4500,0.026189,0.002671
0.4600,0.025422,0.002592
0.4700,0.037747,0.003849
0.4800,0.058510,0.005966
0.4900,0.077768,0.007930
0.5000,0.086578,0.008829
0.5100,0.088369,0.009011
0.5200,0.057330,0.005846
0.5300,0.061944,0.006317
0.5400,0.058411,0.005956
0.5500,0.082689,0.008432
0.5600,0.072225,0.007365
0.5700,0.057876,0.005902
0.5800,0.111166,0.011336
0.5900,0.088687,0.009044
0.6000,0.063829,0.006509
0.6100,0.026535,0.002706
0.6200,0.049634,0.005061
0.6300,0.038004,0.003875
0.6400,0.016039,0.001636
0.6500,0.035750,0.003645
0.6600,-0.013351,-0.001361
0.6700,-0.063234,-0.006448
0.6800,-0.109848,-0.011201
0.6900,-0.105571,-0.010765
0.7000,-0.116793,-0.011910
0.7100,-0.070718,-0.007211
0.7200,-0.040857,-0.004166
0.7300,-0.065999,-0.006730
0.7400,-0.112177,-0.011439
0.7500,-0.082312,-0.008394
0.7600,-0.027375,-0.002791
0.7700,-0.041632,-0.004245
0.7800,-0.064135,-0.006540
0.7900,-0.045698,-0.004660
0.8000,-0.033570,-0.003423
0.8100,-0.045431,-0.004633
0.8200,-0.007654,-0.000780
0.8300,0.066327,0.006763
0.8400,0.106883,0.010899
0.8500,0.075510,0.007700
0.8600,0.055576,0.005667
0.8700,0.072242,0.007367
0.8800,0.014933,0.001523
0.8900,-0.023000,-0.002345
0.9000,-0.015077,-0.001537
0.9100,-0.001327,-0.000135
0.9200,-0.036889,-0.003762
0.9300,-0.042049,-0.004288
0.9400,0.010710,0.001092
0.9500,0.161213,0.016439
0.9600,0.224250,0.022867
0.9700,0.258428,0.026352
0.9800,0.161060,0.016424
0.9900,0.110710,0.011289
1.0000,0.099137,0.010109
1.0100,0.112053,0.011426
1.0200,0.151684,0.015468
1.0300,0.027083,0.002762
1.0400,-0.162189,-0.016539
1.0500,-0.171426,-0.017481
1.0600,0.001460,0.000149
1.0700,0.000218,0.000022
1.0800,-0.020940,-0.002135
1.0900,-0.087758,-0.008949
1.1000,0.022910,0.002336
1.1100,-0.000465,-0.000047
1.1200,0.060727,0.006192
1.1300,0.224389,0.022881
1.1400,0.390322,0.039802
1.1500,0.439392,0.044806
1.1600,0.421450,0.042976
1.1700,0.337142,0.034379
1.1800,0.307513,0.031358
1.1900,0.407644,0.041568
1.2000,0.306927,0.031298
1.2100,0.192921,0.019673
1.2200,-0.001999,-0.000204
1.2300,-0.056829,-0.005795
1.2400,-0.217400,-0.022169
1.2500,-0.359565,-0.036665
1.2600,-0.464377,-0.047353
1.2700,-0.534157,-0.054469
1.2800,-0.634050,-0.064655
1.2900,-0.706726,-0.072066
1.3000,-0.730082,-0.074448
1.3100,-0.750866,-0.076567
1.3200,-0.661242,-0.067428
1.3300,-0.341716,-0.034845
1.3400,-0.316822,-0.032307
1.3500,-0.350962,-0.035788
1.3600,-0.491797,-0.050149
1.3700,-0.662051,-0.067510
1.3800,-0.672711,-0.068597
1.3900,-0.506587,-0.051658
1.4000,-0.295040,-0.030086
1.4100,-0.236738,-0.024141
1.4200,-0.247999,-0.025289
1.4300,-0.283051,-0.028863
1.4400,-0.268002,-0.027329
1.4500,-0.318744,-0.032503
1.4600,-0.269071,-0.027438
1.4700,-0.162425,-0.016563
1.4800,-0.185713,-0.018937
1.4900,-0.122604,-0.012502
1.5000,-0.057657,-0.005879
1.5100,0.069285,0.007065
1.5200,0.112868,0.011509
1.5300,0.221982,0.022636
1.5400,0.146255,0.014914
1.5500,0.067385,0.006871
1.5600,-0.090727,-0.009252
1.5700,-0.112806,-0.011503
1.5800,-0.072891,-0.007433
1.5900,-0.200406,-0.020436
1.6000,0.140559,0.014333
1.6100,0.498446,0.050827
1.6200,0.424536,0.043291
1.6300,0.395965,0.040377
1.6400,0.432186,0.044071
1.6500,0.450773,0.045966
1.6600,0.530930,0.054140
1.6700,0.425863,0.043426
1.6800,0.561537,0.057261
1.6900,0.489422,0.049907
1.7000,0.291831,0.029758
1.7100,0.048191,0.004914
1.7200,-0.162556,-0.016576
1.7300,-0.114930,-0.011720
1.7400,-0.108951,-0.011110
1.7500,-0.046518,-0.004744
1.7600,-0.022787,-0.002324
1.7700,0.153654,0.015668
1.7800,0.218893,0.022321
1.7900,0.212769,0.021696
1.8000,0.282630,0.028820
1.8100,0.093301,0.009514
1.8200,0.172643,0.017605
1.8300,0.408468,0.041652
1.8400,0.256430,0.026149
1.8500,0.238408,0.024311
1.8600,-0.012235,-0.001248
1.8700,-0.337593,-0.034425
1.8800,-0.578683,-0.059009
1.8900,-0.773871,-0.078913
1.9000,-0.813101,-0.082913
1.9100,-0.904646,-0.092248
1.9200,-0.806854,-0.082276
1.9300,-0.760000,-0.077498
1.9400,-0.584314,-0.059583
1.9500,-0.600183,-0.061202
1.9600,-0.315673,-0.032190
1.9700,0.030114,0.003071
1.9800,-0.069522,-0.007089
1.9900,-0.491241,-0.050093
2.0000,-0.390054,-0.039774
2.0100,-0.588243,-0.059984
2.0200,-0.627063,-0.063943
2.0300,-0.707664,-0.072162
2.0400,-0.640783,-0.065342
2.0500,-0.765110,-0.078019
2.0600,-0.522930,-0.053324
2.0700,-0.753387,-0.076824
2.0800,-0.650462,-0.066329
2.0900,-0.391572,-0.039929
2.1000,-0.109450,-0.011161
2.1100,0.097998,0.009993
2.1200,-0.220748,-0.022510
2.1300,-0.037082,-0.003781
2.1400,0.050208,0.005120
2.1500,0.257852,0.026294
2.1600,0.317782,0.032405
2.1700,0.229010,0.023353
2.1800,0.181910,0.018550
2.1900,-0.236779,-0.024145
2.2000,-0.178311,-0.018183
2.2100,-0.522818,-0.053313
2.2200,-0.835694,-0.085217
2.2300,-0.886591,-0.090407
2.2400,-0.647855,-0.066063
2.2500,-0.181966,-0.018555
2.2600,-0.050285,-0.005128
2.2700,0.215415,0.021966
2.2800,0.411805,0.041992
2.2900,0.321857,0.032820
2.3000,0.585254,0.059679
2.3100,0.713670,0.072774
