time_s,accel_m_s2,accel_g
0.0000,-0.038392,-0.003915
0.0100,-0.038880,-0.003965
0.0200,-0.039294,-0.004007
0.0300,-0.039795,-0.004058
0.0400,-0.040407,-0.004120
0.0500,-0.040473,-0.004127
0.0600,-0.041251,-0.004206
0.0700,-0.041562,-0.004238
0.0800,-0.042041,-0.004287
0.0900,-0.042233,-0.004307
0.1000,-0.042028,-0.004286
0.1100,-0.044556,-0.004543
0.1200,-0.047165,-0.004809
0.1300,-0.044770,-0.004565
0.1400,-0.040314,-0.004111
0.1500,-0.040684,-0.004149
0.1600,-0.032973,-0.003362
0.1700,-0.036078,-0.003679
0.1800,-0.031197,-0.003181
0.1900,-0.023152,-0.002361
0.2000,-0.013932,-0.001421
0.2100,-0.008579,-0.000875
0.2200,-0.001861,-0.000190
0.2300,-0.007587,-0.000774
0.2400,-0.017789,-0.001814
0.2500,-0.020406,-0.002081
0.2600,-0.027776,-0.002832
0.2700,-0.039983,-0.004077
0.2800,-0.063480,-0.006473
0.2900,-0.071225,-0.007263
0.3000,-0.086854,-0.008857
0.3100,-0.070043,-0.007142
0.3200,-0.071793,-0.007321
0.3300,-0.088032,-0.008977
0.3400,-0.079874,-0.008145
0.3500,-0.054803,-0.005588
0.3600,-0.076766,-0.007828
0.3700,-0.066845,-0.006816
0.3800,-0.033990,-0.003466
0.3900,-0.037093,-0.003782
0.4000,-0.033734,-0.003440
0.4100,-0.035437,-0.003614
0.4200,-0.076599,-0.007811
0.4300,-0.095032,-0.009691
0.4400,-0.093742,-0.009559
0.4500,-0.082739,-0.008437
0.4600,-0.053915,-0.005498
0.4700,-0.009067,-0.000925
0.4800,-0.039643,-0.004042
0.4900,-0.060530,-0.006172
0.5000,-0.071075,-0.007248
0.5100,-0.098346,-0.010029
0.5200,-0.053848,-0.005491
0.5300,-0.041274,-0.004209
0.5400,-0.099485,-0.010145
0.5500,-0.057395,-0.005853
0.5600,0.009502,0.000969
0.5700,0.004093,0.000417
0.5800,-0.002476,-0.000252
0.5900,-0.042321,-0.004315
0.6000,-0.063629,-0.006488
0.6100,-0.103901,-0.010595
0.6200,-0.087981,-0.008972
0.6300,-0.164302,-0.016754
0.6400,-0.137274,-0.013998
0.6500,-0.121663,-0.012406
0.6600,-0.124531,-0.012699
0.6700,-0.047005,-0.004793
0.6800,-0.069437,-0.007081
0.6900,-0.116676,-0.011898
0.7000,-0.109782,-0.011195
0.7100,-0.032314,-0.003295
0.7200,-0.142611,-0.014542
0.7300,-0.176887,-0.018037
0.7400,-0.187618,-0.019132
0.7500,-0.185606,-0.018927
0.7600,-0.248225,-0.025312
0.7700,-0.320138,-0.032645
0.7800,-0.180396,-0.018395
0.7900,-0.088498,-0.009024
0.8000,-0.085189,-0.008687
0.8100,-0.075904,-0.007740
0.8200,-0.099366,-0.010133
0.8300,-0.060076,-0.006126
0.8400,-0.084869,-0.008654
0.8500,-0.012815,-0.001307
0.8600,0.132068,0.013467
0.8700,0.233225,0.023782
0.8800,0.314701,0.032091
0.8900,0.207515,0.021161
0.9000,0.149025,0.015196
0.9100,0.268407,0.027370
0.9200,0.307866,0.031394
0.9300,0.215626,0.021988
0.9400,0.196104,0.019997
0.9500,0.061856,0.006308
0.9600,-0.004694,-0.000479
0.9700,0.008039,0.000820
0.9800,-0.088350,-0.009009
0.9900,-0.293666,-0.029946
1.0000,-0.281149,-0.028669
1.0100,-0.174995,-0.017844
1.0200,0.043896,0.004476
1.0300,0.035626,0.003633
1.0400,-0.004497,-0.000459
1.0500,0.039354,0.004013
1.0600,0.084655,0.008632
1.0700,-0.062763,-0.006400
1.0800,0.188851,0.019257
1.0900,0.190056,0.019380
1.1000,0.043386,0.004424
1.1100,-0.007857,-0.000801
1.1200,-0.011797,-0.001203
1.1300,0.063098,0.006434
1.1400,0.196829,0.020071
1.1500,0.449488,0.045835
1.1600,0.205714,0.020977
1.1700,0.173516,0.017694
1.1800,0.212488,0.021668
1.1900,0.106453,0.010855
1.2000,0.353781,0.036076
1.2100,0.366814,0.037405
1.2200,0.437785,0.044642
1.2300,0.574132,0.058545
1.2400,0.329226,0.033572
1.2500,0.344444,0.035123
1.2600,0.132142,0.013475
1.2700,0.041271,0.004208
1.2800,-0.098748,-0.010070
1.2900,-0.337942,-0.034460
1.3000,-0.380452,-0.038795
1.3100,-0.513265,-0.052338
1.3200,-0.543341,-0.055405
1.3300,-0.266393,-0.027165
1.3400,-0.159947,-0.016310
1.3500,-0.447167,-0.045598
1.3600,-0.214806,-0.021904
1.3700,-0.347002,-0.035384
1.3800,-0.558584,-0.056960
1.3900,-0.273130,-0.027852
1.4000,-0.202025,-0.020601
1.4100,-0.094846,-0.009672
1.4200,-0.057951,-0.005909
1.4300,0.182162,0.018575
1.4400,0.106955,0.010906
1.4500,-0.113423,-0.011566
1.4600,-0.065849,-0.006715
1.4700,0.023223,0.002368
1.4800,0.176291,0.017977
1.4900,0.018749,0.001912
1.5000,-0.080571,-0.008216
1.5100,0.288172,0.029385
1.5200,0.236380,0.024104
1.5300,0.473547,0.048288
1.5400,0.424292,0.043266
1.5500,0.244908,0.024974
1.5600,0.125331,0.012780
1.5700,-0.192540,-0.019634
1.5800,-0.310891,-0.031702
1.5900,-0.726973,-0.074131
1.6000,-0.963264,-0.098226
1.6100,-1.271631,-0.129670
1.6200,-1.077876,-0.109913
1.6300,-0.709500,-0.072349
1.6400,-0.587138,-0.059871
1.6500,-0.849281,-0.086603
1.6600,-1.464153,-0.149302
1.6700,-1.544473,-0.157492
1.6800,-1.189684,-0.121314
1.6900,-0.422337,-0.043066
1.7000,0.049744,0.005073
1.7100,0.267657,0.027293
1.7200,-0.074544,-0.007601
1.7300,0.227526,0.023201
1.7400,0.571754,0.058303
1.7500,0.882976,0.090038
1.7600,0.924747,0.094298
1.7700,0.820182,0.083635
1.7800,0.921700,0.093987
1.7900,0.679327,0.069272
1.8000,0.631346,0.064379
1.8100,0.729456,0.074384
1.8200,0.662775,0.067584
1.8300,0.599641,0.061146
1.8400,0.447863,0.045669
1.8500,0.144346,0.014719
1.8600,0.372051,0.037939
1.8700,0.686269,0.069980
1.8800,0.531425,0.054190
1.8900,0.580618,0.059207
1.9000,0.591605,0.060327
1.9100,0.260549,0.026569
1.9200,0.180352,0.018391
1.9300,0.341423,0.034815
1.9400,-0.021337,-0.002176
1.9500,-0.303540,-0.030952
1.9600,-0.646695,-0.065945
1.9700,-0.515332,-0.052549
1.9800,-0.483045,-0.049257
1.9900,-0.528492,-0.053891
2.0000,-0.525581,-0.053594
2.0100,-0.568294,-0.057950
2.0200,-0.547630,-0.055843
2.0300,-0.168032,-0.017134
2.0400,0.229200,0.023372
2.0500,0.499428,0.050927
2.0600,0.516296,0.052648
2.0700,0.415444,0.042364
2.0800,0.293162,0.029894
2.0900,0.225199,0.022964
2.1000,-0.052292,-0.005332
2.1100,-0.267340,-0.027261
2.1200,-0.468098,-0.047733
2.1300,-0.234725,-0.023935
2.1400,-0.477715,-0.048713
2.1500,-0.201397,-0.020537
2.1600,-0.551582,-0.056246
2.1700,-0.130793,-0.013337
2.1800,-0.238644,-0.024335
2.1900,-0.319454,-0.032575
2.2000,0.270134,0.027546
2.2100,0.141926,0.014472
2.2200,0.669051,0.068224
2.2300,0.532274,0.054277
2.2400,0.517088,0.052728
2.2500,0.458238,0.046727
2.2600,0.376852,0.038428
2.2700,0.273785,0.027918
2.2800,0.402156,0.041008
2.2900,0.711592,0.072562
2.3000,0.816741,0.083284
2.3100,0.554860,0.056580
2.3200,0.279603,0.028512
2.3300,-0.328478,-0.033495
2.3400,-0.578384,-0.058979
2.3500,-0.641125,-0.065377
2.3600,-0.501343,-0.051123
2.3700,-0.314847,-0.032105
2.3800,-0.603753,-0.061566
2.3900,-0.102687,-0.010471
2.4000,0.156423,0.015951
2.4100,0.488929,0.049857
2.4200,0.291854,0.029761
2.4300,0.268240,0.027353
2.4400,0.128235,0.013076
2.4500,-0.459474,-0.046853
2.4600,-0.825951,-0.084224
2.4700,-0.589788,-0.060142
2.4800,-0.964599,-0.098362
2.4900,-1.142513,-0.116504
2.5000,-0.113015,-0.011524
2.5100,-0.284344,-0.028995
2.5200,-0.317917,-0.032419
2.5300,0.422529,0.043086
2.5400,0.897964,0.091567
2.5500,1.093979,0.111555
2.5600,1.069583,0.109067
2.5700,0.177001,0.018049
2.5800,0.208844,0.021296
2.5900,-0.058082,-0.005923
2.6000,-0.513610,-0.052374
2.6100,-0.386765,-0.039439
2.6200,0.381046,0.038856
2.6300,0.610307,0.062234
2.6400,0.696688,0.071042
2.6500,0.738304,0.075286
2.6600,1.117680,0.113972
2.6700,0.657786,0.067076
2.6800,0.925799,0.094405
2.6900,1.036064,0.105649
2.7000,1.189983,0.121344
2.7100,0.466228,0.047542
2.7200,0.659912,0.067292
2.7300,1.168863,0.119191
2.7400,1.275535,0.130068
2.7500,1.107526,0.112936
2.7600,0.363726,0.037090
2.7700,0.475127,0.048449
2.7800,-0.144796,-0.014765
2.7900,0.072866,0.007430
2.8000,0.633527,0.064602
2.8100,0.359725,0.036682
2.8200,0.485689,0.049526
2.8300,0.944447,0.096307
2.8400,0.695749,0.070947
2.8500,0.446912,0.045572
2.8600,-0.214889,-0.021913
2.8700,-0.811783,-0.082779
2.8800,-1.151795,-0.117450
2.8900,-1.527386,-0.155750
2.9000,-1.626873,-0.165895
2.9100,-1.332711,-0.135899
2.9200,-1.339629,-0.136604
2.9300,-0.594092,-0.060581
2.9400,-0.432615,-0.044114
2.9500,-0.428225,-0.043667
2.9600,0.455778,0.046476
2.9700,0.432441,0.044097
2.9800,0.408422,0.041647
2.9900,0.513917,0.052405
3.0000,0.969874,0.098900
3.0100,0.746375,0.076109
3.0200,1.358177,0.138496
3.0300,1.157340,0.118016
3.0400,1.480852,0.151005
3.0500,1.939322,0.197756
3.0600,1.603721,0.163534
3.0700,1.309941,0.133577
3.0800,1.170577,0.119366
3.0900,0.982100,0.100146
3.1000,0.541365,0.055204
3.1100,1.099593,0.112127
3.1200,1.475181,0.150427
3.1300,0.894086,0.091171
3.1400,0.347476,0.035433
3.1500,-0.050277,-0.005127
3.1600,-0.449658,-0.045852
3.1700,-0.796764,-0.081247
3.1800,-1.048791,-0.106947
3.1900,-1.392930,-0.142039
3.2000,-1.285300,-0.131064
3.2100,-1.486800,-0.151611
3.2200,-1.692888,-0.172627
3.2300,-1.764209,-0.179899
3.2400,-1.727811,-0.176188
3.2500,-1.364551,-0.139145
3.2600,-1.216891,-0.124088
3.2700,-0.432708,-0.044124
3.2800,-0.051098,-0.005211
3.2900,-0.253546,-0.025854
3.3000,-0.268985,-0.027429
3.3100,-0.242372,-0.024715
3.3200,-0.338432,-0.034510
3.3300,-0.497458,-0.050727
3.3400,-0.894052,-0.091168
3.3500,-0.683141,-0.069661
3.3600,-1.151184,-0.117388
3.3700,-1.317065,-0.134303
3.3800,-1.310889,-0.133674
3.3900,-0.785436,-0.080092
3.4000,-0.974607,-0.099382
3.4100,-1.627572,-0.165966
3.4200,-1.814119,-0.184989
3.4300,-0.995350,-0.101497
3.4400,-0.634796,-0.064731
3.4500,-0.067259,-0.006858
3.4600,0.269524,0.027484
3.4700,0.466171,0.047536
3.4800,0.670296,0.068351
3.4900,1.417711,0.144566
3.5000,2.086793,0.212794
3.5100,1.670269,0.170320
3.5200,2.046369,0.208672
3.5300,2.347814,0.239410
3.5400,3.080448,0.314118
3.5500,3.451941,0.352000
3.5600,2.608906,0.266034
3.5700,1.688970,0.172227
3.5800,1.139055,0.116151
3.5900,0.930968,0.094932
3.6000,-0.277545,-0.028302
3.6100,-0.935117,-0.095355
3.6200,-0.833551,-0.084999
3.6300,-0.395716,-0.040352
3.6400,-0.217470,-0.022176
3.6500,0.296184,0.030202
3.6600,-0.064711,-0.006599
