time_s,accel_m_s2,accel_g
0.0000,-0.042417,-0.004325
0.0100,-0.042334,-0.004317
0.0200,-0.042297,-0.004313
0.0300,-0.042315,-0.004315
0.0400,-0.042371,-0.004321
0.0500,-0.042403,-0.004324
0.0600,-0.042719,-0.004356
0.0700,-0.042715,-0.004356
0.0800,-0.043223,-0.004408
0.0900,-0.045496,-0.004639
0.1000,-0.047766,-0.004871
0.1100,-0.048994,-0.004996
0.1200,-0.047215,-0.004815
0.1300,-0.044112,-0.004498
0.1400,-0.041269,-0.004208
0.1500,-0.037795,-0.003854
0.1600,-0.032785,-0.003343
0.1700,-0.017248,-0.001759
0.1800,-0.015081,-0.001538
0.1900,-0.022121,-0.002256
0.2000,-0.023509,-0.002397
0.2100,-0.038311,-0.003907
0.2200,-0.046118,-0.004703
0.2300,-0.041884,-0.004271
0.2400,-0.032778,-0.003342
0.2500,-0.037929,-0.003868
0.2600,-0.035089,-0.003578
0.2700,-0.027249,-0.002779
0.2800,-0.038544,-0.003930
0.2900,-0.039648,-0.004043
0.3000,-0.038743,-0.003951
0.3100,-0.063946,-0.006521
0.3200,-0.070796,-0.007219
0.3300,-0.095884,-0.009777
0.3400,-0.116946,-0.011925
0.3500,-0.083615,-0.008526
0.3600,-0.098094,-0.010003
0.3700,-0.102061,-0.010407
0.3800,-0.109011,-0.011116
0.3900,-0.095595,-0.009748
0.4000,-0.054934,-0.005602
0.4100,-0.043621,-0.004448
0.4200,-0.027324,-0.002786
0.4300,-0.021848,-0.002228
0.4400,-0.030220,-0.003082
0.4500,-0.005583,-0.000569
0.4600,0.033738,0.003440
0.4700,0.085467,0.008715
0.4800,0.093765,0.009561
0.4900,0.089317,0.009108
0.5000,0.129710,0.013227
0.5100,0.200909,0.020487
0.5200,0.203914,0.020793
0.5300,0.198899,0.020282
0.5400,0.189068,0.019280
0.5500,0.201332,0.020530
0.5600,0.220358,0.022470
0.5700,0.248741,0.025365
0.5800,0.221065,0.022542
0.5900,0.232498,0.023708
0.6000,0.301642,0.030759
0.6100,0.320670,0.032699
0.6200,0.361687,0.036882
0.6300,0.397805,0.040565
0.6400,0.291295,0.029704
0.6500,0.301915,0.030787
0.6600,0.292869,0.029864
0.6700,0.186568,0.019025
0.6800,0.131102,0.013369
0.6900,0.159087,0.016222
0.7000,0.165610,0.016888
0.7100,0.228520,0.023303
0.7200,0.119881,0.012224
0.7300,0.028185,0.002874
0.7400,0.026240,0.002676
0.7500,-0.011183,-0.001140
0.7600,0.045286,0.004618
0.7700,0.022154,0.002259
0.7800,-0.089891,-0.009166
0.7900,-0.117389,-0.011970
0.8000,-0.087370,-0.008909
0.8100,-0.138117,-0.014084
0.8200,-0.061307,-0.006252
0.8300,-0.052293,-0.005332
0.8400,0.004375,0.000446
0.8500,-0.029283,-0.002986
0.8600,-0.036851,-0.003758
0.8700,0.008223,0.000839
0.8800,0.005760,0.000587
0.8900,-0.122588,-0.012501
0.9000,-0.046154,-0.004706
0.9100,-0.015603,-0.001591
0.9200,0.231245,0.023580
0.9300,0.382311,0.038985
0.9400,0.322064,0.032841
0.9500,0.192287,0.019608
0.9600,0.068936,0.007030
0.9700,0.063547,0.006480
0.9800,0.094505,0.009637
0.9900,0.052736,0.005378
1.0000,0.091363,0.009316
1.0100,0.055691,0.005679
1.0200,0.039687,0.004047
1.0300,0.067886,0.006922
1.0400,0.105821,0.010791
1.0500,0.172289,0.017569
1.0600,0.109775,0.011194
1.0700,0.140523,0.014329
1.0800,0.153663,0.015669
1.0900,0.358060,0.036512
1.1000,0.181367,0.018494
1.1100,0.117026,0.011933
1.1200,0.097875,0.009980
1.1300,0.210315,0.021446
1.1400,0.269529,0.027484
1.1500,-0.138586,-0.014132
1.1600,-0.197342,-0.020123
1.1700,-0.012777,-0.001303
1.1800,0.248664,0.025357
1.1900,0.204377,0.020841
1.2000,0.127633,0.013015
1.2100,0.117254,0.011957
1.2200,-0.066852,-0.006817
1.2300,-0.093439,-0.009528
1.2400,0.226006,0.023046
1.2500,0.688851,0.070243
1.2600,0.859310,0.087625
1.2700,1.229427,0.125367
1.2800,1.314357,0.134027
1.2900,1.510841,0.154063
1.3000,1.519732,0.154970
1.3100,1.375086,0.140220
1.3200,1.518313,0.154825
1.3300,1.531323,0.156151
1.3400,1.290609,0.131605
1.3500,1.120097,0.114218
1.3600,0.948838,0.096755
1.3700,0.791998,0.080761
1.3800,0.463763,0.047291
1.3900,0.451370,0.046027
1.4000,0.434227,0.044279
1.4100,0.510963,0.052104
1.4200,0.686525,0.070006
1.4300,0.423487,0.043184
1.4400,0.508135,0.051815
1.4500,0.576288,0.058765
1.4600,0.345011,0.035181
1.4700,0.407796,0.041584
1.4800,0.217618,0.022191
1.4900,0.419821,0.042810
1.5000,0.574258,0.058558
1.5100,0.473855,0.048320
1.5200,0.570332,0.058158
1.5300,0.462815,0.047194
1.5400,-0.398523,-0.040638
1.5500,-0.791590,-0.080720
1.5600,-0.976088,-0.099533
1.5700,-0.937334,-0.095581
1.5800,-0.668826,-0.068201
1.5900,-0.516633,-0.052682
1.6000,-0.254644,-0.025967
1.6100,-0.041215,-0.004203
1.6200,-0.052004,-0.005303
1.6300,0.086473,0.008818
1.6400,-0.028992,-0.002956
1.6500,0.130677,0.013325
1.6600,-0.094076,-0.009593
1.6700,0.087609,0.008934
1.6800,0.026588,0.002711
1.6900,-0.080057,-0.008164
1.7000,-0.127356,-0.012987
1.7100,0.193094,0.019690
1.7200,0.447023,0.045584
1.7300,0.503636,0.051357
1.7400,0.260808,0.026595
1.7500,0.448814,0.045766
1.7600,0.182970,0.018658
1.7700,0.217363,0.022165
1.7800,0.732889,0.074734
1.7900,0.584913,0.059645
1.8000,0.416752,0.042497
1.8100,0.237386,0.024207
1.8200,0.283806,0.028940
1.8300,0.202677,0.020667
1.8400,0.332030,0.033858
1.8500,0.199483,0.020342
1.8600,-0.765923,-0.078102
1.8700,-1.232752,-0.125706
1.8800,-1.628983,-0.166110
1.8900,-1.361834,-0.138868
1.9000,-1.457399,-0.148613
1.9100,-1.402522,-0.143017
1.9200,-1.307304,-0.133308
1.9300,-1.363807,-0.139070
1.9400,-1.443473,-0.147193
1.9500,-0.798446,-0.081419
1.9600,-0.252984,-0.025797
1.9700,0.113576,0.011582
1.9800,0.314782,0.032099
1.9900,0.494023,0.050376
2.0000,0.635713,0.064825
2.0100,0.641968,0.065463
2.0200,0.388855,0.039652
2.0300,0.543671,0.055439
2.0400,0.311534,0.031768
2.0500,0.113470,0.011571
2.0600,0.102357,0.010438
2.0700,-0.090722,-0.009251
2.0800,-0.374418,-0.038180
2.0900,-0.337739,-0.034440
2.1000,-0.468800,-0.047804
2.1100,-0.715144,-0.072924
2.1200,-0.722358,-0.073660
2.1300,-0.916039,-0.093410
2.1400,-0.304220,-0.031022
2.1500,-0.371077,-0.037839
2.1600,-0.002664,-0.000272
2.1700,0.470362,0.047964
2.1800,0.162413,0.016562
2.1900,0.119736,0.012210
2.2000,0.436216,0.044482
2.2100,-0.610445,-0.062248
2.2200,-0.330111,-0.033662
2.2300,0.189487,0.019322
2.2400,0.393016,0.040076
2.2500,0.997745,0.101742
2.2600,1.692277,0.172564
2.2700,1.641281,0.167364
2.2800,1.723232,0.175721
2.2900,1.350879,0.137751
2.3000,1.575543,0.160661
2.3100,1.126450,0.114866
2.3200,1.222731,0.124684
2.3300,1.448231,0.147678
2.3400,1.278406,0.130361
2.3500,1.471386,0.150040
2.3600,1.352719,0.137939
2.3700,1.539727,0.157008
2.3800,1.385512,0.141283
2.3900,0.751851,0.076668
2.4000,0.707329,0.072127
2.4100,0.647725,0.066050
2.4200,0.673184,0.068646
2.4300,0.400755,0.040866
2.4400,0.095570,0.009745
2.4500,0.197393,0.020128
2.4600,-0.205448,-0.020950
2.4700,-0.828040,-0.084437
2.4800,-0.758895,-0.077386
2.4900,-1.071941,-0.109308
2.5000,-1.838340,-0.187459
2.5100,-1.854755,-0.189132
2.5200,-2.211411,-0.225501
2.5300,-2.976610,-0.303530
2.5400,-2.911413,-0.296881
2.5500,-2.525026,-0.257481
2.5600,-3.369019,-0.343544
2.5700,-3.208080,-0.327133
2.5800,-3.033921,-0.309374
2.5900,-3.080583,-0.314132
2.6000,-3.126538,-0.318818
2.6100,-2.372553,-0.241933
2.6200,-2.284944,-0.232999
2.6300,-1.867835,-0.190466
2.6400,-1.771151,-0.180607
2.6500,-2.247105,-0.229141
2.6600,-2.874280,-0.293095
2.6700,-2.876257,-0.293297
2.6800,-2.903535,-0.296078
