time_s,accel_m_s2,accel_g
0.0000,0.010645,0.001086
0.0100,0.010467,0.001067
0.0200,0.010276,0.001048
0.0300,0.010030,0.001023
0.0400,0.009861,0.001006
0.0500,0.009752,0.000994
0.0600,0.009176,0.000936
0.0700,0.008305,0.000847
0.0800,0.008128,0.000829
0.0900,0.008503,0.000867
0.1000,0.006562,0.000669
0.1100,0.008266,0.000843
0.1200,0.008226,0.000839
0.1300,0.004803,0.000490
0.1400,0.005759,0.000587
0.1500,0.007007,0.000715
0.1600,0.016694,0.001702
0.1700,0.018567,0.001893
0.1800,0.021007,0.002142
0.1900,0.026295,0.002681
0.2000,0.022561,0.002301
0.2100,0.024425,0.002491
0.2200,0.023477,0.002394
0.2300,0.031745,0.003237
0.2400,0.029307,0.002988
0.2500,0.018089,0.001845
0.2600,0.012452,0.001270
0.2700,-0.009788,-0.000998
0.2800,-0.029493,-0.003007
0.2900,-0.048905,-0.004987
0.3000,-0.045433,-0.004633
0.3100,-0.029719,-0.003030
0.3200,-0.003793,-0.000387
0.3300,-0.020550,-0.002096
0.3400,-0.013765,-0.001404
0.3500,-0.014996,-0.001529
0.3600,-0.007516,-0.000766
0.3700,-0.004861,-0.000496
0.3800,0.000608,0.000062
0.3900,0.005883,0.000600
0.4000,0.022931,0.002338
0.4100,0.004496,0.000458
0.4200,0.026349,0.002687
0.4300,-0.011609,-0.001184
0.4400,0.010074,0.001027
0.4500,0.004240,0.000432
0.4600,-0.038432,-0.003919
0.4700,-0.046806,-0.004773
0.4800,-0.035382,-0.003608
0.4900,-0.010514,-0.001072
0.5000,-0.105619,-0.010770
0.5100,-0.059115,-0.006028
0.5200,-0.034541,-0.003522
0.5300,-0.062198,-0.006342
0.5400,-0.098931,-0.010088
0.5500,-0.082553,-0.008418
0.5600,-0.064493,-0.006576
0.5700,-0.040130,-0.004092
0.5800,-0.006421,-0.000655
0.5900,-0.093808,-0.009566
0.6000,-0.133379,-0.013601
0.6100,-0.098854,-0.010080
0.6200,-0.080117,-0.008170
0.6300,-0.140929,-0.014371
0.6400,-0.193719,-0.019754
0.6500,-0.120933,-0.012332
0.6600,-0.088532,-0.009028
0.6700,-0.076108,-0.007761
0.6800,-0.073702,-0.007516
0.6900,-0.018155,-0.001851
0.7000,-0.017040,-0.001738
0.7100,-0.012979,-0.001324
0.7200,-0.007608,-0.000776
0.7300,-0.036052,-0.003676
0.7400,-0.082446,-0.008407
0.7500,-0.035757,-0.003646
0.7600,0.056155,0.005726
0.7700,0.024766,0.002525
0.7800,0.070896,0.007229
0.7900,0.103536,0.010558
0.8000,0.118362,0.012070
0.8100,0.168661,0.017199
0.8200,-0.011622,-0.001185
0.8300,0.070708,0.007210
0.8400,0.047915,0.004886
0.8500,-0.007135,-0.000728
0.8600,-0.119678,-0.012204
0.8700,-0.126834,-0.012933
0.8800,-0.336516,-0.034315
0.8900,-0.328478,-0.033495
0.9000,-0.257103,-0.026217
0.9100,-0.192636,-0.019643
0.9200,-0.207211,-0.021130
0.9300,-0.244316,-0.024913
0.9400,-0.200720,-0.020468
0.9500,0.018573,0.001894
0.9600,-0.037803,-0.003855
0.9700,-0.109009,-0.011116
0.9800,-0.143254,-0.014608
0.9900,-0.060175,-0.006136
1.0000,0.127809,0.013033
1.0100,-0.028492,-0.002905
1.0200,0.102485,0.010451
1.0300,0.081711,0.008332
1.0400,0.123099,0.012553
1.0500,0.110056,0.011223
1.0600,-0.062842,-0.006408
1.0700,-0.121084,-0.012347
1.0800,-0.142253,-0.014506
1.0900,0.059317,0.006049
1.1000,0.043691,0.004455
1.1100,-0.259447,-0.026456
1.1200,-0.290390,-0.029612
1.1300,-0.237835,-0.024252
1.1400,-0.070200,-0.007158
1.1500,-0.073991,-0.007545
1.1600,-0.255975,-0.026102
1.1700,-0.218321,-0.022263
1.1800,-0.386500,-0.039412
1.1900,-0.283528,-0.028912
1.2000,-0.339530,-0.034622
1.2100,-0.284846,-0.029046
1.2200,-0.168500,-0.017182
1.2300,-0.324762,-0.033117
1.2400,-0.489428,-0.049908
1.2500,-0.238388,-0.024309
1.2600,0.105636,0.010772
1.2700,0.277273,0.028274
1.2800,0.547361,0.055815
1.2900,0.723337,0.073760
1.3000,0.684263,0.069775
1.3100,0.643197,0.065588
1.3200,0.929728,0.094806
1.3300,1.070238,0.109134
1.3400,0.916198,0.093426
1.3500,1.102298,0.112403
1.3600,0.922988,0.094119
1.3700,1.016154,0.103619
1.3800,0.918043,0.093614
1.3900,0.765804,0.078090
1.4000,0.626431,0.063878
1.4100,0.599243,0.061106
1.4200,0.136442,0.013913
1.4300,-0.026151,-0.002667
1.4400,-0.101614,-0.010362
1.4500,-0.078967,-0.008052
1.4600,-0.245436,-0.025028
1.4700,-0.654361,-0.066726
1.4800,-0.537187,-0.054778
1.4900,-0.182194,-0.018579
1.5000,0.185989,0.018966
1.5100,0.196616,0.020049
1.5200,0.163306,0.016653
1.5300,0.136104,0.013879
1.5400,0.037083,0.003781
1.5500,0.121784,0.012419
1.5600,0.319734,0.032604
1.5700,0.158620,0.016175
1.5800,-0.199521,-0.020346
1.5900,-0.207261,-0.021135
1.6000,-0.490437,-0.050011
1.6100,-0.218567,-0.022288
1.6200,0.013894,0.001417
1.6300,-0.293780,-0.029957
1.6400,-0.342379,-0.034913
1.6500,-0.194887,-0.019873
1.6600,-0.282595,-0.028817
1.6700,-0.754370,-0.076924
1.6800,-0.504959,-0.051492
1.6900,-0.507723,-0.051773
1.7000,-0.213392,-0.021760
1.7100,0.457309,0.046633
1.7200,0.666029,0.067916
