time_s,accel_m_s2,accel_g
0.0000,-0.053622,-0.005468
0.0100,-0.053582,-0.005464
0.0200,-0.053251,-0.005430
0.0300,-0.052919,-0.005396
0.0400,-0.052526,-0.005356
0.0500,-0.052065,-0.005309
0.0600,-0.051441,-0.005246
0.0700,-0.050988,-0.005199
0.0800,-0.054439,-0.005551
0.0900,-0.053787,-0.005485
0.1000,-0.049671,-0.005065
0.1100,-0.048011,-0.004896
0.1200,-0.041094,-0.004190
0.1300,-0.027397,-0.002794
0.1400,-0.024421,-0.002490
0.1500,-0.024923,-0.002541
0.1600,-0.014145,-0.001442
0.1700,-0.004984,-0.000508
0.1800,-0.010685,-0.001090
0.1900,-0.028791,-0.002936
0.2000,-0.052791,-0.005383
0.2100,-0.041635,-0.004246
0.2200,-0.048515,-0.004947
0.2300,-0.101687,-0.010369
0.2400,-0.070059,-0.007144
0.2500,-0.056733,-0.005785
0.2600,-0.049677,-0.005066
0.2700,-0.097719,-0.009965
0.2800,-0.070468,-0.007186
0.2900,-0.081275,-0.008288
0.3000,-0.073130,-0.007457
0.3100,-0.099927,-0.010190
0.3200,-0.178298,-0.018181
0.3300,-0.115827,-0.011811
0.3400,-0.064922,-0.006620
0.3500,-0.042035,-0.004286
0.3600,-0.031117,-0.003173
0.3700,-0.048966,-0.004993
0.3800,-0.042540,-0.004338
0.3900,-0.038078,-0.003883
0.4000,-0.048513,-0.004947
0.4100,0.094269,0.009613
0.4200,0.185831,0.018950
0.4300,0.207286,0.021137
0.4400,0.211553,0.021572
0.4500,0.293457,0.029924
0.4600,0.331919,0.033846
0.4700,0.383243,0.039080
0.4800,0.375420,0.038282
0.4900,0.379012,0.038648
0.5000,0.254439,0.025946
0.5100,0.254281,0.025929
0.5200,0.362103,0.036924
0.5300,0.316023,0.032225
0.5400,0.251247,0.025620
0.5500,0.110401,0.011258
0.5600,0.182859,0.018646
0.5700,0.132232,0.013484
0.5800,0.119299,0.012165
0.5900,0.053052,0.005410
0.6000,-0.070787,-0.007218
0.6100,-0.091667,-0.009347
0.6200,-0.067997,-0.006934
0.6300,0.031743,0.003237
0.6400,0.132031,0.013463
0.6500,0.054716,0.005579
0.6600,-0.119817,-0.012218
0.6700,-0.023716,-0.002418
0.6800,-0.259898,-0.026502
0.6900,-0.442344,-0.045107
0.7000,-0.062421,-0.006365
0.7100,-0.088944,-0.009070
0.7200,0.050226,0.005122
0.7300,0.230525,0.023507
0.7400,0.298090,0.030397
0.7500,0.616165,0.062831
0.7600,0.690773,0.070439
0.7700,0.772783,0.078802
0.7800,0.386812,0.039444
0.7900,0.096305,0.009820
0.8000,-0.060477,-0.006167
0.8100,-0.041168,-0.004198
0.8200,-0.197146,-0.020103
0.8300,-0.102431,-0.010445
0.8400,-0.071640,-0.007305
0.8500,0.036372,0.003709
0.8600,-0.022395,-0.002284
0.8700,-0.110405,-0.011258
0.8800,-0.036545,-0.003727
0.8900,0.493562,0.050329
0.9000,0.375460,0.038286
0.9100,0.169146,0.017248
0.9200,-0.050980,-0.005198
0.9300,-0.068945,-0.007030
0.9400,-0.177185,-0.018068
0.9500,-0.292027,-0.029778
0.9600,-0.002081,-0.000212
0.9700,-0.034718,-0.003540
0.9800,0.406830,0.041485
0.9900,0.576825,0.058820
1.0000,0.415019,0.042320
1.0100,0.371267,0.037859
1.0200,0.059803,0.006098
1.0300,-0.190730,-0.019449
1.0400,-0.412529,-0.042066
1.0500,0.076515,0.007802
1.0600,0.183558,0.018718
1.0700,-0.110549,-0.011273
1.0800,0.029179,0.002975
1.0900,0.244226,0.024904
1.1000,0.013624,0.001389
1.1100,0.136863,0.013956
1.1200,0.376470,0.038389
1.1300,0.597296,0.060907
1.1400,0.346107,0.035293
1.1500,-0.000910,-0.000093
1.1600,-0.110492,-0.011267
1.1700,-0.069848,-0.007122
1.1800,-0.050278,-0.005127
1.1900,-0.198722,-0.020264
1.2000,-0.596663,-0.060843
1.2100,-0.074367,-0.007583
1.2200,0.080364,0.008195
1.2300,0.225831,0.023028
1.2400,0.031060,0.003167
1.2500,-0.234397,-0.023902
1.2600,-0.041777,-0.004260
1.2700,-0.340878,-0.034760
1.2800,-0.410801,-0.041890
1.2900,0.538539,0.054916
1.3000,0.634331,0.064684
1.3100,1.108764,0.113062
1.3200,0.866210,0.088329
1.3300,0.563669,0.057478
1.3400,-0.329274,-0.033577
1.3500,-0.491718,-0.050141
1.3600,-0.289859,-0.029557
1.3700,-0.323023,-0.032939
1.3800,-0.793826,-0.080948
1.3900,-0.643060,-0.065574
1.4000,-1.048004,-0.106867
1.4100,-1.138183,-0.116062
1.4200,-1.970025,-0.200887
1.4300,-1.922378,-0.196028
1.4400,-1.699489,-0.173300
1.4500,-2.005728,-0.204527
1.4600,-0.660635,-0.067366
1.4700,0.198466,0.020238
1.4800,-0.618557,-0.063075
1.4900,-1.106845,-0.112867
1.5000,-0.918633,-0.093675
1.5100,0.320853,0.032718
1.5200,0.626080,0.063842
1.5300,-0.176491,-0.017997
1.5400,-0.102282,-0.010430
1.5500,-0.906034,-0.092390
1.5600,-1.285147,-0.131049
1.5700,-1.444180,-0.147265
1.5800,-1.209725,-0.123358
1.5900,-0.305073,-0.031109
1.6000,0.835715,0.085219
1.6100,1.337739,0.136411
1.6200,1.271083,0.129614
1.6300,1.537482,0.156780
1.6400,1.377118,0.140427
1.6500,0.476782,0.048618
1.6600,0.737196,0.075173
1.6700,1.868388,0.190523
1.6800,2.418118,0.246579
1.6900,2.265326,0.230999
1.7000,1.237278,0.126167
1.7100,1.096401,0.111802
1.7200,0.990108,0.100963
1.7300,0.790849,0.080644
1.7400,0.878790,0.089612
1.7500,1.041226,0.106175
1.7600,1.136526,0.115893
1.7700,0.363461,0.037063
1.7800,0.367306,0.037455
1.7900,0.152348,0.015535
1.8000,0.250651,0.025559
1.8100,1.198811,0.122245
1.8200,0.797702,0.081343
1.8300,1.130183,0.115247
1.8400,1.828260,0.186431
1.8500,1.847940,0.188437
1.8600,1.633236,0.166544
1.8700,0.880615,0.089798
1.8800,0.188800,0.019252
1.8900,0.430744,0.043924
1.9000,0.695046,0.070875
1.9100,-0.584275,-0.059580
1.9200,-0.987885,-0.100736
1.9300,-0.865512,-0.088258
1.9400,-0.357740,-0.036479
1.9500,-0.441058,-0.044975
1.9600,-1.080571,-0.110188
1.9700,-1.287849,-0.131324
1.9800,-1.368348,-0.139533
1.9900,-1.653036,-0.168563
2.0000,-2.600430,-0.265170
2.0100,-1.552501,-0.158311
2.0200,-2.307924,-0.235343
2.0300,-2.026281,-0.206623
2.0400,-2.106413,-0.214794
2.0500,-2.061165,-0.210180
2.0600,-2.116887,-0.215862
2.0700,-2.130629,-0.217264
2.0800,-2.634864,-0.268681
2.0900,-1.032821,-0.105318
2.1000,-0.096849,-0.009876
2.1100,-0.115695,-0.011798
2.1200,1.247547,0.127214
2.1300,2.109203,0.215079
2.1400,2.015938,0.205568
2.1500,2.639799,0.269185
2.1600,2.436092,0.248412
2.1700,4.008626,0.408766
2.1800,5.052334,0.515195
2.1900,4.803496,0.489820
2.2000,4.141027,0.422267
2.2100,3.408865,0.347607
2.2200,5.038953,0.513830
2.2300,4.146101,0.422785
2.2400,3.154545,0.321674
2.2500,1.058703,0.107958
2.2600,-1.056083,-0.107690
2.2700,-0.874665,-0.089191
2.2800,-1.712370,-0.174613
2.2900,-2.303372,-0.234879
2.3000,-2.104078,-0.214556
2.3100,-3.159614,-0.322191
2.3200,-3.441255,-0.350910
2.3300,-2.952516,-0.301073
2.3400,-1.590698,-0.162206
2.3500,-0.864786,-0.088184
2.3600,-1.452363,-0.148100
2.3700,-1.079740,-0.110103
2.3800,-0.732988,-0.074744
2.3900,-1.856953,-0.189356
2.4000,-1.799467,-0.183495
2.4100,-1.718938,-0.175283
2.4200,-1.681472,-0.171462
2.4300,-1.261653,-0.128653
2.4400,-0.411511,-0.041962
2.4500,0.678601,0.069198
2.4600,1.588106,0.161942
2.4700,1.458185,0.148693
2.4800,0.702084,0.071593
2.4900,2.629286,0.268113
2.5000,3.922795,0.400014
2.5100,1.781494,0.181662
2.5200,1.234525,0.125887
2.5300,1.285905,0.131126
2.5400,0.474602,0.048396
2.5500,-0.666983,-0.068013
2.5600,-1.792303,-0.182764
2.5700,-2.242599,-0.228681
2.5800,-2.988369,-0.304729
2.5900,-3.159751,-0.322205
2.6000,-1.539015,-0.156936
2.6100,0.006732,0.000687
2.6200,1.947869,0.198627
2.6300,2.323277,0.236908
2.6400,2.682905,0.273580
2.6500,2.167924,0.221067
2.6600,2.987438,0.304634
2.6700,2.690541,0.274359
2.6800,1.347369,0.137393
2.6900,0.724524,0.073881
2.7000,1.633540,0.166575
2.7100,2.560609,0.261109
2.7200,1.678527,0.171162
2.7300,0.843654,0.086029
2.7400,-0.486045,-0.049563
2.7500,-1.889690,-0.192695
2.7600,0.029800,0.003039
2.7700,0.152523,0.015553
2.7800,2.558453,0.260890
2.7900,3.442160,0.351003
2.8000,2.945921,0.300400
2.8100,2.413695,0.246128
2.8200,2.436168,0.248420
2.8300,2.087771,0.212893
2.8400,1.580112,0.161127
2.8500,2.578909,0.262975
2.8600,2.992400,0.305140
2.8700,1.289503,0.131493
2.8800,0.233268,0.023787
2.8900,-0.130136,-0.013270
2.9000,-1.355434,-0.138216
2.9100,-1.369313,-0.139631
2.9200,-2.386593,-0.243365
2.9300,-3.112917,-0.317429
2.9400,-2.652336,-0.270463
2.9500,-2.251882,-0.229628
2.9600,-2.665777,-0.271834
2.9700,-4.687424,-0.477984
2.9800,-3.080750,-0.314149
2.9900,-2.160294,-0.220289
3.0000,-1.811917,-0.184764
3.0100,-2.042442,-0.208271
3.0200,-3.516279,-0.358561
3.0300,-2.824693,-0.288039
3.0400,-2.159679,-0.220226
3.0500,-2.850173,-0.290637
3.0600,-0.761133,-0.077614
3.0700,0.458348,0.046738
3.0800,-0.393490,-0.040125
3.0900,-0.298522,-0.030441
3.1000,-1.771800,-0.180673
3.1100,-1.489954,-0.151933
3.1200,-0.777232,-0.079256
3.1300,0.833291,0.084972
3.1400,0.287997,0.029368
3.1500,-0.280365,-0.028589
3.1600,-0.570055,-0.058129
3.1700,-1.981272,-0.202033
3.1800,-2.226040,-0.226993
3.1900,-1.892955,-0.193028
3.2000,-2.342362,-0.238854
3.2100,-4.509700,-0.459861
3.2200,-3.928420,-0.400587
3.2300,-1.627298,-0.165938
3.2400,-0.275900,-0.028134
3.2500,-1.117994,-0.114004
3.2600,-2.674847,-0.272759
3.2700,-3.872135,-0.394848
3.2800,-3.777945,-0.385243
3.2900,-6.587903,-0.671779
3.3000,-5.252974,-0.535654
3.3100,-4.714106,-0.480705
3.3200,-4.351496,-0.443729
3.3300,-3.361287,-0.342756
3.3400,-2.775221,-0.282994
3.3500,-3.346016,-0.341199
3.3600,-3.905245,-0.398224
3.3700,-3.703611,-0.377663
3.3800,-1.717640,-0.175150
3.3900,-0.575860,-0.058721
3.4000,-0.953526,-0.097233
3.4100,-0.483593,-0.049313
3.4200,-1.668226,-0.170112
3.4300,-1.785494,-0.182070
3.4400,-2.610146,-0.266161
3.4500,-2.723847,-0.277755
3.4600,-1.305585,-0.133133
3.4700,0.527109,0.053750
3.4800,2.586273,0.263726
3.4900,3.383145,0.344985
3.5000,3.819318,0.389462
3.5100,2.334367,0.238039
3.5200,4.096552,0.417732
3.5300,3.113195,0.317458
3.5400,2.339138,0.238526
3.5500,2.302526,0.234792
3.5600,2.425752,0.247358
3.5700,3.390107,0.345695
3.5800,3.061793,0.312216
3.5900,3.066933,0.312740
3.6000,4.241204,0.432482
3.6100,3.347147,0.341314
3.6200,2.606574,0.265797
3.6300,1.238249,0.126266
3.6400,2.135848,0.217796
3.6500,3.292365,0.335728
3.6600,1.935445,0.197360
3.6700,2.918650,0.297620
3.6800,2.538245,0.258829
3.6900,4.681526,0.477383
3.7000,3.884416,0.396100
3.7100,2.916427,0.297393
3.7200,2.967090,0.302559
3.7300,2.771578,0.282622
3.7400,1.045288,0.106590
3.7500,1.098815,0.112048
3.7600,1.445081,0.147357
3.7700,1.920057,0.195791
3.7800,1.229576,0.125382
3.7900,1.468926,0.149789
3.8000,0.359384,0.036647
3.8100,1.448584,0.147714
3.8200,-0.182935,-0.018654
3.8300,0.100459,0.010244
3.8400,0.766352,0.078146
3.8500,0.749437,0.076421
3.8600,2.176363,0.221927
3.8700,4.398271,0.448499
3.8800,4.302909,0.438775
3.8900,2.285581,0.233064
3.9000,-0.087660,-0.008939
3.9100,-0.253858,-0.025886
3.9200,0.607576,0.061956
3.9300,-1.495470,-0.152496
3.9400,-0.659961,-0.067297
3.9500,-3.092947,-0.315393
3.9600,-5.013524,-0.511237
3.9700,-4.367453,-0.445356
3.9800,-4.481580,-0.456994
3.9900,-4.309385,-0.439435
4.0000,-5.703798,-0.581626
4.0100,-8.267006,-0.843000
4.0200,-5.847716,-0.596301
4.0300,-5.377019,-0.548303
4.0400,-2.855900,-0.291221
4.0500,-2.387874,-0.243495
4.0600,-4.990312,-0.508870
4.0700,-4.311623,-0.439663
4.0800,-1.938754,-0.197698
4.0900,-0.795671,-0.081136
4.1000,-2.735519,-0.278945
4.1100,-4.519693,-0.460880
4.1200,-5.348762,-0.545422
4.1300,-3.820139,-0.389546
4.1400,-3.677363,-0.374987
4.1500,-2.777075,-0.283183
4.1600,-1.631647,-0.166382
4.1700,-1.253062,-0.127777
4.1800,-1.156730,-0.117954
4.1900,-0.887116,-0.090461
4.2000,-0.708135,-0.072210
4.2100,0.658665,0.067165
4.2200,2.830456,0.288626
4.2300,5.050623,0.515020
4.2400,7.131340,0.727194
4.2500,6.100405,0.622068
4.2600,4.587886,0.467834
4.2700,4.559944,0.464985
4.2800,3.660655,0.373283
4.2900,3.248660,0.331271
4.3000,1.714909,0.174872
4.3100,2.224444,0.226830
4.3200,3.026173,0.308584
4.3300,2.454690,0.250309
4.3400,2.406627,0.245408
4.3500,-1.026194,-0.104643
4.3600,-1.223958,-0.124809
4.3700,-1.172732,-0.119585
4.3800,-0.697554,-0.071131
4.3900,-2.795335,-0.285045
4.4000,-4.329832,-0.441520
4.4100,-5.151864,-0.525344
4.4200,-2.380381,-0.242731
4.4300,-2.650335,-0.270259
4.4400,-2.340470,-0.238661
4.4500,-3.372401,-0.343889
4.4600,-5.257144,-0.536080
4.4700,-4.188860,-0.427145
4.4800,-2.712206,-0.276568
4.4900,-3.188003,-0.325086
4.5000,-0.605011,-0.061694
4.5100,0.331478,0.033801
4.5200,-0.109669,-0.011183
4.5300,-0.194478,-0.019831
4.5400,-0.746505,-0.076122
4.5500,0.845885,0.086256
4.5600,0.769466,0.078464
4.5700,-0.235974,-0.024063
4.5800,0.590362,0.060200
4.5900,1.373451,0.140053
4.6000,2.360206,0.240674
4.6100,4.047071,0.412686
4.6200,4.348808,0.443455
4.6300,1.274001,0.129912
4.6400,0.347850,0.035471
4.6500,1.669218,0.170213
4.6600,1.846416,0.188282
4.6700,3.006108,0.306538
4.6800,1.813235,0.184899
4.6900,1.323433,0.134953
4.7000,-1.162534,-0.118546
4.7100,-2.340268,-0.238641
4.7200,-4.361014,-0.444700
4.7300,-2.768134,-0.282271
4.7400,-1.167625,-0.119065
4.7500,0.016458,0.001678
4.7600,-1.447967,-0.147652
4.7700,-4.307553,-0.439248
4.7800,-3.241362,-0.330527
