time_s,accel_m_s2,accel_g
0.0000,-0.008304,-0.000847
0.0100,-0.008271,-0.000843
0.0200,-0.008398,-0.000856
0.0300,-0.008166,-0.000833
0.0400,-0.008367,-0.000853
0.0500,-0.008062,-0.000822
0.0600,-0.008853,-0.000903
0.0700,-0.013557,-0.001382
0.0800,-0.012125,-0.001236
0.0900,-0.015018,-0.001531
0.1000,-0.011957,-0.001219
0.1100,-0.015257,-0.001556
0.1200,-0.024426,-0.002491
0.1300,-0.020835,-0.002125
0.1400,-0.006160,-0.000628
0.1500,-0.017793,-0.001814
0.1600,-0.009806,-0.001000
0.1700,0.006782,0.000692
0.1800,0.001396,0.000142
0.1900,0.003434,0.000350
0.2000,0.014200,0.001448
0.2100,0.045357,0.004625
0.2200,0.047961,0.004891
0.2300,0.013993,0.001427
0.2400,-0.022626,-0.002307
0.2500,-0.076304,-0.007781
0.2600,-0.081007,-0.008260
0.2700,-0.082608,-0.008424
0.2800,-0.106498,-0.010860
0.2900,-0.109589,-0.011175
0.3000,-0.060510,-0.006170
0.3100,-0.038326,-0.003908
0.3200,-0.008491,-0.000866
0.3300,0.036627,0.003735
0.3400,0.079623,0.008119
0.3500,0.148507,0.015143
0.3600,0.194802,0.019864
0.3700,0.153269,0.015629
0.3800,0.154837,0.015789
0.3900,0.049642,0.005062
0.4000,-0.021990,-0.002242
0.4100,0.000676,0.000069
0.4200,-0.044611,-0.004549
0.4300,-0.001751,-0.000179
0.4400,-0.067196,-0.006852
0.4500,-0.321440,-0.032778
0.4600,-0.400319,-0.040821
0.4700,-0.538878,-0.054950
0.4800,-0.523932,-0.053426
0.4900,-0.492494,-0.050220
0.5000,-0.525960,-0.053633
0.5100,-0.314829,-0.032104
0.5200,-0.406605,-0.041462
0.5300,-0.337000,-0.034364
0.5400,-0.225230,-0.022967
0.5500,-0.076865,-0.007838
0.5600,0.042733,0.004358
0.5700,0.020869,0.002128
0.5800,-0.165125,-0.016838
0.5900,-0.263540,-0.026874
0.6000,0.047740,0.004868
0.6100,0.277991,0.028347
0.6200,0.298470,0.030435
0.6300,0.076536,0.007805
0.6400,-0.057621,-0.005876
0.6500,-0.024041,-0.002451
0.6600,0.172778,0.017618
0.6700,0.388378,0.039604
0.6800,0.634531,0.064704
0.6900,0.635021,0.064754
0.7000,0.760098,0.077508
0.7100,0.618066,0.063025
0.7200,0.567361,0.057855
0.7300,0.843554,0.086019
0.7400,0.992363,0.101193
0.7500,0.812740,0.082876
0.7600,0.754111,0.076898
0.7700,0.610982,0.062303
0.7800,-0.009110,-0.000929
0.7900,-0.252399,-0.025738
0.8000,-0.221399,-0.022576
0.8100,-0.866751,-0.088384
0.8200,-0.831663,-0.084806
0.8300,-0.968288,-0.098738
0.8400,-1.536325,-0.156662
0.8500,-2.064738,-0.210545
0.8600,-2.062248,-0.210291
0.8700,-1.817681,-0.185352
0.8800,-1.519856,-0.154982
0.8900,-1.576255,-0.160733
0.9000,-1.160644,-0.118353
0.9100,-1.206259,-0.123004
0.9200,-0.385260,-0.039286
0.9300,0.210727,0.021488
0.9400,0.325715,0.033214
0.9500,0.554501,0.056543
0.9600,0.912398,0.093039
0.9700,0.381600,0.038912
0.9800,0.189699,0.019344
0.9900,0.356097,0.036312
1.0000,0.145973,0.014885
1.0100,0.114461,0.011672
1.0200,-0.410333,-0.041842
1.0300,-1.020184,-0.104030
1.0400,-1.637034,-0.166931
1.0500,-1.163587,-0.118653
1.0600,-0.595602,-0.060734
1.0700,-0.251880,-0.025685
1.0800,0.091559,0.009336
1.0900,0.372876,0.038023
1.1000,-0.202562,-0.020656
1.1100,-0.654173,-0.066707
1.1200,-0.201179,-0.020515
1.1300,0.103802,0.010585
1.1400,0.061489,0.006270
1.1500,-0.594169,-0.060588
1.1600,-0.972022,-0.099119
1.1700,-1.635223,-0.166746
1.1800,-1.483057,-0.151230
1.1900,-1.457909,-0.148665
1.2000,-1.475528,-0.150462
1.2100,-1.410860,-0.143868
1.2200,-1.346948,-0.137351
1.2300,-1.472348,-0.150138
1.2400,-1.355063,-0.138178
1.2500,-0.822922,-0.083915
1.2600,-0.651685,-0.066453
1.2700,-1.215878,-0.123985
1.2800,-1.331861,-0.135812
1.2900,-0.056284,-0.005739
1.3000,1.330162,0.135639
1.3100,1.332942,0.135922
1.3200,1.896280,0.193367
1.3300,2.627323,0.267912
1.3400,2.539037,0.258910
1.3500,2.866460,0.292298
1.3600,1.556932,0.158763
1.3700,1.495943,0.152544
1.3800,0.744808,0.075949
1.3900,0.592493,0.060418
1.4000,1.034637,0.105504
1.4100,0.135401,0.013807
1.4200,-0.285146,-0.029077
1.4300,-0.260386,-0.026552
1.4400,-1.194930,-0.121849
1.4500,-0.888994,-0.090652
1.4600,-1.538346,-0.156868
1.4700,-1.841696,-0.187801
1.4800,-1.292520,-0.131800
1.4900,-1.199528,-0.122318
1.5000,-1.973043,-0.201194
1.5100,-2.368942,-0.241565
1.5200,-2.526975,-0.257680
1.5300,-2.520512,-0.257021
1.5400,-1.362794,-0.138966
1.5500,-0.732592,-0.074704
1.5600,-0.946730,-0.096540
1.5700,-1.309476,-0.133529
1.5800,-0.823659,-0.083990
1.5900,0.010483,0.001069
1.6000,1.034800,0.105520
1.6100,0.304558,0.031056
1.6200,-0.371720,-0.037905
1.6300,0.863756,0.088079
1.6400,1.321053,0.134710
1.6500,1.399165,0.142675
1.6600,3.410390,0.347763
1.6700,3.916162,0.399337
1.6800,3.742678,0.381647
1.6900,4.241235,0.432486
1.7000,3.925275,0.400267
1.7100,3.813828,0.388902
1.7200,4.549586,0.463929
1.7300,4.107033,0.418801
1.7400,3.751985,0.382596
1.7500,2.265395,0.231006
1.7600,2.405915,0.245335
1.7700,1.804595,0.184017
1.7800,1.295322,0.132086
1.7900,0.993334,0.101292
1.8000,0.692100,0.070575
1.8100,-0.083728,-0.008538
1.8200,-0.070761,-0.007216
1.8300,-0.221045,-0.022540
